edge,score_own,score_cross
m12->m15,-0.38085938,-0.20410156
m8->m11,-0.31445312,-0.111816406
m11->m12,-0.29882812,0.17285156
m4->m6,-0.296875,0.19042969
m11->m15,-0.29492188,-0.123535156
m6->m12,-0.24414062,-0.087890625
a15.h14->logits,-0.23144531,0.06542969
m9->m15,-0.22851562,-0.14355469
m12->m13,0.22753906,0.14257812
m15->logits,-0.22753906,0.546875
m7->m9,0.22363281,-0.07373047
m9->m11,-0.22363281,0.049804688
m6->m15,0.20996094,0.109375
m5->m9,0.20703125,0.19140625
input->m0,-0.19921875,0.036621094
m6->m9,-0.18164062,0.03112793
m7->m11,0.18164062,0.05834961
m4->m5,0.17480469,-0.22363281
m13->m15,-0.17285156,0.051513672
m2->m10,-0.16796875,0.055419922
m4->m11,-0.16113281,0.072265625
m8->m10,0.15917969,-0.15527344
m5->m6,0.15917969,-0.22363281
m0->m2,-0.15332031,0.17578125
m10->m11,0.15136719,0.21289062
a8.h29->m9,-0.15136719,-0.072265625
m2->m9,-0.14746094,0.05810547
m9->m14,-0.14648438,0.034179688
m5->m7,-0.14453125,0.12792969
m6->m7,0.13964844,0.072265625
m14->m15,-0.12792969,-0.08691406
m5->m12,0.123046875,-0.15527344
m12->logits,0.11816406,-0.10205078
m9->m10,-0.115722656,-0.084472656
a7.h21->m7,-0.103027344,0.05053711
m11->m14,-0.09863281,0.18261719
a8.h22->m10,0.096191406,0.04345703
m6->m10,0.095703125,0.10058594
a6.h6->m7,-0.095214844,0.06933594
m6->m11,-0.09326172,0.09326172
m2->m8,0.092285156,-0.15136719
m10->m15,-0.091796875,-0.26171875
m2->m6,-0.091796875,0.10644531
a6.h7->m7,-0.091308594,0.05444336
m8->m12,0.091308594,0.1484375
a10.h12->m11,0.087890625,-0.034423828
a6.h2->m10,0.08496094,-0.049316406
m10->logits,0.08496094,-0.13671875
a8.h23->m10,0.08300781,0.033935547
m9->m12,0.07910156,0.032226562
m0->m12,-0.07861328,0.034423828
m5->m13,-0.07763672,-0.03515625
a15.h0->logits,0.07714844,0.057617188
input->m1,-0.076171875,-0.13476562
m8->m13,0.07470703,-0.048095703
a6.h15->m7,0.072753906,-0.036621094
a15.h23->logits,-0.072265625,-0.05102539
a15.h2->logits,0.071777344,0.07373047
m4->m13,-0.071777344,-0.05029297
a15.h3->logits,0.06933594,0.059326172
m2->m4,0.068359375,0.09375
a6.h0->m12,-0.06738281,0.03149414
a7.h23->m7,-0.06640625,0.06640625
m0->m7,0.064453125,-0.05810547
a5.h17->m8,0.063964844,-0.04663086
m7->m14,0.063964844,0.03515625
a15.h1->logits,0.063964844,0.060302734
a0.h3->m0,-0.0625,0.06738281
m6->m8,-0.06225586,-0.13476562
m1->m3,-0.061523438,-0.09814453
a6.h1->m10,0.061279297,-0.043701172
a7.h8->m8,-0.060302734,0.040527344
a8.h9->m10,-0.060058594,0.041992188
m6->m13,0.059570312,0.056152344
m0->m11,0.05834961,-0.09863281
m1->m9,0.05810547,-0.08300781
a14.h27->logits,-0.057128906,-0.041015625
input->m2,-0.056152344,0.08105469
m6->m14,0.056152344,-0.068359375
a5.h15->m6,-0.055908203,-0.057617188
m0->m10,-0.055664062,0.060302734
m0->m5,-0.0546875,0.08984375
a5.h19->m8,0.0546875,-0.032470703
a9.h12->m10,0.053710938,-0.03125
m0->m8,0.053466797,-0.041503906
a6.h2->m12,-0.053222656,0.040283203
a12.h2->m13,-0.052490234,0.03540039
m3->m5,-0.052246094,0.04321289
a6.h8->m9,-0.05126953,0.037109375
a6.h8->m7,-0.05126953,-0.048828125
m8->m9,-0.050048828,0.14160156
a4.h24->m4,-0.049072266,0.03930664
a8.h11->m10,-0.049072266,0.049804688
a5.h14->m6,-0.048095703,-0.04345703
a6.h6->m6,0.04711914,-0.05029297
a9.h0->m9,-0.046875,-0.063964844
a8.h8->m10,-0.04663086,0.057617188
m5->m11,-0.044677734,0.07421875
a3.h2->m10,0.044433594,-0.03930664
m12->m14,-0.043701172,0.16601562
a9.h19->m11,-0.04321289,0.0546875
a3.h30->m8,0.04248047,0.033203125
a7.h1->m11,0.04248047,0.03173828
a5.h2->m10,0.042236328,-0.032470703
m1->m5,0.040527344,0.110839844
m2->m5,-0.040527344,-0.115234375
m5->m15,0.040283203,-0.045654297
