edge,score_own,score_cross
input->m0,-0.80078125,-1.65625
m6->m7,0.640625,0.37304688
m0->m4,-0.53125,-0.11376953
m3->m4,0.50390625,0.73046875
m8->m10,-0.49804688,-0.32226562
m4->m9,0.44921875,-0.59375
m3->m5,-0.421875,0.40039062
a10.h7->m10,-0.37695312,-0.42773438
m4->m10,0.34960938,0.13671875
m6->m13,0.34960938,-0.16113281
m11->m13,0.328125,-0.3515625
m4->m11,-0.32421875,0.18652344
m2->m4,-0.31640625,0.40234375
a1.h11->m2,-0.29101562,0.3515625
m3->m11,0.27929688,0.12109375
m3->m9,-0.27539062,0.16015625
a8.h6->m10,0.27539062,-0.1328125
m0->m2,-0.265625,-0.23339844
a1.h5->m1,-0.265625,-0.265625
m4->m6,-0.2578125,-0.22753906
m6->m8,-0.24609375,0.42578125
m20->logits,-0.23730469,-0.48046875
m19->logits,-0.23535156,-0.18359375
m11->m12,0.23242188,-0.27539062
m3->m8,0.22851562,-0.46679688
m0->m5,0.2265625,-0.20703125
m13->m15,-0.22460938,0.14160156
m0->m12,0.22460938,-0.21972656
a8.h6->m9,-0.22265625,-0.11376953
m16->logits,-0.22167969,-0.30664062
m5->m9,0.21777344,0.25585938
m9->m10,0.21582031,-0.17578125
m15->m16,0.21289062,0.123535156
m6->m16,0.20996094,-0.125
m0->m3,0.20703125,0.69921875
a1.h11->m6,0.20703125,0.18261719
m12->m13,-0.20410156,0.4765625
m2->m5,0.20410156,-0.609375
m5->m13,-0.20214844,-0.22167969
m6->m14,-0.1953125,0.21777344
m23->logits,-0.19238281,0.93359375
m10->m11,0.19140625,-0.24414062
a5.h5->m6,0.18652344,-0.26367188
a8.h6->m8,0.18457031,0.16796875
a5.h5->m5,0.18457031,-0.21289062
m4->m7,-0.18457031,-0.16894531
m1->m7,0.18261719,-0.21875
a1.h10->m4,-0.1796875,0.20898438
a7.h6->m7,0.1796875,0.19726562
m9->m12,0.17871094,0.1640625
m1->m12,0.17382812,0.20019531
a5.h3->m6,0.17089844,-0.11425781
m6->m12,-0.17089844,0.20019531
a3.h8->m5,0.16992188,0.15820312
m1->m5,-0.16894531,0.13964844
m13->m16,-0.16796875,-0.24511719
m22->logits,0.16210938,1.171875
a4.h3->m5,0.15820312,0.27539062
m10->m13,-0.15234375,0.15234375
m11->m14,0.14550781,-0.17578125
a8.h10->m8,0.14257812,-0.13671875
m21->m23,0.13671875,-0.78125
m7->m11,-0.13671875,0.2578125
a6.h13->m6,-0.13183594,0.13867188
a7.h5->m7,0.12890625,0.17871094
a2.h3->m6,0.12890625,-0.14355469
m12->m15,0.12792969,0.19335938
m11->m16,0.12792969,0.23632812
m16->m23,0.12792969,0.29492188
m15->m17,-0.12597656,-0.3984375
a8.h12->m13,0.123535156,-0.12451172
a1.h5->m2,0.122558594,0.19628906
m22->m23,0.115234375,-0.40429688
m0->m6,0.11425781,-0.21582031
a7.h4->m8,-0.11328125,0.11816406
m10->m14,0.11230469,-0.13476562
m20->m21,0.10546875,0.46289062
m1->m3,-0.10449219,0.28320312
m3->m13,-0.103027344,-0.14746094
a3.h11->m5,-0.103027344,0.115722656
m7->m9,0.10253906,-0.20507812
m4->m15,0.10107422,-0.17089844
a3.h1->m5,-0.10058594,0.17480469
a6.h7->m6,0.100097656,0.18847656
a2.h13->m3,0.09863281,0.18359375
a8.h9->m9,-0.09863281,0.29296875
a4.h3->m10,0.09814453,0.16796875
a1.h1->m1,-0.09814453,0.16503906
a3.h2->m5,0.09667969,0.20703125
m2->m10,0.09423828,0.21386719
a0.h8->m0,0.091308594,-0.4453125
m17->logits,-0.091308594,-0.63671875
m2->m7,-0.08935547,-0.41796875
a1.h11->m3,0.087402344,-0.33984375
m7->m15,0.08691406,0.22363281
a5.h13->m10,0.08496094,0.13671875
a6.h8->m9,0.084472656,-0.119140625
a8.h10->m13,-0.084472656,-0.20605469
a8.h12->m9,-0.08300781,0.25195312
a8.h9->m13,0.08251953,-0.13574219
a3.h10->m11,-0.08203125,-0.12597656
a2.h13->m4,-0.08105469,-0.19335938
a6.h4->m10,-0.080566406,0.122558594
a8.h12->m10,-0.080078125,-0.13183594
a6.h3->m10,0.078125,0.1640625
a8.h2->m8,-0.07763672,0.13769531
m3->m10,-0.07763672,0.3203125
a1.h1->m3,-0.076660156,-0.1328125
a1.h10->m7,0.076660156,0.13574219
m4->m5,0.076171875,0.40820312
m15->logits,-0.07519531,0.26757812
