edge,score_own,score_cross
input->m0,-0.80078125,-0.056884766
m6->m7,0.640625,0.34960938
a6.h3->m6,-0.546875,-0.06982422
m0->m4,-0.53125,-0.064453125
m3->m4,0.50390625,0.11230469
m8->m10,-0.49804688,0.4609375
m0->m8,0.484375,-0.10546875
m4->m9,0.44921875,-0.103027344
a10.h0->m10,0.44921875,0.083984375
m3->m5,-0.421875,-0.25976562
m3->m6,0.38671875,-0.09765625
a10.h7->m10,-0.37695312,-0.0703125
m6->m13,0.34960938,0.13085938
m4->m10,0.34960938,-0.06982422
m11->m13,0.328125,-0.24121094
m6->m11,-0.30273438,-0.06542969
m3->m11,0.27929688,-0.06591797
m3->m12,-0.27929688,-0.11767578
a8.h6->m10,0.27539062,-0.17480469
m11->m15,-0.2734375,-0.064453125
m4->m6,-0.2578125,0.064453125
m6->m8,-0.24609375,-0.14550781
m20->logits,-0.23730469,0.2265625
m11->m12,0.23242188,0.11669922
m0->m5,0.2265625,0.18457031
m13->m15,-0.22460938,0.07128906
m16->logits,-0.22167969,-0.16894531
m1->m8,-0.22167969,-0.08251953
m0->m9,-0.22167969,-0.14160156
m9->m10,0.21582031,-0.064453125
m15->m16,0.21289062,0.12597656
m10->m12,-0.20898438,-0.28710938
a1.h11->m6,0.20703125,-0.05493164
m0->m3,0.20703125,-0.16113281
a0.h5->m0,0.20507812,-0.053955078
m2->m5,0.20410156,-0.17382812
m12->m13,-0.20410156,0.15136719
m5->m13,-0.20214844,-0.10253906
m0->m11,0.1953125,0.072753906
m23->logits,-0.19238281,0.9609375
m14->m17,0.19140625,-0.091796875
m10->m11,0.19140625,0.41992188
a10.h4->m10,0.18652344,-0.06542969
m4->m7,-0.18457031,-0.21386719
m9->m12,0.17871094,-0.29296875
m5->m15,0.17480469,-0.0703125
m1->m12,0.17382812,0.087890625
m6->m12,-0.17089844,0.068359375
m13->m16,-0.16796875,-0.11230469
a10.h5->m10,0.15917969,-0.08642578
a8.h10->m11,0.15722656,0.09863281
m14->m19,-0.15429688,-0.0703125
a7.h5->m8,-0.15234375,-0.16015625
m6->m15,-0.14941406,0.11816406
m12->m16,-0.14648438,-0.13378906
a12.h8->m12,0.14648438,0.06542969
m5->m7,-0.14550781,-0.095703125
m11->m14,0.14550781,0.056884766
a14.h11->m14,-0.14160156,0.06542969
m7->m11,-0.13671875,-0.099609375
a5.h5->m7,-0.1328125,-0.12792969
a5.h9->m8,0.12792969,-0.061279297
m18->m19,-0.12792969,-0.12109375
a5.h13->m12,-0.12792969,0.10107422
m12->m15,0.12792969,-0.06225586
m16->m23,0.12792969,-0.068847656
m11->m16,0.12792969,0.125
a3.h8->m4,-0.12597656,0.06933594
m8->m13,-0.118652344,-0.13671875
m6->m9,-0.11669922,-0.06933594
a8.h10->m10,-0.11621094,0.05444336
m22->m23,0.115234375,0.13671875
m0->m6,0.11425781,-0.08642578
a7.h4->m8,-0.11328125,-0.15722656
m10->m14,0.11230469,-0.17871094
a4.h0->m4,0.111328125,0.084472656
a8.h6->m13,-0.10888672,0.09863281
m20->m21,0.10546875,-0.125
a5.h13->m8,0.10498047,-0.08300781
a12.h1->m12,0.10498047,-0.091308594
m1->m3,-0.10449219,-0.08935547
m7->m9,0.10253906,-0.20214844
m4->m15,0.10107422,0.08886719
m9->m13,0.099609375,0.06982422
a3.h10->m4,-0.09765625,0.064453125
m2->m10,0.09423828,-0.08203125
m3->m17,0.09326172,0.06689453
a8.h6->m11,-0.092285156,-0.15917969
m17->logits,-0.091308594,0.12207031
m17->m21,-0.09082031,-0.0625
a4.h5->m10,0.08984375,-0.06982422
a1.h11->m3,0.087402344,0.0625
a3.h3->m6,-0.087402344,0.06640625
m9->m11,-0.087402344,-0.061523438
a5.h10->m7,0.087402344,-0.059326172
a6.h3->m11,-0.08642578,0.08984375
a5.h13->m10,0.08496094,0.072265625
a6.h8->m9,0.084472656,-0.09375
a8.h10->m13,-0.084472656,-0.079589844
m16->m21,0.084472656,-0.09082031
a6.h2->m8,-0.083984375,-0.123535156
a7.h12->m10,-0.08300781,-0.057861328
a7.h6->m13,-0.08203125,0.0625
m11->m17,0.08105469,-0.061523438
a3.h3->m7,-0.08105469,0.08251953
a6.h4->m10,-0.080566406,-0.08691406
m8->m14,0.080566406,-0.15136719
m7->m8,0.080078125,0.06689453
a5.h11->m5,-0.079589844,-0.076171875
a10.h2->m12,0.07861328,-0.07519531
m3->m10,-0.07763672,-0.07080078
a7.h10->m10,-0.07763672,-0.06225586
m17->m18,0.076660156,-0.063964844
m4->m5,0.076171875,-0.091796875
m15->logits,-0.07519531,-0.09082031
a7.h4->m7,-0.07373047,0.095703125
