edge,score_own,score_cross
input->m0,-1.6171875,-0.26171875
m23->logits,1.3125,3.21875
m22->logits,1.0625,0.28710938
m22->m23,-0.96875,0.5
m20->logits,-0.8984375,-0.33789062
m20->m21,0.875,-0.16503906
m21->logits,-0.67578125,-0.17089844
m21->m23,-0.6015625,-0.1640625
m20->m23,0.55078125,0.4453125
m19->logits,-0.44921875,0.20996094
m0->m3,0.4375,-0.25390625
input->logits,0.4375,-0.06982422
m15->m23,-0.43554688,-0.22265625
m14->m23,-0.38085938,-0.24121094
m20->m22,-0.38085938,0.1953125
m4->m6,-0.359375,-0.43945312
m15->logits,0.35742188,0.119140625
m1->m4,-0.34765625,0.13671875
m13->m15,0.33984375,-0.07324219
m19->m21,0.30859375,-0.12890625
m4->m7,-0.30273438,-0.099609375
m11->m14,-0.28710938,-0.14453125
m16->m20,0.27929688,0.063964844
m19->m23,-0.2734375,-0.16503906
m10->m11,-0.27148438,-0.24902344
a0.h6->m0,0.26171875,0.17285156
a1.h11->m3,-0.25585938,0.12890625
m2->m5,-0.25585938,0.22460938
a0.h13->m0,-0.24609375,-0.063964844
m15->m17,-0.2421875,-0.07421875
m7->m13,0.24121094,0.18261719
m5->m10,-0.23828125,0.20410156
m2->m4,0.23828125,-0.28710938
a20.h7->logits,-0.2265625,-0.05834961
a0.h3->m0,0.21582031,0.19335938
m7->m8,-0.2109375,-0.24023438
m2->m9,0.20996094,0.13085938
m8->m9,-0.20996094,-0.16992188
m13->m23,-0.20898438,-0.10253906
m16->m17,-0.20214844,-0.16796875
m13->m14,-0.20214844,0.13671875
a1.h5->m1,-0.20117188,0.37695312
a0.h0->m0,0.19238281,0.16113281
m7->m12,-0.18652344,0.118652344
m5->m8,0.18164062,-0.15039062
a8.h10->m9,0.1796875,-0.15527344
m3->logits,-0.17871094,0.12695312
m2->m12,-0.17773438,-0.13574219
m4->m23,0.17578125,0.07763672
m3->m4,0.17480469,-0.38476562
a0.h1->m0,0.17382812,0.13574219
m16->m22,-0.17285156,0.17871094
m3->m6,-0.16992188,-0.14648438
m13->m16,-0.16601562,-0.10644531
m4->m12,0.16503906,-0.33007812
m0->m1,-0.1640625,0.94921875
m0->m5,-0.1640625,-0.13769531
m1->m12,0.1640625,0.068359375
m5->m9,-0.16015625,0.053222656
a23.h7->logits,-0.16015625,-0.064941406
a23.h11->logits,-0.15722656,-0.06225586
m3->m10,0.15722656,0.092285156
m15->m19,-0.15722656,-0.1953125
a1.h10->m3,-0.15527344,0.123535156
a1.h7->m3,-0.15429688,0.056152344
m6->m13,-0.15234375,0.23046875
m3->m12,0.15136719,0.2421875
a23.h5->logits,0.15039062,-0.106933594
m13->logits,-0.15039062,0.20410156
a2.h10->m2,0.14648438,0.12109375
a4.h3->m10,0.14257812,0.064453125
m12->m23,0.14257812,0.08105469
a10.h7->logits,0.13769531,0.10107422
m0->m4,0.13378906,-0.057861328
a1.h12->m3,-0.1328125,0.12792969
a0.h7->m0,-0.1328125,-0.140625
m10->logits,-0.1328125,-0.24707031
