edge,score_own,score_cross
m23->logits,1.359375,3.15625
m22->m23,1.0078125,0.3046875
input->m0,-0.921875,-0.69921875
m22->logits,-0.82421875,0.609375
m4->m8,-0.71875,0.4375
m16->logits,-0.609375,-0.69140625
m1->m2,0.5859375,0.46484375
m20->logits,-0.56640625,-0.21386719
m4->m5,-0.5234375,0.25585938
m7->m12,-0.51953125,0.17773438
m11->m12,0.515625,0.40429688
m21->logits,-0.51171875,-0.296875
m5->m7,0.50390625,-0.16015625
m0->m4,-0.48046875,-0.10107422
m0->m5,0.47070312,-0.06982422
m0->m1,-0.45703125,0.69140625
m4->m9,0.45703125,-0.080566406
m3->m12,-0.45507812,0.33203125
m3->m7,0.41210938,-0.10205078
m12->m13,0.39257812,-0.35546875
m7->m8,0.39257812,-0.3515625
m13->m16,-0.37304688,-0.19042969
m13->m14,-0.359375,0.18261719
a8.h10->m11,-0.33984375,0.12792969
m2->m4,0.3359375,-0.37304688
m7->m13,0.328125,0.18164062
m1->m3,-0.32226562,-0.2734375
m10->m14,0.3203125,0.07128906
a0.h6->m0,0.31054688,0.06347656
a1.h11->m1,0.31054688,-0.20703125
m13->m15,0.296875,-0.11230469
m14->m15,-0.296875,0.08105469
a1.h5->m4,-0.29296875,-0.060058594
m21->m23,0.29296875,-0.12792969
m4->m6,0.2890625,-0.48242188
a5.h13->m5,-0.27929688,0.08251953
a11.h3->m12,0.26953125,0.080078125
m8->m12,0.26367188,-0.06689453
m4->m12,0.25976562,-0.421875
m20->m22,0.2578125,0.25195312
a1.h10->m1,0.2578125,-0.12792969
m15->logits,-0.2578125,0.12597656
m16->m18,-0.25585938,0.16210938
m6->m11,-0.25,0.11230469
m3->m14,0.24707031,0.06738281
m6->m10,0.24121094,-0.13769531
a6.h3->m7,-0.23828125,-0.080566406
m1->m11,-0.23828125,0.12060547
a4.h3->m6,-0.23632812,0.10058594
m1->m5,0.23046875,-0.118652344
m6->m13,-0.22753906,0.16210938
m15->m19,-0.22753906,-0.123535156
m20->m23,0.2265625,0.28710938
a1.h7->m1,0.22265625,-0.16992188
m8->m9,0.21875,-0.38671875
m9->m14,-0.20898438,-0.07324219
m2->m13,-0.20410156,-0.15234375
a3.h10->m10,-0.20214844,0.05834961
a8.h6->m9,0.20019531,0.09082031
a1.h10->m3,-0.1953125,0.06689453
m3->m13,0.19335938,-0.05883789
m4->m11,0.19140625,0.265625
m1->m7,-0.19042969,0.18457031
m20->m21,-0.18652344,-0.18652344
a6.h13->m8,-0.18261719,0.095703125
m2->m9,0.18164062,0.17285156
m2->m8,-0.18164062,-0.32226562
a8.h10->m9,0.18164062,-0.11767578
m4->m13,-0.1796875,0.19140625
m1->m8,0.17871094,-0.20507812
m6->m12,-0.17578125,-0.20117188
m14->m23,-0.17382812,-0.20507812
a6.h4->m7,-0.17285156,-0.061035156
m5->m14,0.17285156,-0.06298828
a8.h7->m11,-0.16992188,0.076171875
a10.h7->m11,0.16992188,-0.13378906
m1->m9,-0.16796875,0.11767578
m10->m12,-0.16796875,-0.15234375
m19->m21,-0.16503906,-0.15039062
