edge,score_own,score_cross
m23->logits,1.359375,-14.3125
m22->m23,1.0078125,-1.3203125
input->m0,-0.921875,-1.4765625
m4->m8,-0.71875,-0.80078125
m6->m7,0.6796875,0.34960938
m16->logits,-0.609375,0.32421875
m1->m2,0.5859375,-0.671875
m20->logits,-0.56640625,-1.7265625
m4->m5,-0.5234375,-0.23339844
m7->m12,-0.51953125,-0.54296875
m11->m12,0.515625,-1.0
m5->m6,-0.51171875,-0.25
m21->logits,-0.51171875,-1.0546875
m5->m7,0.50390625,-0.80859375
m0->m5,0.47070312,-0.578125
m0->m1,-0.45703125,-0.44726562
m4->m9,0.45703125,0.703125
m3->m12,-0.45507812,0.28710938
m12->m13,0.39257812,1.0625
m7->m8,0.39257812,-0.984375
m13->m14,-0.359375,-0.51953125
a8.h10->m11,-0.33984375,0.29882812
m1->m12,-0.33203125,-0.23828125
m1->m3,-0.32226562,0.22167969
m10->m14,0.3203125,-0.52734375
m5->m15,0.3046875,0.3671875
m8->m10,-0.30273438,1.1484375
m13->m15,0.296875,-0.46289062
m14->m15,-0.296875,0.28125
a1.h5->m4,-0.29296875,0.23535156
m21->m23,0.29296875,-4.6875
m9->m15,0.2890625,-0.671875
m2->m14,-0.2890625,0.47265625
m4->m6,0.2890625,0.36523438
a11.h3->m11,-0.2734375,-0.21972656
m0->m11,0.26953125,0.26367188
a8.h6->m10,0.265625,-0.2890625
m8->m12,0.26367188,0.37695312
m4->m12,0.25976562,0.546875
m15->m18,0.2578125,-0.47460938
m20->m22,0.2578125,-1.953125
m16->m18,-0.25585938,1.1484375
m6->m11,-0.25,0.53125
m3->m14,0.24707031,0.21777344
m1->m4,-0.24121094,-0.76953125
m1->m11,-0.23828125,0.26953125
m1->m5,0.23046875,-0.6484375
m6->m13,-0.22753906,-0.3359375
m15->m19,-0.22753906,-0.74609375
m20->m23,0.2265625,-2.34375
a10.h0->m11,0.22363281,-0.4453125
m3->m4,-0.21875,0.296875
m8->m9,0.21875,0.73828125
m9->m14,-0.20898438,0.26953125
a10.h0->m10,-0.20898438,0.24609375
m2->m13,-0.20410156,-0.48828125
a3.h10->m10,-0.20214844,0.20996094
m3->m13,0.19335938,0.2265625
m9->m11,-0.19238281,-0.27929688
m4->m11,0.19140625,0.2109375
m20->m21,-0.18652344,3.71875
a12.h0->logits,0.18359375,-0.3359375
a8.h10->m9,0.18164062,-0.51171875
m2->m8,-0.18164062,0.69140625
m2->m9,0.18164062,0.6015625
m6->m12,-0.17578125,-0.44726562
m14->m23,-0.17382812,-1.171875
a8.h7->m11,-0.16992188,0.29492188
m15->m16,-0.16894531,0.7890625
m2->m11,-0.16796875,-0.41210938
m10->m12,-0.16796875,0.61328125
m19->m21,-0.16503906,1.3671875
a7.h6->m10,-0.16210938,-0.22753906
a12.h0->m23,-0.15917969,-0.34960938
a8.h10->m10,0.15917969,0.328125
a8.h6->m13,-0.15332031,-0.25195312
a12.h0->m12,-0.15234375,-0.67578125
m7->logits,-0.15234375,0.3984375
m18->m23,-0.1484375,-0.31835938
m10->m18,-0.14355469,0.4375
a8.h0->m10,-0.14355469,0.21386719
m11->m14,0.140625,-0.74609375
m14->m21,-0.13964844,0.8359375
m7->m10,-0.13964844,-1.2578125
m8->m11,-0.13671875,-1.546875
a6.h3->m6,0.13476562,0.22753906
m9->m10,0.1328125,-0.64453125
m11->m18,0.13183594,0.26953125
a9.h5->m9,-0.12597656,0.265625
m14->logits,0.12597656,-1.2421875
m14->m16,-0.12597656,-1.59375
m4->m22,0.12597656,-0.33789062
m17->m19,-0.123535156,0.37695312
a2.h4->m3,-0.122558594,-0.33007812
a4.h3->m9,0.122558594,-0.41210938
m2->m3,-0.12060547,0.3828125
m7->m16,-0.119140625,0.37695312
a7.h5->m11,0.118652344,-0.31054688
a7.h4->m8,-0.118652344,0.21289062
a6.h3->m12,-0.11816406,-0.30664062
a3.h10->m9,0.11767578,-0.25195312
m11->m17,0.115722656,-0.375
m13->m22,-0.115722656,0.5234375
a10.h7->m16,0.115722656,-0.421875
m2->m18,0.115234375,0.25
a9.h9->m9,0.115234375,0.22753906
m9->m13,-0.11328125,0.32421875
a7.h13->m9,0.10986328,-0.21582031
a1.h1->m1,-0.10986328,0.25585938
m2->m10,0.10888672,-0.69921875
a16.h11->logits,0.107421875,0.3984375
m0->m21,-0.107421875,-0.453125
a1.h10->m2,-0.107421875,0.21484375
m7->m11,0.10644531,2.734375
a8.h12->m13,0.103515625,0.22167969
a7.h5->m8,-0.10107422,0.28710938
m19->logits,-0.09863281,-1.4296875
m15->m20,-0.09814453,-1.2890625
m3->m10,0.09765625,0.94140625
m13->logits,-0.09765625,-0.9609375
m0->m20,0.096191406,-0.96875
m3->m16,-0.09423828,-0.3984375
m18->m20,0.09375,0.75390625
m4->m7,0.09326172,0.47265625
a5.h5->m10,0.092285156,-0.453125
m10->m15,-0.087402344,-0.453125
