edge,score_own,score_cross
m23->logits,1.359375,0.828125
input->m0,-0.921875,0.09667969
m22->logits,-0.82421875,0.08691406
m4->m8,-0.71875,0.100097656
m6->m7,0.6796875,0.12890625
m16->logits,-0.609375,-0.060302734
m20->logits,-0.56640625,0.15332031
m4->m5,-0.5234375,-0.07714844
m7->m12,-0.51953125,-0.107421875
m21->logits,-0.51171875,-0.28320312
m5->m7,0.50390625,0.08642578
m0->m4,-0.48046875,-0.0703125
m0->m5,0.47070312,0.123046875
m3->m12,-0.45507812,-0.05029297
m3->m7,0.41210938,0.08496094
m13->m16,-0.37304688,-0.06640625
m13->m14,-0.359375,0.048339844
m10->m16,-0.34570312,-0.052734375
a8.h10->m11,-0.33984375,0.071777344
m2->m4,0.3359375,-0.084472656
m1->m12,-0.33203125,0.05444336
m7->m13,0.328125,0.05102539
m1->m3,-0.32226562,-0.04345703
m10->m14,0.3203125,-0.044921875
m0->m6,-0.31054688,-0.048339844
m8->m10,-0.30273438,0.33203125
m21->m23,0.29296875,-0.107910156
m4->m6,0.2890625,-0.067871094
a11.h3->m12,0.26953125,-0.07373047
a8.h6->m10,0.265625,-0.13476562
m8->m12,0.26367188,0.21777344
m20->m22,0.2578125,-0.12890625
m15->logits,-0.2578125,-0.13671875
m15->m18,0.2578125,0.053466797
a1.h10->m1,0.2578125,-0.075683594
m16->m18,-0.25585938,0.041503906
m6->m11,-0.25,-0.08935547
m3->m14,0.24707031,0.040527344
m12->m16,0.24609375,-0.10107422
m6->m10,0.24121094,0.05444336
a6.h3->m7,-0.23828125,-0.057128906
m6->m13,-0.22753906,0.107910156
m15->m19,-0.22753906,-0.05810547
a1.h7->m1,0.22265625,-0.049072266
m8->m9,0.21875,-0.048339844
a3.h1->m3,0.21777344,0.05834961
m3->m9,0.21582031,-0.06542969
a14.h2->m14,0.21289062,-0.05102539
m6->m17,-0.20898438,0.041015625
a10.h0->m10,-0.20898438,0.041015625
a11.h0->m12,0.20117188,-0.095214844
m9->m11,-0.19238281,-0.047607422
a11.h2->m12,0.18652344,-0.047851562
m20->m21,-0.18652344,-0.064941406
a12.h0->logits,0.18359375,-0.09814453
m2->m9,0.18164062,-0.15722656
m4->m13,-0.1796875,-0.10058594
m1->m8,0.17871094,-0.091308594
m6->m12,-0.17578125,0.056884766
m14->m23,-0.17382812,-0.1640625
m5->m14,0.17285156,0.076171875
a10.h7->m11,0.16992188,0.068359375
m16->m21,-0.16992188,-0.05908203
a8.h7->m11,-0.16992188,0.041015625
m15->m16,-0.16894531,0.12597656
m10->m12,-0.16796875,-0.24707031
m2->m11,-0.16796875,0.048828125
m4->m17,0.16503906,-0.049316406
m7->m17,0.1640625,-0.072265625
a8.h10->m10,0.15917969,0.06640625
a16.h7->logits,-0.15527344,-0.060546875
a16.h10->logits,-0.15527344,-0.07861328
a23.h0->logits,0.15332031,-0.044433594
a8.h6->m13,-0.15332031,0.049316406
m6->m8,-0.15234375,-0.048828125
m7->logits,-0.15234375,-0.060546875
a4.h3->m7,0.14648438,-0.061767578
m5->m8,-0.14648438,-0.16113281
a7.h6->m11,0.14453125,0.08691406
m10->m18,-0.14355469,0.057128906
a16.h13->logits,-0.13964844,-0.061279297
m7->m10,-0.13964844,0.11425781
a10.h13->m12,0.13867188,-0.080566406
a6.h8->m11,-0.13769531,0.046875
m12->m18,-0.13671875,0.06640625
m0->m7,-0.13671875,0.040527344
a8.h2->m11,0.13671875,-0.053222656
m7->m23,0.13671875,0.092285156
m9->m10,0.1328125,-0.2265625
m11->m18,0.13183594,0.06542969
a2.h3->m3,-0.13183594,-0.057128906
a6.h12->m10,0.13085938,0.068359375
a1.h5->m1,-0.12890625,-0.079589844
a7.h6->m13,-0.12597656,0.059326172
m14->logits,0.12597656,0.12597656
m8->m16,0.12451172,0.106933594
a4.h3->m9,0.122558594,-0.048339844
a2.h1->m3,-0.12109375,-0.05126953
m0->m2,-0.12060547,-0.042236328
m2->m3,-0.12060547,-0.10644531
a5.h12->m7,-0.12060547,-0.06640625
m7->m16,-0.119140625,-0.20117188
a7.h5->m11,0.118652344,0.084472656
a7.h4->m8,-0.118652344,-0.068847656
m11->logits,-0.118652344,-0.13867188
a5.h13->m12,0.118652344,0.07128906
a6.h3->m12,-0.11816406,-0.0625
m11->m17,0.115722656,-0.053955078
a10.h7->m16,0.115722656,0.06225586
m11->m13,-0.111816406,-0.05126953
a7.h13->m9,0.10986328,-0.047607422
a16.h11->m18,0.10986328,-0.060058594
a7.h4->m13,-0.10888672,0.08105469
m3->m5,0.10888672,-0.11328125
a8.h6->m14,-0.10888672,0.051757812
a10.h7->logits,-0.107910156,-0.076660156
a16.h11->logits,0.107421875,-0.044677734
a6.h3->m9,0.10644531,-0.07470703
m7->m11,0.10644531,-0.042236328
a7.h5->m13,-0.10498047,0.07861328
a11.h0->logits,0.10449219,-0.107910156
a14.h6->m14,0.10253906,-0.068359375
a7.h5->m8,-0.10107422,-0.087402344
a12.h1->logits,0.100097656,-0.08984375
m13->logits,-0.09765625,0.13964844
a10.h6->logits,-0.09765625,-0.040283203
m0->m20,0.096191406,-0.040527344
a8.h10->m23,0.095703125,-0.047607422
a7.h4->m11,0.095214844,0.067871094
a23.h2->logits,0.09423828,-0.05493164
m3->m16,-0.09423828,-0.064941406
a12.h5->logits,0.09375,-0.08691406
m4->m7,0.09326172,-0.09326172
a12.h4->logits,0.08935547,-0.045898438
a1.h11->m7,0.08886719,0.056152344
