edge,score_own,score_cross
m23->logits,5.53125,0.1875
m22->logits,2.859375,-0.03881836
m0->m1,1.34375,-0.03564453
m20->logits,-1.28125,-0.31054688
input->m0,-1.203125,0.08886719
m19->logits,1.109375,-0.25
m11->m13,0.80078125,-0.018432617
m17->logits,0.671875,-0.052734375
m20->m23,0.65625,0.08496094
m2->m4,0.640625,0.028930664
m12->m14,-0.63671875,-0.053710938
m18->logits,0.62109375,-0.11376953
a10.h7->m12,0.609375,-0.016601562
m9->m13,-0.609375,0.023925781
m5->m6,0.59375,0.03173828
m15->m23,-0.58984375,0.03930664
m16->logits,-0.55078125,-0.17578125
m16->m17,0.55078125,0.047607422
m12->m13,-0.55078125,0.033691406
m10->m17,0.54296875,-0.017333984
m7->m10,-0.53515625,0.018554688
m14->m17,0.515625,0.020629883
m11->m15,-0.51171875,-0.05053711
m13->m15,0.49414062,0.031982422
m4->m12,-0.4921875,0.014587402
m6->m10,0.48828125,-0.03515625
m8->m11,0.48242188,0.030639648
m13->logits,0.47460938,-0.029052734
m4->m8,0.47265625,-0.021240234
m2->m9,-0.44726562,-0.025146484
m0->m3,-0.43554688,-0.044433594
m21->m23,-0.40429688,0.055419922
m19->m23,0.3984375,0.080566406
m10->logits,-0.39453125,0.01940918
m15->m17,0.39257812,-0.034423828
m16->m20,-0.38671875,-0.029663086
m15->m16,-0.375,0.024902344
a8.h10->m10,0.37304688,-0.035888672
m6->m12,0.359375,-0.026855469
m2->m5,-0.3515625,-0.013427734
m14->m15,-0.34960938,0.026245117
m22->m23,-0.32226562,-0.012817383
m21->logits,0.31835938,-0.15527344
m8->m13,0.31445312,0.026367188
a3.h10->m3,0.31054688,0.019897461
m10->m13,-0.30859375,-0.014709473
m3->m6,-0.30664062,-0.022705078
m17->m20,-0.3046875,0.032958984
m6->m14,0.28125,0.024658203
m7->m9,-0.27929688,0.029663086
m10->m18,0.26953125,0.014526367
m1->m4,0.26953125,0.012939453
m8->m12,-0.24902344,-0.025878906
m15->logits,0.24511719,-0.103027344
m9->m16,0.24511719,-0.022949219
m7->m20,0.24023438,-0.014282227
m3->m15,-0.23730469,0.016845703
m3->m7,0.23535156,-0.019165039
m7->m14,-0.23242188,-0.057861328
a6.h3->logits,-0.23046875,-0.015319824
a1.h11->m3,0.23046875,0.016601562
m2->m13,-0.23046875,0.024658203
m3->m10,0.23046875,0.029663086
m18->m23,-0.23046875,0.047607422
a5.h5->m13,0.22753906,0.021850586
a1.h5->m2,-0.22265625,0.015258789
a6.h3->m13,0.22265625,0.018066406
m12->m17,-0.21875,0.024047852
m19->m21,-0.21875,0.014038086
m7->m17,0.21582031,0.014038086
a9.h2->m9,-0.2109375,-0.015014648
a10.h13->m12,0.20703125,-0.020996094
a7.h6->m8,-0.20605469,-0.017700195
a23.h3->logits,-0.20605469,0.014160156
a19.h8->m20,-0.20507812,0.01373291
a8.h10->m12,-0.20410156,-0.012634277
a8.h10->logits,-0.20410156,-0.024658203
a10.h0->m11,-0.20214844,-0.017456055
m18->m19,0.20214844,0.033691406
a6.h3->m15,0.19921875,-0.026123047
m6->logits,-0.19628906,-0.019042969
a8.h12->m10,0.19238281,-0.028564453
a23.h1->logits,-0.19140625,0.024658203
m3->logits,0.19042969,-0.021972656
m9->m12,0.18847656,0.024414062
m2->m6,0.1875,-0.036132812
a5.h12->m5,0.18652344,-0.020141602
m5->m14,-0.18457031,0.026977539
m7->m13,-0.18457031,0.039794922
m12->m16,0.1796875,-0.012573242
a23.h1->m23,0.17871094,-0.019042969
m8->m15,-0.17773438,-0.015563965
m1->m6,0.17578125,-0.014526367
a5.h13->m10,-0.17578125,-0.014282227
m6->m8,-0.17382812,-0.01965332
a1.h1->m1,0.17285156,0.014465332
m14->m23,-0.16894531,0.016967773
a3.h8->m5,-0.16894531,-0.012512207
m8->m14,0.16796875,0.017211914
m15->m19,0.16796875,-0.014770508
m3->m5,0.16503906,-0.040527344
a8.h6->m14,-0.1640625,0.014465332
m14->m22,0.16210938,0.012817383
a8.h12->m12,-0.16113281,0.021240234
m11->m12,0.15722656,0.014404297
a22.h9->logits,-0.15722656,0.017089844
m14->logits,-0.15625,-0.04321289
a23.h2->logits,-0.15527344,0.012573242
a0.h3->m0,0.15527344,0.014221191
m5->m20,0.15527344,-0.025878906
m6->m18,-0.15527344,-0.017089844
a0.h0->m0,0.15527344,0.026977539
a17.h5->m22,0.15332031,0.012634277
m1->m13,-0.15136719,0.015319824
m1->m11,0.15039062,0.013061523
a5.h5->m15,0.14746094,-0.013977051
a10.h7->m14,0.14648438,-0.04345703
m0->m9,0.14648438,-0.021240234
m16->m23,-0.14550781,0.083984375
m7->m8,0.14550781,-0.050048828
m6->m11,-0.14453125,0.022705078
m0->m15,-0.14355469,0.018554688
a8.h10->m11,0.14355469,0.017578125
m2->m8,0.14160156,0.036132812
m0->m16,0.13964844,-0.028930664
a5.h12->m12,-0.13867188,-0.017211914
a15.h4->m17,0.13671875,-0.014526367
a12.h5->m12,-0.13574219,-0.032226562
m12->m19,0.13574219,0.015075684
a7.h0->m8,-0.13476562,-0.013916016
m10->m20,-0.13476562,-0.017211914
m13->m20,-0.1328125,-0.014770508
a12.h0->m16,0.13085938,-0.014526367
m0->m5,-0.12988281,-0.018554688
m8->m20,-0.12988281,0.015014648
a22.h13->logits,-0.12890625,0.01953125
a12.h0->m15,0.12792969,0.029052734
m0->m22,-0.12792969,-0.022216797
a6.h3->m8,0.12597656,-0.01373291
a23.h11->logits,-0.123535156,0.027709961
a8.h12->m9,-0.12207031,-0.013122559
m9->m14,0.12011719,-0.016723633
a16.h11->m20,0.118652344,-0.018066406
m1->m7,-0.11816406,0.022949219
m0->m2,0.11621094,0.027832031
