edge,score_own,score_cross
m23->logits,5.53125,2.234375
m22->logits,2.859375,-0.04663086
m0->m1,1.34375,-0.12597656
m20->logits,-1.28125,0.05053711
input->m0,-1.203125,-0.10986328
m19->logits,1.109375,-0.0625
m1->m2,1.1015625,0.084472656
m17->m18,0.93359375,-0.07128906
m17->logits,0.671875,-0.064941406
m20->m23,0.65625,0.19335938
m18->logits,0.62109375,0.2734375
m9->m13,-0.609375,-0.06542969
a10.h7->m12,0.609375,0.0703125
m5->m6,0.59375,0.068359375
m15->m23,-0.58984375,0.08642578
a10.h7->m10,-0.57421875,-0.10644531
m16->m17,0.55078125,0.1640625
m16->logits,-0.55078125,-0.15039062
m2->m3,0.55078125,-0.06298828
m12->m13,-0.55078125,-0.07421875
m11->logits,-0.53125,-0.09863281
m4->m17,-0.5234375,-0.040283203
m14->m18,-0.5234375,-0.080078125
m14->m17,0.515625,-0.05029297
m4->m9,-0.49804688,-0.06298828
m13->m15,0.49414062,0.050048828
m6->m10,0.48828125,0.2734375
a12.h0->m12,-0.484375,0.072265625
m8->m11,0.48242188,0.10498047
m13->logits,0.47460938,-0.07714844
m4->m8,0.47265625,0.044433594
m1->m3,-0.46289062,-0.07763672
m2->m9,-0.44726562,-0.11328125
m2->m12,-0.4140625,0.09423828
m21->m23,-0.40429688,-0.3828125
m5->m10,0.40234375,0.06298828
m6->m7,-0.40039062,0.27734375
m10->logits,-0.39453125,-0.21875
m16->m20,-0.38671875,0.05883789
m11->m23,0.38085938,0.059570312
m15->m16,-0.375,0.19335938
a8.h10->m10,0.37304688,0.04321289
m10->m15,0.36914062,0.057861328
m6->m12,0.359375,-0.15527344
m4->m6,-0.34570312,-0.053466797
m12->m15,0.33203125,0.048095703
m22->m23,-0.32226562,0.26171875
m21->logits,0.31835938,0.22363281
m8->m13,0.31445312,-0.15722656
a16.h11->m16,0.28320312,-0.04272461
m7->m9,-0.27929688,0.28710938
a1.h5->m1,0.27929688,-0.09423828
a4.h0->m4,-0.27539062,0.068847656
a17.h5->m23,0.2734375,0.068847656
m10->m18,0.26953125,0.05126953
m13->m17,0.26367188,-0.06591797
a20.h3->m20,-0.26171875,-0.0546875
m20->m22,-0.25976562,-0.16210938
m5->m16,0.2578125,0.061523438
m12->logits,-0.2578125,-0.072265625
m8->m12,-0.24902344,0.12792969
m15->logits,0.24511719,-0.19042969
a6.h3->m7,-0.24121094,-0.10986328
m7->m20,0.24023438,0.06298828
m3->m15,-0.23730469,0.04272461
a8.h10->m16,0.23242188,0.046875
m1->logits,-0.23242188,-0.048339844
a6.h3->logits,-0.23046875,-0.055664062
m18->m23,-0.23046875,-0.11767578
m3->m10,0.23046875,0.080078125
a1.h2->m1,0.22851562,-0.08496094
a6.h3->m13,0.22265625,0.042236328
a10.h8->m12,0.21875,-0.057128906
m12->m18,0.21777344,0.07861328
m8->m16,0.21582031,0.06689453
a17.h10->m17,0.2109375,-0.045898438
m8->m23,0.20996094,0.076171875
a10.h13->m12,0.20703125,-0.04248047
m1->m8,-0.20410156,-0.041259766
a8.h10->m12,-0.20410156,-0.091796875
a10.h0->m11,-0.20214844,0.057861328
m6->logits,-0.19628906,-0.07470703
m9->m12,0.18847656,0.107910156
m9->m19,-0.18847656,-0.08251953
a10.h2->logits,-0.1875,-0.07714844
m2->m6,0.1875,0.0546875
m10->m11,-0.1875,0.080566406
m5->m8,-0.18652344,0.04272461
m7->m13,-0.18457031,0.09814453
m5->m14,-0.18457031,0.055664062
a12.h0->m14,-0.18359375,-0.08984375
m8->m15,-0.17773438,0.07861328
a1.h2->m2,-0.17773438,0.05126953
m1->m6,0.17578125,0.04248047
m6->m8,-0.17382812,-0.25585938
a8.h10->m8,-0.17089844,0.055908203
a5.h5->m9,0.17089844,0.04248047
a17.h11->m19,0.16992188,0.048095703
a14.h1->m15,0.16894531,-0.07763672
m14->m23,-0.16894531,-0.12792969
m15->m19,0.16796875,-0.080078125
m8->m14,0.16796875,0.059570312
m3->m5,0.16503906,-0.118652344
a8.h6->m14,-0.1640625,0.044921875
m9->m18,0.16210938,0.068359375
a10.h0->logits,-0.16113281,-0.07128906
m0->m4,0.15917969,-0.061279297
m14->logits,-0.15625,0.06542969
m6->m15,0.15527344,0.107421875
a0.h6->m0,0.15429688,-0.043945312
a23.h10->logits,-0.15234375,-0.044433594
a19.h8->logits,-0.15136719,0.05126953
a7.h10->logits,0.1484375,0.09765625
a18.h9->logits,0.1484375,0.060302734
a0.h11->m0,-0.1484375,-0.057617188
a6.h4->m15,0.1484375,0.049316406
a10.h13->m15,0.1484375,0.061767578
m0->m9,0.14648438,-0.05053711
a8.h10->m11,0.14355469,0.08642578
m1->m12,0.13964844,0.06982422
a6.h12->m6,-0.13867188,0.04321289
m0->m10,-0.13769531,0.12207031
a12.h5->m12,-0.13574219,0.08496094
m7->m19,-0.13476562,0.079589844
m8->logits,-0.1328125,-0.140625
a0.h7->m0,0.1328125,-0.045410156
m10->m21,-0.13085938,0.04345703
a10.h4->m10,0.13085938,-0.052734375
m8->m20,-0.12988281,-0.04321289
m6->m13,-0.12890625,0.071777344
a22.h13->logits,-0.12890625,-0.15625
m9->m15,0.12792969,-0.06640625
a13.h11->m19,0.125,0.05029297
a11.h3->m13,-0.12451172,0.056884766
a10.h13->m16,-0.12207031,0.041503906
a14.h1->m23,-0.12109375,-0.07763672
a16.h11->m20,0.118652344,0.07324219
a6.h2->logits,-0.11816406,-0.060546875
a6.h2->m7,-0.11767578,-0.052734375
m0->m2,0.11621094,-0.050048828
