edge,score_own,score_cross
m23->logits,-14.25,0.07080078
m21->m23,-5.0625,0.040527344
m20->m23,-3.421875,0.07714844
m7->m11,2.171875,-0.017944336
m19->logits,-2.09375,-0.27929688
m20->logits,-1.9765625,-0.31835938
m13->logits,-1.53125,-0.037353516
m19->m21,1.5078125,0.016235352
m21->logits,-1.46875,-0.084472656
m21->m22,1.3671875,0.025146484
m17->m23,-1.359375,0.01586914
m14->logits,-1.3515625,-0.037109375
m15->m20,-1.2734375,-0.026245117
m16->m23,-1.25,0.06933594
m14->m23,-1.234375,0.022827148
input->m0,-1.171875,0.060302734
m0->m20,-1.1640625,-0.038085938
m11->m16,1.1640625,0.014831543
m7->m12,-1.0625,-0.017944336
m16->m18,0.9765625,0.016113281
m19->m23,-0.9453125,0.083984375
m2->m9,0.86328125,0.014160156
m11->m12,-0.859375,0.03515625
m7->m20,-0.83984375,-0.024902344
m7->m8,-0.82421875,0.016235352
m15->m18,-0.7890625,0.031982422
m0->m22,-0.78125,-0.021118164
m5->m10,-0.76953125,0.022216797
m14->m18,-0.765625,0.016357422
m17->logits,0.76171875,-0.056884766
a6.h3->m11,-0.75390625,-0.012634277
m12->m15,-0.71484375,0.0134887695
m10->m13,0.69921875,0.015014648
m14->m22,0.6796875,0.014526367
m8->m10,0.6484375,-0.014221191
a0.h8->m0,0.62109375,0.014465332
m22->logits,-0.6015625,0.04248047
m9->m15,-0.59375,0.021850586
a16.h11->m20,0.5859375,-0.013305664
m9->m12,-0.58203125,0.024414062
m3->m20,-0.5703125,0.015014648
a10.h7->m16,-0.56640625,0.01586914
m12->m14,-0.56640625,-0.046142578
m4->m8,-0.55859375,-0.015991211
m3->m10,0.5546875,0.029541016
m6->m13,-0.5546875,-0.030883789
m2->m23,-0.55078125,0.015563965
a16.h11->m16,0.54296875,-0.020751953
m11->m15,-0.5390625,-0.061767578
m2->m14,0.53515625,0.016601562
m1->m4,-0.5234375,-0.030029297
m9->m10,-0.515625,-0.016357422
m16->m20,0.50390625,-0.016235352
m15->m23,0.49804688,0.037109375
m12->m13,0.48828125,0.04248047
m8->m12,0.484375,-0.012512207
m1->m2,-0.48242188,-0.02722168
m10->m22,-0.4765625,-0.015991211
a12.h0->m23,-0.47460938,0.016357422
a10.h0->m21,0.47460938,0.016235352
m0->m15,-0.47265625,-0.015014648
a17.h5->logits,-0.453125,-0.021728516
m12->m20,-0.453125,-0.01940918
m2->m13,-0.44921875,0.026611328
m4->m22,-0.44726562,-0.016235352
m10->logits,0.44726562,0.030517578
a16.h11->m23,-0.4375,0.02734375
m15->m16,0.43164062,0.018676758
m9->m13,0.42578125,0.025878906
m3->m16,-0.421875,-0.030761719
m12->m17,0.41210938,0.03540039
m6->logits,0.41210938,-0.029418945
m8->logits,-0.41015625,0.015380859
m6->m22,-0.41015625,0.0138549805
a8.h10->m11,0.40429688,0.024902344
m4->m10,0.40429688,0.040283203
a5.h13->logits,-0.40234375,0.012939453
m13->m18,-0.40234375,0.017089844
m9->m19,0.39453125,0.012573242
a16.h11->m22,-0.39257812,0.024902344
a9.h2->m15,0.390625,0.014404297
m0->m5,-0.3828125,-0.016601562
a14.h11->m15,-0.37304688,0.026977539
a6.h5->m13,0.36328125,-0.01586914
m11->m14,-0.3515625,-0.012512207
m0->m14,0.3515625,0.020263672
m16->logits,0.34570312,-0.13085938
m12->m18,0.3359375,-0.014770508
m0->logits,-0.31054688,-0.015014648
m14->m15,-0.31054688,0.03149414
a23.h9->logits,-0.30859375,0.014709473
m3->m4,0.30664062,-0.01373291
m3->m8,0.3046875,0.019165039
m2->m3,0.3046875,0.034179688
a23.h11->logits,-0.30078125,0.021240234
a10.h7->m11,-0.296875,0.017822266
a5.h5->m10,-0.296875,0.017944336
m8->m18,0.28710938,0.0138549805
m18->logits,0.28710938,-0.08105469
a12.h0->logits,-0.28710938,-0.035888672
m6->m10,-0.28320312,-0.016601562
m6->m9,0.27929688,0.049316406
m13->m15,-0.27734375,0.036865234
a10.h7->m14,-0.2734375,-0.030517578
m10->m19,-0.26953125,0.018432617
m5->m9,-0.26367188,-0.022216797
m10->m18,0.26367188,0.016113281
m18->m23,-0.2578125,0.03955078
m0->m11,0.25585938,0.013916016
a10.h0->m16,0.25390625,0.014831543
m18->m19,0.24902344,0.03955078
a6.h3->m12,-0.24609375,0.01965332
a10.h7->m12,0.2421875,-0.016357422
a1.h10->m5,0.24121094,0.025878906
a5.h5->m13,0.23535156,0.013183594
m5->m11,0.23339844,-0.024414062
a8.h12->logits,0.23339844,-0.012634277
a6.h5->m12,-0.23242188,0.01574707
m14->m20,0.23046875,0.0134887695
m7->m13,0.22460938,0.027954102
m2->m11,-0.22167969,0.014770508
a6.h12->m7,0.21777344,0.015625
m4->m5,-0.21582031,-0.025146484
a0.h0->m0,-0.21386719,0.029663086
m4->logits,0.21386719,0.024536133
a17.h10->logits,0.20996094,0.022460938
a12.h0->m15,-0.20996094,0.024902344
m4->m15,0.20996094,-0.017944336
