edge,score_own,score_cross
m23->logits,-14.25,1.9609375
m21->m23,-5.0625,-0.65625
m20->m21,4.96875,0.4609375
m20->m23,-3.421875,0.26171875
m20->m22,-2.953125,-0.43554688
m7->m11,2.171875,0.18164062
m19->logits,-2.09375,-0.30078125
m20->logits,-1.9765625,-0.703125
m22->m23,-1.5703125,-0.73046875
m13->logits,-1.53125,-0.20117188
m10->m11,-1.5234375,-0.2578125
m19->m21,1.5078125,0.25585938
m21->logits,-1.46875,-0.68359375
m21->m22,1.3671875,0.099609375
m17->m23,-1.359375,0.19238281
m14->logits,-1.3515625,-0.44726562
m14->m16,-1.328125,-0.16113281
m15->m20,-1.2734375,-0.17285156
m19->m22,1.2734375,0.084472656
m16->m23,-1.25,0.24023438
m14->m23,-1.234375,-0.25195312
input->m0,-1.171875,-1.7421875
m11->m16,1.1640625,0.140625
m0->m20,-1.1640625,-0.22363281
m7->m12,-1.0625,-0.30078125
m16->m18,0.9765625,-0.09863281
m19->m23,-0.9453125,-0.39257812
a0.h11->m0,0.9296875,-0.079589844
m18->m20,0.91015625,0.22167969
m13->m20,0.90625,0.08691406
m2->m9,0.86328125,0.23632812
m14->m21,0.8359375,-0.087890625
m7->m8,-0.82421875,-0.13769531
m15->m18,-0.7890625,-0.119140625
m0->m22,-0.78125,-0.13574219
m13->m23,-0.78125,-0.16796875
m15->m19,-0.76953125,-0.076171875
m8->m9,0.76953125,-0.3203125
m5->m10,-0.76953125,-0.13085938
a0.h10->m0,0.76171875,-0.18457031
m17->logits,0.76171875,-0.56640625
m19->m20,0.74609375,0.17773438
m12->m15,-0.71484375,0.16894531
m3->logits,-0.69921875,-0.11669922
m10->m13,0.69921875,0.17578125
m14->m22,0.6796875,0.16210938
input->logits,0.6796875,0.4765625
m12->m21,-0.67578125,-0.07324219
a22.h9->m22,-0.671875,-0.20507812
m1->logits,-0.66015625,-0.09863281
a0.h8->m0,0.62109375,-0.09082031
a0.h9->m0,0.6171875,-0.16503906
m22->logits,-0.6015625,1.0390625
a0.h7->m0,0.59375,-0.1875
m9->m15,-0.59375,-0.10205078
a12.h0->m18,0.59375,0.071777344
m16->m19,0.59375,0.15039062
m2->logits,0.5859375,0.6484375
m9->m12,-0.58203125,-0.087890625
m3->m20,-0.5703125,-0.092285156
a0.h13->m0,0.56640625,-0.19628906
a10.h7->m16,-0.56640625,-0.10205078
m4->m8,-0.55859375,0.20996094
m6->m13,-0.5546875,-0.12988281
m3->m10,0.5546875,0.22363281
m2->m23,-0.55078125,-0.16015625
m4->m21,-0.5390625,-0.1328125
m13->m22,0.53515625,-0.107421875
m2->m14,0.53515625,-0.07128906
m4->m9,0.53125,-0.38085938
a23.h0->m23,-0.53125,-0.17089844
m7->logits,0.5234375,-0.20605469
a23.h2->m23,-0.515625,-0.15039062
m9->m10,-0.515625,0.20117188
m15->m23,0.49804688,-0.25585938
m1->m3,0.48828125,0.18359375
a23.h4->m23,-0.484375,-0.16113281
m0->m21,-0.484375,-0.087890625
a23.h1->m23,-0.484375,-0.14746094
m1->m2,-0.48242188,1.015625
m8->m15,-0.48242188,0.17480469
a23.h5->m23,-0.48046875,-0.16210938
m16->m22,-0.47460938,-0.08105469
m18->m22,0.47265625,0.08642578
m0->m15,-0.47265625,-0.12060547
m7->m10,-0.453125,0.21484375
m18->m21,0.453125,0.107421875
m12->m20,-0.453125,-0.16113281
a16.h11->logits,0.43164062,0.07519531
m15->m16,0.43164062,0.091308594
m9->m13,0.42578125,0.11669922
a8.h6->m12,0.42578125,0.07421875
a12.h0->m13,0.42578125,0.107421875
m12->m17,0.41210938,0.14648438
m8->logits,-0.41015625,-0.13476562
m4->m10,0.40429688,0.103515625
a16.h11->m21,-0.38476562,-0.10449219
a23.h10->m23,0.375,0.14550781
m8->m19,0.375,0.16210938
m5->m21,-0.375,-0.083984375
a23.h13->m23,0.36914062,0.12988281
m4->m7,0.36523438,-0.109375
a23.h7->m23,0.36328125,0.13378906
m11->m14,-0.3515625,-0.16015625
a6.h3->m10,0.34960938,0.1484375
m16->logits,0.34570312,-0.38085938
m4->m12,0.34179688,0.15136719
a23.h11->m23,0.34179688,0.115234375
m16->a21.h7<q>,0.33789062,0.3046875
m12->m18,0.3359375,-0.091796875
a23.h9->m23,0.3359375,0.095703125
a23.h12->m23,0.33007812,0.110839844
a23.h3->m23,-0.33007812,-0.08642578
a23.h10->logits,-0.32226562,-0.20410156
a23.h13->logits,-0.31640625,-0.2109375
m0->logits,-0.31054688,-0.21386719
m14->m15,-0.31054688,0.19335938
m2->m22,-0.31054688,-0.103027344
a23.h9->logits,-0.30859375,-0.18652344
a23.h12->logits,-0.30664062,-0.21972656
a23.h8->logits,-0.30664062,-0.17578125
m3->m4,0.30664062,0.58984375
m3->m8,0.3046875,-0.10888672
a23.h11->logits,-0.30078125,-0.2109375
a10.h7->m11,-0.296875,-0.18457031
a23.h7->logits,-0.29101562,-0.20410156
m5->m23,-0.2890625,0.079589844
m18->logits,0.28710938,-0.095214844
a8.h6->m8,0.28320312,0.13867188
m6->m10,-0.28320312,-0.111816406
a10.h11->m16,-0.28125,-0.110839844
m11->m18,0.27734375,0.09667969
m13->m15,-0.27734375,0.095214844
a20.h3->m22,-0.27539062,-0.07861328
m15->m22,0.26953125,0.1484375
m0->m8,-0.26757812,-0.16992188
a8.h10->m9,-0.26367188,0.111328125
m1->m9,-0.26171875,-0.12597656
a9.h9->m9,0.25976562,0.080078125
m18->m23,-0.2578125,-0.13085938
a5.h13->m10,0.2578125,0.087402344
a1.h1->m4,0.25,0.107910156
m18->m19,0.24902344,-0.11767578
a10.h7->m12,0.2421875,0.106933594
m4->m6,0.23730469,-0.22851562
a8.h7->m19,-0.23242188,-0.076660156
a23.h6->m23,-0.23144531,-0.076171875
m14->m20,0.23046875,-0.11621094
a8.h10->m20,0.22851562,-0.076171875
m1->m11,0.22851562,-0.083984375
m7->m13,0.22460938,0.10253906
m5->m19,-0.22167969,-0.09814453
a17.h10->m20,-0.21972656,-0.079589844
a1.h1->m2,-0.21875,0.123535156
m4->m5,-0.21582031,0.18652344
a0.h0->m0,-0.21386719,0.52734375
m4->logits,0.21386719,-0.17871094
a17.h10->logits,0.20996094,-0.110839844
m4->m15,0.20996094,-0.10498047
m11->m23,-0.20898438,0.09814453
