edge,score_own,score_cross
m23->logits,1.1171875,1.3203125
m22->logits,-0.296875,0.9140625
m20->logits,0.26953125,-0.60546875
m18->logits,0.26171875,-0.18359375
m16->m23,-0.21484375,0.13183594
m21->m23,-0.20117188,-0.765625
m6->m7,0.1953125,0.13671875
m10->m11,0.19238281,-0.24609375
m20->m22,-0.18457031,-0.5
m8->m10,0.18261719,-0.18261719
m10->logits,-0.18164062,-0.080566406
m22->m23,0.16894531,-0.85546875
m2->m9,-0.16503906,0.14648438
m7->m9,0.16210938,0.09326172
m10->m12,-0.14550781,-0.111328125
m16->m17,0.14355469,-0.28320312
m8->m11,0.14160156,-0.080566406
m14->m23,-0.13769531,-0.26757812
m14->logits,0.13476562,-0.3359375
a22.h13->m23,0.13476562,0.09423828
m3->logits,0.1328125,-0.103027344
m15->logits,-0.12988281,0.33984375
m11->m16,0.12695312,0.11621094
m21->logits,-0.122558594,-0.49023438
a23.h3->logits,-0.11230469,0.07714844
a20.h11->logits,-0.111816406,-0.084472656
m20->m21,-0.107421875,0.484375
a22.h13->logits,-0.10644531,-0.08105469
m5->m13,-0.10546875,-0.08105469
m12->logits,-0.10449219,-0.07421875
m6->m8,-0.103027344,-0.10986328
m10->m14,-0.099609375,-0.076660156
m13->m16,-0.09765625,-0.19140625
m15->m16,0.096191406,0.15722656
m0->m10,0.09423828,-0.08203125
a23.h4->m23,0.091308594,-0.08203125
a23.h4->logits,-0.087402344,0.072753906
m4->m9,-0.08691406,-0.47265625
m9->logits,0.08691406,-0.07470703
m14->m15,-0.08691406,0.10498047
a8.h10->m13,-0.08642578,-0.125
m0->m5,0.08642578,-0.1953125
a20.h7->logits,-0.08496094,-0.17089844
m18->m19,-0.084472656,-0.11230469
a23.h1->logits,-0.084472656,0.083984375
m11->logits,-0.08251953,-0.23242188
a23.h2->m23,0.080566406,-0.09765625
a1.h5->m1,-0.079589844,-0.08935547
a23.h1->m23,0.07861328,-0.10644531
a23.h5->logits,-0.076171875,0.095703125
a23.h5->m23,0.075683594,-0.08691406
m3->m8,-0.07373047,-0.091796875
a23.h0->m23,0.07324219,-0.10253906
m12->m23,0.07324219,0.15625
a1.h11->m3,0.071777344,-0.12890625
m8->m9,-0.071777344,-0.25
input->m0,-0.07128906,-0.98828125
a10.h0->m12,-0.07080078,0.080078125
m7->m23,0.07080078,0.122558594
m2->m7,-0.06982422,-0.1640625
m0->m4,-0.06982422,-0.10107422
a10.h7->m13,0.068847656,0.08300781
m9->m10,-0.068359375,0.17871094
a8.h6->m11,-0.068359375,-0.115234375
a16.h0->m23,0.06738281,0.10986328
a6.h12->m9,-0.06640625,0.08300781
a22.h7->m23,0.06640625,0.11376953
m7->m12,-0.064453125,-0.18652344
m3->m23,-0.063964844,-0.119140625
a20.h8->logits,-0.06347656,-0.14355469
m6->m23,0.06298828,-0.15917969
m4->m6,-0.06225586,-0.32226562
m1->m8,-0.06225586,-0.11816406
m10->m15,0.061279297,-0.12011719
a16.h2->m23,0.061279297,0.13476562
m1->m2,0.060302734,0.75390625
a4.h7->m8,0.05834961,0.08886719
m7->logits,-0.05810547,-0.09814453
m16->m20,0.05810547,0.08935547
m4->m7,-0.057861328,-0.17285156
a6.h3->m10,0.056884766,0.107910156
a1.h3->m1,-0.056152344,-0.2421875
m13->m19,-0.055908203,0.08691406
m1->m12,0.055664062,0.15039062
a7.h5->m11,0.05493164,-0.076660156
m0->logits,0.0546875,-0.23046875
m17->logits,0.053466797,-0.50390625
a1.h0->m1,-0.05053711,-0.34570312
a22.h7->logits,-0.05053711,-0.09863281
a20.h3->m20,-0.05053711,0.12792969
m2->m3,-0.049804688,0.110839844
a2.h3->m3,-0.047851562,0.08984375
m0->m20,-0.046875,-0.24414062
m12->m21,0.046875,-0.103515625
a1.h12->m9,0.04663086,0.07714844
m11->m14,0.045898438,-0.14746094
a0.h1->m0,0.045898438,0.43945312
m11->m12,-0.045654297,-0.23046875
a1.h0->m2,0.045654297,0.10888672
a1.h2->m1,-0.044921875,-0.265625
m7->m19,0.044921875,-0.076660156
m0->m3,-0.044433594,0.36914062
a16.h2->logits,0.044433594,-0.12890625
a10.h7->m10,-0.043945312,-0.083984375
a1.h9->m9,0.04345703,0.12207031
m5->m8,-0.04345703,0.12792969
a1.h4->m1,-0.04321289,-0.16894531
m3->m5,-0.042236328,0.076660156
m8->m13,-0.041992188,-0.076660156
a1.h4->m9,-0.041259766,-0.119140625
a1.h10->m9,0.040527344,0.09814453
a1.h1->m1,-0.040527344,-0.25585938
m9->m21,0.039794922,0.072265625
a1.h5->m9,-0.03930664,-0.10498047
m20->m23,-0.03930664,0.1953125
a1.h2->m9,-0.0390625,-0.111816406
a1.h3->m9,-0.03881836,-0.11328125
m1->m4,-0.03881836,-0.08300781
a12.h5->m16,0.03857422,0.08300781
a16.h0->logits,0.037841797,-0.1328125
m0->m9,-0.037597656,0.09863281
a2.h3->m6,-0.037109375,-0.083984375
a1.h1->m9,-0.036865234,-0.1328125
m19->m23,0.036376953,-0.4140625
