edge,score_own,score_cross
m23->logits,1.1171875,2.5625
m22->logits,-0.296875,0.828125
m20->logits,0.26953125,-0.45703125
m18->logits,0.26171875,-0.056884766
m16->m23,-0.21484375,0.21972656
m6->m7,0.1953125,0.05834961
m10->m11,0.19238281,-0.083984375
m20->m22,-0.18457031,0.2109375
m8->m10,0.18261719,0.12109375
m10->logits,-0.18164062,-0.25195312
m2->m9,-0.16503906,0.13574219
m7->m9,0.16210938,0.34179688
a11.h3->logits,-0.15136719,-0.056884766
m10->m12,-0.14550781,-0.14550781
m16->m17,0.14355469,-0.21582031
m6->logits,-0.14257812,-0.15234375
m14->m23,-0.13769531,-0.13769531
m14->logits,0.13476562,-0.09814453
a22.h13->m23,0.13476562,0.06542969
m3->logits,0.1328125,0.08496094
m5->m10,0.13085938,0.057128906
m15->logits,-0.12988281,-0.053222656
m11->m16,0.12695312,0.079589844
a7.h12->logits,0.12451172,0.095214844
m21->logits,-0.122558594,-0.61328125
a7.h12->m9,-0.11376953,-0.049072266
a20.h11->logits,-0.111816406,-0.08251953
m20->m21,-0.107421875,-0.31835938
a22.h13->logits,-0.10644531,-0.064941406
m5->m13,-0.10546875,-0.057617188
m12->logits,-0.10449219,-0.21386719
a6.h3->m9,-0.10107422,0.048339844
m10->m14,-0.099609375,0.046142578
a7.h10->logits,0.09814453,0.11376953
m13->m16,-0.09765625,-0.15332031
m15->m16,0.096191406,-0.12011719
m0->m10,0.09423828,0.076171875
m11->m17,-0.09326172,0.042236328
a10.h2->m23,0.08886719,0.056152344
m4->m9,-0.08691406,-0.17382812
m14->m15,-0.08691406,0.083984375
a7.h13->logits,0.08544922,0.06738281
a6.h3->m7,-0.08496094,-0.08496094
a20.h7->logits,-0.08496094,-0.059326172
a12.h0->logits,-0.08496094,-0.046875
m11->logits,-0.08251953,-0.23242188
a13.h6->m17,-0.079589844,-0.05102539
m17->m22,-0.079589844,-0.061767578
a12.h1->logits,-0.07861328,-0.064453125
a8.h10->m11,0.07714844,0.07470703
m10->m17,0.07714844,0.0625
m6->m13,0.07519531,0.125
m3->m8,-0.07373047,0.04321289
m6->m10,0.07324219,-0.08984375
m7->m10,0.07324219,-0.08886719
m12->m23,0.07324219,0.091308594
m9->m13,-0.07324219,-0.06225586
m12->m16,-0.072265625,-0.056152344
m8->m9,-0.071777344,-0.17382812
input->m0,-0.07128906,-1.15625
m7->m23,0.07080078,0.059326172
m2->m7,-0.06982422,0.076171875
m0->m4,-0.06982422,-0.18261719
m5->m17,-0.06933594,-0.04711914
a12.h5->logits,-0.068847656,-0.053466797
a16.h10->logits,-0.068359375,-0.061035156
a13.h10->logits,-0.06689453,-0.049804688
a10.h2->logits,-0.06542969,-0.095214844
m7->m12,-0.064453125,0.063964844
m17->m21,-0.0625,-0.078125
m4->m6,-0.06225586,-0.31054688
m1->m8,-0.06225586,-0.087402344
m10->m15,0.061279297,-0.087890625
a13.h12->logits,-0.061035156,-0.052734375
m1->m2,0.060302734,-0.11328125
a14.h6->m15,-0.05908203,-0.05444336
m6->m9,-0.05908203,-0.18359375
m7->logits,-0.05810547,-0.07080078
m4->m7,-0.057861328,-0.056152344
m11->m13,-0.057617188,0.05883789
a6.h12->m10,0.057617188,0.09082031
a6.h3->m10,0.056884766,-0.045410156
a10.h0->logits,-0.055908203,-0.044433594
a9.h5->m12,-0.0546875,-0.044677734
a13.h11->logits,-0.053955078,-0.091308594
a13.h3->m17,-0.053710938,-0.051513672
m4->m8,0.053710938,0.17089844
m17->logits,0.053466797,0.071777344
m8->m17,-0.052490234,0.049072266
a20.h0->logits,0.052490234,0.09326172
m17->m19,-0.051757812,-0.19628906
m14->m17,-0.051757812,0.17382812
a17.h4->logits,0.05126953,0.046875
m7->m20,0.05126953,0.09814453
a2.h3->m8,0.05102539,0.05493164
a1.h0->m1,-0.05053711,-0.056152344
m0->m14,-0.05029297,0.04272461
m2->m3,-0.049804688,0.24121094
a21.h6->logits,-0.048828125,-0.053222656
a2.h3->m3,-0.047851562,-0.08886719
a10.h7->m14,0.04711914,-0.06640625
m15->m19,-0.046875,-0.15234375
m0->m20,-0.046875,-0.05053711
m12->m21,0.046875,0.08300781
a2.h3->m10,0.046142578,0.06738281
a6.h3->logits,-0.046142578,-0.063964844
m11->m14,0.045898438,-0.06542969
m11->m12,-0.045654297,0.12695312
a9.h4->m9,0.045410156,-0.043945312
a1.h2->m1,-0.044921875,-0.043945312
a16.h2->logits,0.044433594,0.056884766
m3->m14,0.044433594,0.05883789
m0->m3,-0.044433594,-0.32226562
a16.h11->m20,0.044433594,0.04248047
a6.h3->m8,0.043945312,0.04321289
m4->m17,-0.04345703,-0.12207031
m5->m8,-0.04345703,0.07080078
m2->m16,0.04321289,-0.12011719
a4.h0->m5,0.042236328,-0.05834961
m3->m5,-0.042236328,-0.08886719
m8->m13,-0.041992188,-0.13964844
m6->m20,-0.041503906,-0.052734375
m9->m14,0.041503906,-0.063964844
a4.h3->m4,0.040283203,-0.10253906
m4->m14,-0.039794922,-0.09863281
m20->m23,-0.03930664,0.23242188
a6.h2->logits,-0.0390625,-0.05834961
m6->m16,-0.03881836,0.07080078
m1->m4,-0.03881836,-0.15917969
a3.h10->logits,0.038085938,0.06933594
a8.h7->m11,0.038085938,0.044433594
a16.h0->logits,0.037841797,0.04345703
m0->m9,-0.037597656,0.04663086
m19->m23,0.036376953,-0.1640625
