edge,score
input->a0.h0<v>,0.11621094
input->a0.h1<q>,0.19335938
input->a0.h1<k>,0.17773438
input->a0.h1<v>,0.6796875
input->a0.h3<q>,0.08300781
input->a0.h3<k>,0.080078125
input->a0.h3<v>,0.76171875
input->a0.h4<q>,0.053466797
input->a0.h4<k>,0.063964844
input->a0.h4<v>,0.4453125
input->a0.h5<q>,0.071777344
input->a0.h5<k>,0.052490234
input->a0.h5<v>,0.5234375
input->a0.h6<v>,-0.15039062
input->a0.h7<v>,0.063964844
input->a0.h8<v>,-0.09082031
input->a0.h9<v>,0.578125
input->a0.h10<v>,0.33007812
input->a0.h11<v>,0.06298828
input->m0,1.3984375
a0.h0->m0,0.17480469
a0.h1->m0,0.12792969
a0.h3->m0,0.75390625
a0.h4->m0,0.2578125
a0.h5->m0,0.5234375
a0.h6->m0,-0.08886719
a0.h7->m0,-0.32421875
a0.h8->m0,-0.16210938
a0.h9->m0,0.068359375
a0.h10->m0,0.13085938
a0.h11->m0,-0.06933594
m0->a1.h1<v>,0.05493164
m0->a1.h2<v>,-0.08642578
m0->a1.h3<v>,-0.15625
m0->a1.h5<v>,0.16210938
m0->a1.h6<v>,0.087402344
m0->a1.h8<v>,-0.04248047
m0->a1.h9<v>,-0.080566406
m0->a1.h10<v>,-0.1328125
m0->a1.h11<v>,0.061035156
input->m1,-0.21289062
a0.h1->m1,-0.044921875
m0->m1,-0.57421875
a1.h3->m1,-0.041259766
a1.h7->m1,-0.04272461
a1.h10->m1,-0.056884766
m0->a2.h1<v>,0.071777344
m0->a2.h3<v>,-0.060058594
m0->a2.h11<v>,-0.091308594
m0->m2,-0.515625
a1.h4->m2,-0.047851562
a1.h7->m2,-0.042236328
a1.h10->m2,-0.20117188
m0->a3.h0<v>,0.08935547
m0->a3.h1<v>,0.057617188
m0->a3.h2<v>,0.06640625
m0->a3.h3<v>,0.06933594
m0->a3.h4<v>,0.06640625
m0->a3.h5<v>,0.15527344
m0->a3.h7<v>,-0.043945312
m0->a3.h8<v>,0.05493164
m0->a3.h9<v>,0.041259766
m0->m3,-0.30078125
m1->m3,-0.16210938
m2->m3,0.16992188
m0->a4.h0<v>,0.122558594
m0->a4.h1<v>,0.1328125
m0->a4.h2<v>,0.23730469
m0->a4.h3<v>,0.09423828
m0->a4.h4<v>,-0.10205078
m0->a4.h7<v>,-0.059570312
m0->a4.h8<v>,0.057861328
m0->a4.h9<v>,0.103515625
m0->a4.h10<v>,0.06640625
m0->a4.h11<v>,0.16015625
m0->m4,-0.40820312
a1.h7->m4,-0.06542969
m0->a5.h0<v>,-0.109375
m0->a5.h1<v>,-0.4609375
m0->a5.h2<v>,0.040283203
m0->a5.h3<v>,0.28710938
m0->a5.h4<v>,0.041992188
m0->a5.h5<v>,-0.390625
m0->a5.h6<v>,-0.12207031
m0->a5.h8<v>,-0.2109375
m0->a5.h9<v>,-0.103027344
m0->a5.h10<v>,0.20214844
m0->a5.h11<v>,-0.19628906
m2->a5.h5<v>,0.040039062
m3->a5.h9<v>,-0.040283203
m4->a5.h3<v>,-0.042236328
m4->a5.h5<v>,-0.091308594
m0->m5,-0.37304688
a1.h10->m5,0.07763672
m1->m5,-0.17285156
m0->a6.h0<v>,0.076660156
m0->a6.h2<v>,0.063964844
m0->a6.h3<v>,0.1328125
m0->a6.h4<v>,0.19238281
m0->a6.h5<v>,-0.20703125
m0->a6.h6<v>,0.068359375
m0->a6.h7<v>,0.071777344
m0->a6.h8<v>,-0.103515625
m0->a6.h10<v>,-0.09375
m2->a6.h8<v>,-0.064941406
a5.h9->a6.h2<v>,-0.046142578
m5->a6.h8<v>,-0.048339844
m5->a6.h9<v>,-0.041992188
m0->m6,0.22753906
a1.h10->m6,0.049316406
m1->m6,-0.12011719
m2->m6,0.06738281
a4.h6->m6,0.048095703
m4->m6,0.17480469
a5.h3->m6,-0.041259766
m0->a7.h0<k>,0.07421875
m0->a7.h1<v>,0.1640625
m0->a7.h2<v>,0.095703125
m0->a7.h3<v>,0.044433594
m0->a7.h4<v>,-0.19921875
m0->a7.h5<v>,0.115722656
m0->a7.h6<v>,-0.09423828
m0->a7.h8<k>,0.051513672
m0->a7.h8<v>,0.15136719
m0->a7.h9<v>,0.07519531
m0->a7.h10<v>,-0.123535156
m0->a7.h11<v>,0.16113281
m2->a7.h0<k>,-0.052490234
m6->a7.h3<v>,0.048339844
m6->a7.h4<v>,-0.053222656
m0->m7,0.40039062
a1.h10->m7,-0.07421875
m1->m7,0.05029297
m3->m7,-0.17773438
m4->m7,-0.36914062
m5->m7,-0.057128906
m6->m7,-0.056884766
m0->a8.h1<v>,0.19628906
m0->a8.h2<v>,0.06738281
m0->a8.h4<v>,0.05493164
m0->a8.h5<k>,0.043701172
m0->a8.h5<v>,0.064941406
m0->a8.h6<v>,0.13085938
m0->a8.h8<v>,0.17285156
m0->a8.h10<k>,-0.072265625
m0->a8.h11<v>,0.07324219
a0.h4->m8,-0.040283203
m0->m8,0.048828125
m2->m8,0.19238281
m3->m8,-0.04711914
m4->m8,-0.14355469
a5.h1->m8,-0.043945312
m5->m8,0.047851562
a7.h2->m8,-0.046875
a7.h11->m8,0.051757812
m7->m8,0.05908203
a8.h1->m8,-0.08105469
a8.h2->m8,-0.040283203
a8.h10->m8,0.056640625
m0->a9.h1<v>,0.19628906
m0->a9.h2<v>,0.2265625
m0->a9.h3<v>,0.17382812
m0->a9.h4<v>,0.09765625
m0->a9.h5<v>,-0.06298828
m0->a9.h6<v>,-0.040039062
m0->a9.h7<v>,0.13769531
