edge,score
input->a0.h0<v>,-0.016845703
input->a0.h1<k>,-0.018310547
input->a0.h1<v>,-0.016967773
input->a0.h2<v>,0.05834961
input->a0.h3<v>,-0.03540039
input->a0.h4<v>,-0.07373047
input->a0.h5<v>,0.026733398
input->a0.h6<v>,0.03112793
input->a0.h7<v>,0.07714844
input->a0.h8<v>,0.068359375
input->a0.h9<v>,-0.034423828
input->a0.h10<v>,0.059570312
input->m0,-1.9375
a0.h1->m0,-0.026367188
a0.h2->m0,0.052734375
a0.h3->m0,-0.021606445
a0.h4->m0,-0.014404297
a0.h5->m0,0.016479492
a0.h7->m0,-0.023803711
a0.h8->m0,-0.024169922
a0.h9->m0,-0.012756348
a0.h10->m0,0.018554688
a0.h11->m0,-0.026733398
m0->a1.h1<v>,-0.025756836
m0->a1.h3<v>,0.014465332
m0->a1.h7<v>,-0.061523438
m0->a1.h8<v>,-0.022460938
m0->a1.h9<v>,0.109375
m0->a1.h10<v>,0.019165039
m0->a1.h11<v>,-0.012939453
input->m1,-0.023803711
a0.h1->m1,-0.021118164
a0.h3->m1,-0.024902344
a0.h4->m1,-0.018554688
a0.h5->m1,-0.01361084
a0.h6->m1,0.025024414
a0.h7->m1,0.019897461
a0.h8->m1,0.026367188
a0.h11->m1,0.012512207
m0->m1,-0.30078125
a1.h0->m1,0.014465332
a1.h1->m1,0.016601562
a1.h2->m1,0.038330078
a1.h4->m1,0.042236328
a1.h7->m1,0.032226562
a1.h8->m1,-0.03857422
a1.h9->m1,0.023925781
a1.h10->m1,0.033935547
m0->a2.h0<v>,-0.02734375
m0->a2.h2<v>,-0.020019531
m0->a2.h5<v>,-0.0134887695
m0->a2.h6<v>,-0.01953125
m0->a2.h7<v>,0.018188477
m0->a2.h9<v>,-0.022827148
m0->a2.h10<v>,0.018310547
input->m2,0.027709961
a0.h7->m2,-0.014526367
m0->m2,-0.09423828
a1.h7->m2,0.023071289
a1.h10->m2,0.06982422
a2.h6->m2,-0.012939453
m0->a3.h0<v>,0.01586914
m0->a3.h5<v>,-0.046142578
m0->a3.h6<v>,-0.021972656
m0->a3.h10<v>,-0.017333984
m0->m3,-0.025268555
m2->m3,-0.044921875
m0->a4.h1<v>,-0.013061523
m0->a4.h2<v>,0.07080078
m0->a4.h4<v>,-0.036621094
m0->a4.h8<v>,-0.015075684
m0->a4.h9<v>,0.014892578
m2->a4.h10<v>,0.016357422
input->m4,-0.015258789
m0->m4,-0.040283203
a1.h10->m4,-0.014221191
m2->m4,0.060302734
m3->m4,0.01977539
m0->a5.h0<v>,0.051757812
m0->a5.h1<v>,0.014221191
m0->a5.h2<v>,0.017456055
m0->a5.h3<v>,0.045654297
m0->a5.h4<k>,0.017944336
m0->a5.h4<v>,-0.026977539
m0->a5.h5<v>,0.106933594
m0->a5.h6<v>,-0.013671875
m0->a5.h9<v>,0.013671875
