edge,score
input->a0.h0<v>,0.020629883
input->a0.h4<v>,0.026123047
input->a0.h5<q>,0.049072266
input->a0.h5<k>,0.022949219
input->a0.h5<v>,0.036621094
input->a0.h6<v>,0.12109375
input->a0.h7<v>,-0.021240234
input->a0.h8<k>,0.04663086
input->a0.h8<v>,-0.1328125
input->a0.h9<v>,-0.029418945
input->a0.h10<q>,0.036865234
input->a0.h10<v>,0.021850586
input->a0.h11<k>,0.036621094
input->a0.h11<v>,-0.03491211
input->m0,0.2421875
a0.h1->m0,-0.052246094
a0.h3->m0,-0.018432617
a0.h4->m0,0.023803711
a0.h8->m0,-0.026855469
a0.h9->m0,-0.051757812
a0.h10->m0,0.029174805
a0.h11->m0,0.032226562
m0->a1.h3<k>,-0.025634766
m0->a1.h3<v>,0.021118164
m0->a1.h6<v>,0.01940918
m0->a1.h10<v>,-0.021118164
a0.h1->m1,0.020263672
a0.h6->m1,-0.025512695
a0.h7->m1,-0.018310547
a0.h9->m1,-0.03491211
m0->m1,0.23828125
a1.h1->m1,-0.027832031
a1.h7->m1,-0.022705078
m0->a2.h0<v>,-0.020751953
m0->a2.h1<v>,0.034179688
m0->a2.h6<v>,0.026855469
m0->a2.h9<v>,-0.024169922
m0->a2.h11<k>,-0.020141602
m1->a2.h1<v>,-0.026123047
a0.h6->m2,0.025756836
a0.h7->m2,-0.01965332
a0.h11->m2,-0.060302734
m0->m2,-0.12451172
a1.h4->m2,0.01940918
a1.h7->m2,0.053466797
a1.h10->m2,-0.019042969
m1->m2,-0.036376953
a2.h9->m2,0.024536133
m0->a3.h3<q>,0.019165039
m0->a3.h6<q>,0.025878906
m0->a3.h7<v>,-0.019897461
m0->a3.h9<v>,-0.020141602
m0->a3.h11<v>,-0.023071289
m2->a3.h7<v>,-0.025146484
m2->a3.h11<v>,0.020996094
a0.h9->m3,-0.024169922
a0.h10->m3,0.018554688
a1.h0->m3,-0.021240234
a1.h7->m3,-0.042236328
m1->m3,0.052246094
a2.h0->m3,0.022949219
a2.h5->m3,0.024536133
a3.h5->m3,0.022338867
a0.h6->a4.h5<q>,-0.020629883
m0->a4.h4<q>,0.023803711
m0->a4.h5<q>,0.024536133
m0->a4.h7<v>,-0.022949219
a1.h8->a4.h5<k>,0.020141602
