edge,score
input->a0.h0<k>,-0.06738281
input->a0.h4<v>,0.055664062
input->a0.h5<v>,0.03881836
input->a0.h8<k>,-0.15332031
input->a0.h12<k>,-0.100097656
input->a0.h13<k>,-0.041992188
input->a0.h13<v>,0.052490234
input->a0.h14<q>,-0.030639648
input->a0.h15<q>,-0.05834961
input->a0.h15<v>,0.05834961
input->a0.h16<v>,-0.037109375
input->a0.h17<q>,0.05883789
input->a0.h17<k>,0.032714844
input->a0.h18<k>,-0.053222656
input->a0.h19<v>,0.05126953
input->a0.h21<q>,0.036621094
input->a0.h21<k>,0.028930664
input->a0.h21<v>,-0.16992188
input->a0.h22<k>,0.061523438
input->a0.h22<v>,0.049804688
input->a0.h25<k>,-0.115722656
input->a0.h25<v>,0.14550781
input->a0.h27<v>,-0.040283203
input->a0.h28<v>,0.030639648
input->a0.h30<v>,-0.08300781
input->a0.h31<v>,0.053710938
input->m0,-0.44726562
a0.h23->m0,-0.028564453
input->a1.h22<k>,0.049316406
input->a1.h31<v>,-0.03149414
m0->a1.h1<q>,0.06542969
m0->a1.h8<v>,0.11230469
m0->a1.h15<q>,-0.03125
m0->a1.h17<v>,0.06738281
m0->a1.h22<q>,0.072265625
m0->a1.h22<k>,0.091308594
m0->a1.h25<v>,0.036865234
m0->a1.h27<q>,0.050048828
m0->a1.h27<v>,0.03515625
input->m1,-0.059570312
a0.h3->m1,-0.067871094
a0.h4->m1,-0.037841797
a0.h15->m1,0.057861328
m0->m1,-0.030151367
a1.h15->m1,0.043701172
a1.h17->m1,-0.028442383
m0->a2.h17<q>,0.03564453
m0->a2.h30<q>,-0.029052734
m1->a2.h3<k>,0.037841797
m1->a2.h4<q>,0.03955078
m1->a2.h7<q>,0.03930664
m1->a2.h7<k>,-0.03149414
m1->a2.h10<q>,-0.040039062
m1->a2.h10<k>,-0.039794922
m1->a2.h11<q>,-0.056152344
m1->a2.h11<k>,0.032470703
m1->a2.h12<q>,0.04272461
m1->a2.h14<q>,-0.033691406
m1->a2.h15<q>,0.04663086
m1->a2.h16<q>,-0.033691406
m1->a2.h17<q>,0.05444336
m1->a2.h18<q>,0.05834961
m1->a2.h18<k>,-0.034179688
m1->a2.h20<q>,0.041259766
m1->a2.h21<q>,-0.052246094
m1->a2.h21<k>,0.03564453
m1->a2.h23<q>,-0.12597656
m1->a2.h24<q>,0.04663086
m1->a2.h26<q>,0.106933594
m1->a2.h27<q>,0.16210938
m1->a2.h27<k>,0.028442383
m1->a2.h29<q>,-0.20019531
m1->a2.h29<k>,0.08984375
m1->a2.h29<v>,-0.049804688
m1->a2.h30<k>,-0.045898438
input->m2,-0.05908203
a0.h3->m2,-0.052490234
a0.h15->m2,-0.028564453
a0.h25->m2,0.029418945
m0->m2,-0.06982422
a1.h0->m2,-0.030151367
a1.h24->m2,-0.029052734
m1->m2,-0.43554688
a2.h2->m2,-0.030883789
m1->a3.h0<q>,0.055419922
m1->a3.h2<q>,0.03930664
m1->a3.h3<q>,-0.07128906
m1->a3.h10<k>,0.03466797
m1->a3.h11<q>,0.080078125
m1->a3.h13<q>,0.07421875
m1->a3.h13<k>,-0.036621094
m1->a3.h14<q>,0.087890625
m1->a3.h14<k>,-0.029663086
m1->a3.h15<q>,0.1640625
m1->a3.h15<k>,-0.076660156
m1->a3.h16<q>,0.03515625
m1->a3.h17<q>,-0.06933594
m1->a3.h18<q>,0.03930664
m1->a3.h20<q>,-0.03930664
m1->a3.h21<q>,-0.061523438
m1->a3.h23<q>,0.036132812
m1->a3.h24<k>,-0.029785156
m1->a3.h25<q>,0.13964844
m1->a3.h26<k>,-0.038085938
m1->a3.h27<q>,-0.10498047
m1->a3.h27<k>,0.03540039
m1->a3.h28<q>,-0.09863281
m1->a3.h30<q>,-0.07421875
m1->a3.h31<q>,0.0390625
m1->a3.h31<k>,0.045898438
m2->a3.h15<q>,0.053710938
m2->a3.h25<q>,0.030029297
m2->a3.h27<q>,-0.028930664
input->m3,-0.051757812
m0->m3,-0.072265625
m1->m3,0.0625
m2->m3,0.04248047
a3.h19->m3,0.051513672
a3.h26->m3,0.041992188
m1->a4.h0<q>,0.028808594
m1->a4.h4<q>,-0.049316406
m1->a4.h5<q>,-0.10644531
m1->a4.h5<k>,0.049072266
m1->a4.h6<q>,0.060058594
m1->a4.h8<q>,0.13671875
m1->a4.h8<k>,-0.07373047
m1->a4.h10<q>,0.04248047
m1->a4.h15<q>,0.13671875
m1->a4.h17<q>,0.04345703
m1->a4.h26<q>,0.09326172
m1->a4.h27<q>,-0.055908203
m1->a4.h28<q>,-0.034179688
m1->a4.h31<q>,-0.12451172
m1->a4.h31<k>,0.03125
m3->a4.h3<v>,0.041015625
m3->a4.h5<q>,-0.047851562
m3->a4.h27<v>,0.041015625
input->m4,-0.036376953
a0.h3->m4,0.04663086
m1->m4,0.061767578
a3.h30->m4,-0.029418945
a4.h5->m4,-0.029663086
a4.h27->m4,-0.032226562
m1->a5.h4<q>,0.03930664
m1->a5.h8<q>,-0.041992188
m1->a5.h9<q>,-0.05126953
m1->a5.h9<k>,0.041503906
m1->a5.h10<q>,0.040283203
m1->a5.h10<k>,-0.03491211
m1->a5.h19<q>,0.061767578
m1->a5.h22<q>,-0.11669922
m1->a5.h23<q>,-0.05102539
m1->a5.h28<q>,0.029052734
m3->a5.h22<q>,-0.030151367
m3->a5.h23<q>,-0.028564453
m4->a5.h23<q>,-0.056152344
m4->a5.h28<q>,0.036621094
m4->a5.h28<k>,0.037109375
input->m5,0.029418945
m0->m5,0.032470703
m4->m5,0.061767578
a5.h15->m5,0.034423828
m1->a6.h1<q>,-0.049316406
m1->a6.h2<q>,0.028808594
m1->a6.h3<q>,-0.06640625
m1->a6.h10<q>,-0.064453125
m1->a6.h13<q>,-0.060546875
m1->a6.h13<k>,0.032470703
m1->a6.h15<q>,0.057861328
m1->a6.h15<k>,-0.028564453
m1->a6.h22<q>,-0.045410156
m1->a6.h23<q>,0.03491211
m1->a6.h26<q>,0.08300781
m4->a6.h19<q>,0.041992188
m4->a6.h23<q>,0.029174805
m5->a6.h19<q>,0.03857422
m0->m6,-0.030029297
m1->m6,-0.10107422
m3->m6,-0.044677734
m5->m6,0.08251953
m1->a7.h15<q>,-0.06640625
m1->a7.h20<q>,0.032226562
m1->a7.h21<q>,-0.035888672
m1->a7.h25<q>,0.06542969
m1->m7,0.028442383
m4->m7,-0.031982422
m5->m7,-0.033447266
m6->m7,0.048339844
m1->a8.h0<q>,0.06347656
m1->a8.h0<k>,-0.040527344
m1->a8.h4<q>,-0.072753906
m1->a8.h10<q>,0.08691406
m1->a8.h21<q>,0.036865234
m1->a8.h27<q>,-0.03881836
m2->m8,-0.029785156
m4->m8,0.068847656
m6->m8,-0.076660156
m1->a9.h3<q>,-0.03955078
m1->a9.h4<q>,-0.040527344
m1->a9.h10<q>,0.03112793
m1->a9.h13<q>,-0.06347656
m1->a9.h15<q>,-0.042236328
m1->a9.h21<q>,-0.04663086
m1->a9.h26<q>,0.07080078
m4->a9.h26<q>,0.029663086
m7->a9.h26<q>,0.064941406
m8->a9.h26<q>,0.063964844
m1->m9,0.037597656
m5->m9,0.034423828
m8->m9,-0.044921875
m1->a10.h15<q>,-0.05444336
m1->a10.h23<q>,0.048828125
m8->a10.h1<v>,0.030639648
m1->m10,0.052490234
m4->m10,0.031982422
m5->m10,0.05029297
m6->m10,0.048095703
m7->m10,0.033447266
m1->a11.h4<q>,0.047607422
m1->a11.h10<q>,-0.033447266
m2->m11,0.028442383
m4->m11,-0.053222656
