edge,score
input->a0.h15<q>,-0.1484375
m1->a2.h0<k>,0.23730469
m1->a2.h1<q>,-0.36523438
m1->a2.h1<k>,-0.2890625
m1->a2.h2<k>,-0.16015625
m1->a2.h4<q>,-1.7109375
m1->a2.h5<k>,-1.0234375
m1->a2.h6<k>,-0.22265625
m1->a2.h7<q>,-1.1875
m1->a2.h7<k>,0.20703125
m1->a2.h8<q>,-0.19042969
m1->a2.h9<q>,-0.18164062
m1->a2.h9<k>,-0.31445312
m1->a2.h10<q>,-0.27148438
m1->a2.h10<k>,-0.21875
m1->a2.h11<k>,-1.25
m1->a2.h12<k>,0.45507812
m1->a2.h13<k>,-0.22363281
m1->a2.h14<q>,-0.25195312
m1->a2.h14<k>,-0.16796875
m1->a2.h15<q>,-0.578125
m1->a2.h15<k>,0.45507812
m1->a2.h16<q>,-0.73828125
m1->a2.h16<k>,0.4140625
m1->a2.h17<k>,-0.6171875
m1->a2.h18<k>,0.2421875
m1->a2.h20<q>,0.30859375
m1->a2.h20<k>,-0.1953125
m1->a2.h21<q>,0.27929688
m1->a2.h21<k>,-2.28125
m1->a2.h22<q>,-0.22265625
m1->a2.h22<k>,0.2734375
m1->a2.h23<q>,1.3203125
m1->a2.h23<k>,0.62109375
m1->a2.h24<k>,0.21777344
m1->a2.h25<q>,1.078125
m1->a2.h25<k>,0.47265625
m1->a2.h26<q>,-0.3125
m1->a2.h26<k>,-0.15039062
m1->a2.h27<q>,-1.921875
m1->a2.h27<k>,0.43945312
m1->a2.h28<q>,-0.20605469
m1->a2.h29<q>,-1.0703125
m1->a2.h29<k>,-0.92578125
m1->a2.h30<q>,0.18457031
m1->a2.h30<k>,-1.21875
m1->m2,3.4375
m1->a3.h0<q>,1.078125
m1->a3.h3<q>,1.359375
m1->a3.h3<k>,0.734375
m1->a3.h4<q>,-0.19042969
m1->a3.h4<k>,0.20605469
m1->a3.h6<k>,0.13964844
m1->a3.h7<k>,-0.14257812
m1->a3.h8<q>,-0.24707031
m1->a3.h9<q>,-1.7109375
m1->a3.h9<k>,0.2890625
m1->a3.h10<k>,0.28320312
