edge,score
input->a0.h0<q>,-0.47265625
input->a0.h0<k>,1.1875
input->a0.h0<v>,0.609375
input->a0.h1<q>,0.3359375
input->a0.h1<v>,-1.5078125
input->a0.h2<q>,-1.0234375
input->a0.h3<q>,-0.765625
input->a0.h3<v>,0.671875
input->a0.h4<q>,-0.10058594
input->a0.h4<k>,-0.28710938
input->a0.h4<v>,-2.1875
input->a0.h5<v>,-0.23046875
input->a0.h6<k>,0.35546875
input->a0.h6<v>,-0.27539062
input->a0.h7<q>,-0.44726562
input->a0.h7<k>,0.20996094
input->a0.h8<q>,0.20214844
input->a0.h8<k>,4.75
input->a0.h9<q>,-2.265625
input->a0.h9<k>,-11.5
input->a0.h9<v>,-2.484375
input->a0.h10<k>,1.3125
input->a0.h10<v>,-0.123535156
input->a0.h11<q>,0.25390625
input->a0.h11<v>,0.31054688
input->a0.h12<q>,-1.078125
input->a0.h12<v>,0.6015625
input->a0.h13<k>,-0.107910156
input->a0.h13<v>,-0.095214844
input->a0.h14<q>,-1.546875
input->a0.h14<k>,0.43945312
input->a0.h14<v>,0.27929688
input->a0.h15<q>,-0.67578125
input->a0.h15<k>,1.0078125
input->a0.h15<v>,-2.25
input->a0.h16<v>,0.14648438
input->a0.h17<q>,-5.3125
input->a0.h17<k>,-1.03125
input->a0.h17<v>,-2.390625
input->a0.h18<q>,0.10986328
input->a0.h18<k>,-0.21582031
input->a0.h18<v>,-0.14257812
input->a0.h19<k>,-0.25195312
input->a0.h19<v>,-0.65625
input->a0.h20<v>,-0.47070312
input->a0.h21<q>,-0.31835938
input->a0.h21<k>,-0.20703125
input->a0.h21<v>,1.171875
input->a0.h22<q>,-1.5625
input->a0.h22<k>,6.25
input->a0.h22<v>,-5.875
input->a0.h23<q>,2.125
input->a0.h23<k>,-1.890625
input->a0.h23<v>,-0.62109375
input->a0.h24<q>,0.22265625
input->a0.h24<v>,-0.34960938
input->a0.h25<q>,0.123046875
input->a0.h25<k>,0.16503906
input->a0.h25<v>,-0.46289062
input->a0.h26<k>,0.10888672
input->a0.h26<v>,0.86328125
input->a0.h27<v>,0.19140625
input->a0.h28<q>,0.47265625
input->a0.h28<k>,-0.87890625
input->a0.h28<v>,-0.103515625
input->a0.h29<q>,-0.122558594
input->a0.h30<k>,-0.09375
input->a0.h30<v>,0.61328125
input->a0.h31<q>,-0.2578125
input->a0.h31<k>,-0.15527344
input->a0.h31<v>,-0.2734375
input->m0,-4.625
a0.h0->m0,0.115722656
a0.h1->m0,0.17480469
a0.h2->m0,0.09765625
a0.h4->m0,-0.125
a0.h6->m0,0.110839844
a0.h11->m0,0.19042969
a0.h12->m0,-0.14550781
a0.h14->m0,-0.13476562
a0.h15->m0,0.58203125
a0.h19->m0,0.13964844
a0.h20->m0,0.12109375
a0.h21->m0,0.15234375
a0.h22->m0,-0.115722656
a0.h25->m0,0.23632812
a0.h27->m0,0.29296875
a0.h30->m0,-0.13476562
a0.h31->m0,-0.123046875
input->a1.h1<k>,-0.111816406
input->a1.h2<k>,-0.11425781
input->a1.h3<v>,-0.10058594
input->a1.h4<v>,0.091796875
input->a1.h8<v>,-0.15039062
input->a1.h11<v>,-0.48242188
input->a1.h14<k>,-0.15625
input->a1.h14<v>,-0.40234375
input->a1.h17<v>,-0.18652344
input->a1.h20<v>,0.20996094
input->a1.h28<v>,0.096191406
input->a1.h29<v>,-0.109375
a0.h1->a1.h8<v>,-0.09375
a0.h1->a1.h11<v>,0.16113281
a0.h3->a1.h8<v>,-0.43945312
a0.h3->a1.h11<v>,0.33984375
a0.h4->a1.h11<v>,0.091796875
a0.h5->a1.h8<v>,0.15722656
a0.h5->a1.h11<v>,-0.16015625
a0.h8->a1.h8<v>,-0.33984375
a0.h8->a1.h11<v>,0.2265625
a0.h10->a1.h8<v>,-0.107910156
a0.h14->a1.h8<v>,-0.11425781
a0.h18->a1.h8<v>,-0.296875
a0.h18->a1.h11<v>,0.23730469
a0.h19->a1.h8<v>,0.091796875
a0.h22->a1.h11<v>,-0.20507812
a0.h23->a1.h8<v>,-0.20019531
a0.h23->a1.h11<v>,0.12988281
a0.h25->a1.h8<v>,-0.58203125
a0.h25->a1.h11<v>,0.43554688
m0->a1.h0<v>,0.10107422
m0->a1.h1<q>,-0.20605469
m0->a1.h1<k>,0.17480469
m0->a1.h1<v>,0.17285156
m0->a1.h2<q>,-0.09082031
m0->a1.h2<k>,-0.13671875
m0->a1.h2<v>,0.091796875
m0->a1.h4<q>,-0.33789062
m0->a1.h4<v>,-0.103515625
m0->a1.h7<q>,0.15136719
m0->a1.h8<q>,0.30859375
m0->a1.h8<k>,-0.12597656
m0->a1.h8<v>,-11.1875
m0->a1.h10<q>,-0.10058594
m0->a1.h11<q>,0.63671875
m0->a1.h11<k>,0.55859375
m0->a1.h11<v>,8.3125
m0->a1.h13<v>,-0.10644531
m0->a1.h14<q>,0.09326172
m0->a1.h14<k>,0.18164062
m0->a1.h14<v>,0.41210938
m0->a1.h17<v>,0.1953125
m0->a1.h18<q>,0.095214844
m0->a1.h18<v>,-0.10986328
m0->a1.h20<k>,0.15234375
m0->a1.h22<q>,0.095703125
m0->a1.h22<v>,0.15722656
m0->a1.h23<q>,-0.16015625
m0->a1.h24<q>,0.115722656
m0->a1.h24<v>,-0.11621094
m0->a1.h26<q>,0.12792969
m0->a1.h26<v>,0.2109375
m0->a1.h29<v>,-0.25195312
input->m1,-1.390625
a0.h4->m1,-0.10107422
a0.h5->m1,-0.1875
a0.h6->m1,-0.09423828
a0.h8->m1,0.19042969
a0.h10->m1,0.096191406
a0.h12->m1,0.09082031
a0.h15->m1,0.11767578
a0.h18->m1,0.19042969
a0.h21->m1,-0.09423828
a0.h23->m1,0.13769531
a0.h25->m1,-0.14160156
a0.h29->m1,0.11376953
m0->m1,-6.03125
a1.h1->m1,-0.13183594
a1.h2->m1,0.11230469
a1.h11->m1,0.18847656
a1.h17->m1,0.75
a1.h22->m1,-0.19628906
a1.h23->m1,-0.23730469
a1.h25->m1,-0.31445312
a1.h26->m1,0.22363281
a1.h27->m1,-0.10546875
a1.h30->m1,-0.13964844
m2->m4,-0.103515625
m3->m4,-0.125
m5->a6.h0<v>,0.09814453
m9->m12,-0.095214844
m8->m14,0.10449219
m13->m14,0.106933594
m18->m19,0.110839844
m18->a28.h13<k>,-0.118652344
m25->a28.h0<k>,0.096191406
m1->m28,0.15039062
m0->m29,0.20898438
m1->m29,7.59375
m2->m29,-0.81640625
m4->m29,-0.69140625
m6->m29,0.11767578
m7->m29,0.099609375
m8->m29,0.13476562
m9->m29,0.20996094
m11->m29,0.11230469
m16->m29,-1.859375
m18->m29,0.8203125
m19->m29,-1.3125
m20->m29,-0.12792969
m27->m29,-0.118652344
m28->m29,0.12890625
m1->a30.h13<q>,0.10986328
m1->a30.h13<k>,0.123535156
m1->a30.h15<v>,0.26953125
m8->a30.h31<v>,-0.17871094
m9->a30.h31<v>,-0.14453125
m11->a30.h31<v>,-0.13769531
m18->a30.h31<v>,-0.703125
m21->a30.h31<v>,-0.11425781
m23->a30.h31<v>,-0.17480469
m26->a30.h31<v>,-0.1328125
m29->a30.h13<k>,-0.115234375
m29->a30.h15<v>,-0.21289062
m1->m30,-26.375
m2->m30,-0.578125
m4->m30,0.32421875
m6->m30,0.09765625
m8->m30,0.10498047
m9->m30,0.23144531
m11->m30,0.15039062
m16->m30,-0.875
m18->m30,0.96875
m19->m30,-0.578125
m24->m30,0.091308594
m25->m30,0.14550781
m26->m30,0.21289062
m27->m30,0.25195312
m28->m30,0.63671875
m29->m30,25.25
m1->a31.h1<q>,1.03125
m1->a31.h1<k>,0.15820312
m1->a31.h1<v>,-0.3046875
m1->a31.h2<q>,-0.5234375
m1->a31.h4<q>,2.9375
