edge,score
input->a0.h9<q>,-0.29101562
input->a0.h22<q>,0.20117188
input->m0,0.29296875
a0.h2->m0,0.13769531
a0.h6->m0,-0.14355469
a0.h7->m0,-0.125
input->a1.h23<q>,-0.10888672
m0->a1.h4<q>,-0.09863281
m0->a1.h9<q>,-0.118652344
m0->a1.h15<q>,-0.10205078
m0->a1.h17<q>,0.13085938
m0->a1.h19<q>,0.09375
m0->a1.h21<q>,0.22167969
m0->a1.h22<q>,-0.35742188
m0->a1.h23<q>,-0.35546875
m0->a1.h25<q>,0.21289062
m0->a1.h29<q>,0.15917969
input->m1,-0.18652344
m0->m1,-0.20507812
a1.h20->m1,0.111328125
m0->a2.h2<q>,0.12792969
m0->a2.h5<q>,-0.15625
m0->a2.h6<q>,0.22363281
m0->a2.h7<q>,-0.17578125
m0->a2.h14<q>,0.15527344
m0->a2.h15<q>,-0.09375
m0->a2.h17<q>,0.16992188
m0->a2.h19<q>,-0.13476562
m0->a2.h20<q>,-0.11425781
m0->a2.h26<q>,-0.12109375
m0->a2.h27<q>,0.11767578
m1->a2.h2<q>,0.12207031
m1->a2.h5<q>,-0.16015625
m1->a2.h6<q>,0.28710938
m1->a2.h7<q>,-0.15234375
m1->a2.h10<q>,-0.119140625
m1->a2.h14<q>,0.11816406
m1->a2.h17<q>,0.23242188
m1->a2.h19<q>,-0.20117188
m1->a2.h27<q>,0.11376953
input->m2,0.359375
m0->m2,-0.98046875
a1.h16->m2,0.09863281
a2.h2->m2,0.09765625
a2.h5->m2,0.109375
a2.h10->m2,0.17578125
a2.h24->m2,-0.123535156
m2->a3.h7<q>,0.12451172
m2->a3.h19<q>,0.115722656
m2->a3.h20<q>,0.119140625
input->m3,-0.22167969
m0->m3,0.66015625
m1->m3,0.33203125
a2.h10->m3,-0.25585938
m2->m3,0.1953125
a3.h19->m3,0.14160156
a3.h30->m3,0.09863281
m0->a4.h16<q>,-0.25585938
m0->a4.h19<q>,0.09326172
m0->a4.h24<q>,0.20605469
m0->a4.h26<q>,-0.22363281
m1->a4.h16<q>,-0.115234375
m1->a4.h24<q>,0.15136719
m1->a4.h26<q>,-0.20996094
m1->a4.h27<q>,0.13671875
m2->a4.h16<q>,-0.19042969
m2->a4.h19<q>,0.14648438
m2->a4.h24<q>,0.15722656
m2->a4.h26<q>,-0.16796875
m2->a4.h27<q>,0.10449219
m2->a4.h28<q>,0.14355469
m2->a4.h30<q>,-0.22363281
m3->a4.h1<q>,0.18457031
m3->a4.h3<q>,-0.16015625
m3->a4.h9<q>,0.096191406
m3->a4.h10<q>,0.15234375
m3->a4.h16<q>,-0.2890625
m3->a4.h19<q>,0.17089844
m3->a4.h24<q>,0.15917969
m3->a4.h26<q>,-0.36328125
m3->a4.h27<q>,0.15722656
m3->a4.h28<q>,0.14160156
m3->a4.h30<q>,-0.22851562
input->m4,-0.16503906
m0->m4,0.23339844
a2.h10->m4,0.14160156
m2->m4,-0.30078125
a3.h28->m4,0.118652344
m3->m4,0.18164062
a4.h1->m4,0.13964844
a4.h2->m4,0.09423828
a4.h3->m4,-0.09326172
a4.h5->m4,-0.13085938
a4.h24->m4,0.11425781
a4.h25->m4,0.25195312
a4.h26->m4,-0.421875
m1->a5.h5<q>,-0.12109375
m2->a5.h5<q>,-0.10449219
m3->a5.h5<q>,-0.12988281
m3->a5.h15<q>,-0.12451172
m4->a5.h0<q>,-0.15234375
m4->a5.h2<q>,0.1328125
m4->a5.h4<q>,0.10449219
m4->a5.h5<q>,-0.17480469
m4->a5.h18<q>,0.107910156
m4->a5.h25<q>,-0.107421875
m4->a5.h28<q>,-0.095214844
a1.h4->m5,-0.110839844
m1->m5,0.24511719
a2.h10->m5,-0.19335938
m2->m5,-0.47070312
m3->m5,-0.096191406
a4.h2->m5,-0.09814453
a4.h4->m5,-0.20019531
a4.h5->m5,0.15820312
a4.h13->m5,-0.095214844
a4.h25->m5,-0.16894531
a5.h2->m5,0.10498047
a5.h3->m5,0.15722656
a5.h15->m5,-0.23144531
a5.h18->m5,0.10205078
a5.h25->m5,-0.20214844
m0->a6.h9<q>,0.13671875
m0->a6.h18<q>,-0.109375
m2->a6.h9<q>,0.23046875
m3->a6.h9<q>,0.17578125
m3->a6.h18<q>,-0.14160156
m4->a6.h18<q>,-0.09814453
m5->a6.h0<q>,-0.12060547
m5->a6.h9<q>,0.15625
m5->a6.h11<q>,-0.25585938
m5->a6.h13<q>,0.14355469
m5->a6.h18<q>,-0.23339844
m5->a6.h21<q>,0.10498047
m5->a6.h25<q>,0.09667969
m5->a6.h29<q>,0.14453125
m0->m6,-0.48046875
m1->m6,-0.3671875
m2->m6,0.2890625
m3->m6,0.890625
a4.h7->m6,-0.11425781
a5.h2->m6,-0.10644531
a5.h3->m6,0.123535156
a5.h14->m6,-0.10986328
a5.h19->m6,0.13085938
a5.h25->m6,-0.17480469
a5.h27->m6,-0.09326172
a5.h31->m6,-0.11376953
m5->m6,0.24121094
a6.h0->m6,-0.09423828
a6.h18->m6,-0.15625
a6.h22->m6,-0.10253906
a6.h30->m6,0.11669922
m4->a7.h13<q>,-0.18164062
m4->a7.h14<q>,0.11328125
m5->a7.h9<q>,0.09765625
m5->a7.h10<q>,-0.12109375
m5->a7.h13<q>,-0.22460938
m5->a7.h14<q>,0.1328125
m5->a7.h24<q>,-0.13867188
m5->a7.h26<q>,0.092285156
m6->a7.h10<q>,-0.103027344
m6->a7.h13<q>,-0.16601562
m6->a7.h14<q>,0.123535156
m6->a7.h15<q>,-0.12988281
m6->a7.h24<q>,-0.19726562
m6->a7.h26<q>,0.092285156
input->m7,-0.44921875
m0->m7,1.1640625
m1->m7,0.20507812
m3->m7,-0.49023438
a4.h15->m7,-0.12890625
m4->m7,0.25390625
a5.h3->m7,-0.09863281
a5.h27->m7,0.15332031
a6.h7->m7,-0.1484375
a6.h30->m7,-0.100097656
m6->m7,-0.92578125
a7.h16->m7,-0.14355469
a7.h19->m7,0.13867188
m0->a8.h19<q>,-0.10449219
m1->a8.h8<q>,-0.11621094
m2->a8.h8<q>,-0.100097656
m3->a8.h8<q>,-0.18359375
m5->a8.h11<q>,0.25195312
m6->a8.h8<q>,-0.21875
m6->a8.h11<q>,0.25585938
m6->a8.h12<q>,0.14648438
m6->a8.h21<q>,-0.103027344
m7->a8.h5<q>,-0.100097656
m7->a8.h8<q>,-0.33007812
m7->a8.h11<q>,0.265625
m7->a8.h16<q>,0.13671875
m7->a8.h17<q>,-0.092285156
m7->a8.h19<q>,-0.09863281
m7->a8.h21<q>,-0.17773438
m7->a8.h29<q>,0.14648438
input->m8,-0.09863281
a4.h25->m8,0.10058594
m4->m8,-0.25976562
a6.h6->m8,-0.12792969
a6.h8->m8,0.111816406
a6.h9->m8,-0.110839844
a6.h15->m8,-0.111328125
a6.h21->m8,0.110839844
a6.h31->m8,0.092285156
m6->m8,0.33984375
a7.h22->m8,-0.111816406
a7.h25->m8,-0.092285156
a7.h31->m8,0.096191406
a8.h22->m8,0.09667969
a8.h30->m8,0.100097656
m6->a9.h16<q>,-0.10107422
m7->a9.h6<q>,-0.15136719
m7->a9.h31<q>,0.096191406
m8->a9.h5<q>,0.10205078
m8->a9.h6<q>,-0.100097656
m8->a9.h13<q>,0.1484375
m0->m9,0.19335938
m1->m9,0.22167969
m3->m9,-0.100097656
a5.h3->m9,-0.09863281
a5.h25->m9,0.10205078
a5.h27->m9,-0.10546875
m5->m9,0.20507812
a6.h4->m9,0.107421875
a6.h31->m9,-0.09326172
a7.h19->m9,-0.110839844
a7.h22->m9,0.096191406
m7->m9,-0.31054688
a8.h8->m9,-0.24121094
a8.h11->m9,0.16601562
m8->m9,-0.16796875
a9.h4->m9,-0.16503906
a9.h6->m9,0.09375
a9.h19->m9,0.15039062
m7->a10.h11<q>,-0.10986328
m7->a10.h14<q>,-0.12695312
m7->a10.h15<q>,-0.10107422
m7->a10.h22<q>,-0.10644531
m7->a10.h26<q>,0.17871094
m7->a10.h27<q>,-0.11230469
m8->a10.h5<q>,-0.11669922
m8->a10.h15<q>,-0.100097656
m8->a10.h22<q>,-0.10888672
m8->a10.h26<q>,0.1484375
m8->a10.h27<q>,-0.095703125
a9.h25->a10.h15<q>,-0.092285156
a9.h25->a10.h26<q>,0.095214844
m9->a10.h5<q>,-0.09814453
m9->a10.h8<q>,0.099609375
m2->m10,0.48828125
m3->m10,-0.2421875
a4.h7->m10,-0.103027344
m4->m10,-0.13476562
a5.h27->m10,0.17578125
a6.h22->m10,-0.09863281
a8.h20->m10,0.10449219
a8.h31->m10,0.123535156
m8->m10,-0.61328125
a9.h12->m10,-0.095703125
m9->m10,-0.40820312
a10.h4->m10,-0.100097656
m0->a11.h3<q>,-0.15625
m3->a11.h3<q>,-0.09814453
m5->a11.h3<q>,-0.13964844
m6->a11.h3<q>,0.10107422
m7->a11.h3<q>,-0.09423828
m8->a11.h1<q>,0.17089844
m8->a11.h3<q>,-0.22851562
m9->a11.h1<q>,0.20214844
m10->a11.h1<q>,0.21289062
m10->a11.h3<q>,0.10253906
m0->m11,-0.2890625
m2->m11,-0.2734375
m3->m11,0.23535156
a5.h3->m11,0.09814453
m5->m11,0.21289062
m7->m11,-0.18164062
a8.h10->m11,-0.103027344
m8->m11,-0.096191406
