edge,score
input->a0.h20<q>,-0.19238281
input->a0.h23<q>,-0.16210938
input->m0,-0.94921875
m0->a1.h11<q>,0.13574219
m0->a1.h25<q>,0.23828125
a1.h8->m1,0.1953125
a1.h10->m1,0.11376953
a1.h28->m1,0.111328125
a1.h31->m1,-0.16503906
m1->a2.h12<q>,-0.115722656
m1->a2.h19<q>,-0.10205078
m1->a2.h24<q>,0.11425781
m0->m2,-0.14453125
a1.h12->m2,0.09814453
m1->m2,0.19042969
m2->a3.h5<q>,-0.12597656
m2->a3.h17<q>,0.12988281
m2->a3.h30<q>,0.10546875
m2->a3.h31<q>,0.10546875
input->m3,-0.12988281
m2->m3,-0.40820312
a3.h31->m3,0.10058594
m1->m4,-0.22363281
m2->m4,0.14160156
m3->m4,0.16113281
m0->m5,-0.515625
m2->m5,0.2734375
m3->m5,0.28320312
a4.h24->m5,-0.09765625
a5.h22->m5,-0.10498047
m5->a6.h13<q>,0.109375
m5->a6.h25<q>,-0.123535156
m5->a6.h31<q>,0.103515625
m0->m6,0.22363281
m1->m6,0.16503906
m2->m6,0.10253906
a4.h12->m6,-0.13378906
a4.h24->m6,0.099609375
m4->m6,0.20703125
m5->m6,-0.3125
a6.h2->m6,0.10888672
a6.h29->m6,-0.13378906
m5->a7.h11<q>,-0.13769531
m5->a7.h21<q>,-0.100097656
m6->a7.h14<q>,-0.100097656
m6->a7.h19<q>,0.09863281
m6->a7.h21<q>,-0.16796875
m6->a7.h22<q>,0.10253906
m6->a7.h23<q>,-0.12060547
m6->a7.h24<q>,0.12988281
m6->a7.h26<q>,-0.14355469
input->m7,0.14648438
m0->m7,-0.28710938
m1->m7,0.3671875
a4.h4->m7,-0.10253906
a4.h7->m7,0.10888672
m4->m7,-0.6171875
a5.h3->m7,0.10986328
a5.h19->m7,0.09667969
a5.h31->m7,-0.1796875
m5->m7,1.015625
a6.h13->m7,0.09667969
a6.h21->m7,-0.107910156
m6->m7,0.66015625
a7.h11->m7,-0.14648438
a7.h14->m7,-0.109375
a7.h19->m7,0.12695312
a7.h26->m7,-0.110839844
m5->a8.h11<q>,0.16113281
m6->a8.h1<q>,-0.106933594
m6->a8.h11<q>,0.12695312
m6->a8.h22<q>,-0.099609375
m7->a8.h11<q>,0.21484375
m7->a8.h22<q>,-0.10449219
input->m8,0.20019531
m0->m8,0.24023438
m1->m8,-0.68359375
a2.h7->m8,0.15332031
a2.h24->m8,0.13769531
m2->m8,-0.69921875
m4->m8,0.47460938
a5.h15->m8,0.09667969
m5->m8,-0.21777344
a6.h2->m8,-0.10644531
a6.h5->m8,-0.10888672
a6.h7->m8,0.10058594
a6.h25->m8,-0.11230469
m6->m8,-0.32421875
a7.h11->m8,0.12109375
a7.h14->m8,0.09667969
a7.h25->m8,-0.10058594
m7->m8,-1.078125
a8.h1->m8,-0.123046875
a8.h8->m8,-0.13574219
a8.h9->m8,0.14453125
a8.h22->m8,-0.16796875
m7->a9.h13<q>,-0.09667969
m7->a9.h18<q>,-0.12792969
m8->a9.h3<q>,0.10058594
m8->a9.h18<q>,-0.107421875
m8->a9.h29<q>,0.13183594
input->m9,-0.23828125
m0->m9,-0.19238281
m1->m9,0.34179688
a2.h24->m9,-0.13574219
m2->m9,0.14160156
a3.h29->m9,-0.12890625
a3.h31->m9,0.23535156
m3->m9,0.24414062
m4->m9,-0.33984375
m5->m9,0.99609375
a6.h4->m9,-0.13476562
a6.h5->m9,0.15332031
a6.h7->m9,-0.10644531
a6.h30->m9,0.10253906
m6->m9,0.50390625
m7->m9,0.31835938
a8.h22->m9,0.1953125
m8->m9,-0.46484375
a9.h12->m9,0.11621094
a9.h13->m9,-0.11425781
a9.h14->m9,0.12792969
a9.h15->m9,0.107910156
a9.h20->m9,0.09814453
m3->a10.h21<q>,-0.09814453
m7->a10.h5<q>,0.115234375
m8->a10.h5<q>,0.16796875
m8->a10.h21<q>,-0.10107422
m8->a10.h22<q>,0.16015625
m9->a10.h7<q>,-0.119140625
input->m10,-0.3671875
m0->m10,0.63671875
m1->m10,0.17578125
m2->m10,0.4140625
m3->m10,-0.11328125
m4->m10,-0.55078125
m5->m10,-0.1796875
m6->m10,0.25585938
a7.h8->m10,0.115234375
m7->m10,-0.51171875
a8.h8->m10,-0.14941406
a8.h9->m10,0.1328125
a8.h22->m10,0.15234375
a8.h29->m10,-0.110839844
m8->m10,0.421875
a9.h14->m10,-0.12207031
a9.h28->m10,-0.20019531
a10.h4->m10,0.106933594
m8->a11.h2<q>,0.12792969
m8->a11.h19<q>,0.13964844
m9->a11.h1<q>,-0.12451172
m9->a11.h19<q>,0.13085938
m1->m11,0.16015625
a2.h24->m11,-0.119140625
m2->m11,0.25195312
m4->m11,0.19042969
a5.h19->m11,0.10205078
m5->m11,-0.41210938
a6.h5->m11,-0.14160156
a6.h25->m11,-0.16796875
m6->m11,0.51953125
a7.h16->m11,0.10205078
m7->m11,0.5859375
a8.h10->m11,0.125
a8.h14->m11,0.11767578
m8->m11,0.44921875
m9->m11,-0.421875
a11.h19->m11,0.103027344
m8->a12.h6<q>,-0.09814453
m9->a12.h11<q>,-0.100097656
m10->a12.h10<q>,-0.13085938
m11->a12.h5<q>,-0.10107422
m11->a12.h11<q>,-0.10107422
input->m12,-0.47460938
m0->m12,0.21777344
m1->m12,0.17578125
m2->m12,0.21972656
a3.h29->m12,-0.123046875
m3->m12,-0.33984375
m5->m12,0.28320312
a6.h5->m12,0.13964844
a6.h22->m12,-0.16601562
m6->m12,-0.21484375
a7.h8->m12,-0.17089844
m7->m12,0.19628906
a8.h29->m12,0.09863281
m8->m12,0.11376953
a9.h6->m12,0.125
a9.h12->m12,0.13964844
a9.h28->m12,0.16601562
m9->m12,0.12988281
a10.h4->m12,-0.13867188
m10->m12,-0.17578125
a11.h19->m12,0.14257812
m11->m12,1.3984375
a12.h6->m12,-0.111816406
m10->a13.h9<q>,-0.13476562
m12->a13.h9<q>,-0.118652344
m12->a13.h11<q>,-0.11816406
m12->a13.h23<q>,0.11669922
input->m13,-0.40234375
m1->m13,0.1328125
m2->m13,-0.33203125
m3->m13,0.22363281
a6.h5->m13,-0.10498047
m6->m13,-0.20703125
m7->m13,-0.73828125
a8.h29->m13,-0.100097656
m8->m13,0.33789062
a9.h13->m13,-0.109375
a9.h18->m13,-0.10253906
m9->m13,0.18164062
a10.h4->m13,0.107421875
m10->m13,0.16210938
a11.h19->m13,-0.11376953
m11->m13,0.41796875
a12.h8->m13,-0.2578125
m12->m13,0.890625
a13.h8->m13,0.11376953
a13.h10->m13,-0.13964844
a13.h18->m13,0.118652344
m8->a14.h18<q>,0.103515625
m9->a14.h18<q>,0.11767578
m10->a14.h18<q>,0.14550781
m11->a14.h18<q>,0.12207031
m12->a14.h18<q>,0.24511719
m13->a14.h7<q>,-0.115234375
m13->a14.h18<q>,0.17089844
input->m14,-2.09375
a0.h21->m14,0.111816406
a0.h23->m14,0.123046875
a0.h28->m14,0.20605469
m0->m14,0.15429688
a1.h11->m14,0.10546875
a1.h31->m14,0.123046875
m1->m14,-0.90625
m2->m14,0.33984375
a3.h30->m14,-0.10644531
a3.h31->m14,-0.10498047
m3->m14,-0.5859375
a4.h11->m14,0.14746094
a4.h25->m14,-0.13574219
m4->m14,-0.119140625
a5.h15->m14,0.14453125
m5->m14,0.50390625
a6.h5->m14,0.18457031
a6.h7->m14,-0.100097656
