edge,score
input->a0.h9<q>,0.061279297
input->m0,-0.20898438
m0->a1.h30<q>,-0.051757812
input->m1,-0.053710938
m0->m1,-0.055908203
m0->a2.h13<q>,0.034179688
m0->a2.h29<q>,0.03149414
input->m2,-0.083984375
m0->m2,-0.12792969
m1->m2,0.12597656
m0->m3,-0.043945312
m1->m3,-0.064453125
a3.h23->m3,0.04663086
m3->a4.h26<q>,-0.032226562
m0->m4,0.042236328
m1->m4,0.037353516
m2->m4,0.06298828
a4.h4->m4,-0.0390625
a4.h5->m4,0.04711914
a4.h8->m4,-0.03173828
a4.h9->m4,-0.03881836
a4.h11->m4,0.06640625
a4.h24->m4,0.030273438
a4.h25->m4,-0.034423828
input->m5,0.056884766
m0->m5,-0.060058594
m1->m5,0.037841797
a2.h24->m5,-0.030639648
m2->m5,-0.030517578
a3.h21->m5,0.033691406
m3->m5,-0.087402344
a4.h5->m5,0.045410156
a4.h9->m5,-0.038330078
m4->m5,0.17578125
a5.h13->m5,-0.03930664
m5->a6.h4<q>,-0.033203125
m1->m6,-0.053222656
m2->m6,-0.09423828
a3.h5->m6,0.030761719
a3.h28->m6,0.032958984
m3->m6,-0.05126953
a4.h1->m6,0.05444336
a4.h4->m6,0.03930664
a4.h12->m6,-0.032470703
a4.h24->m6,0.033935547
m4->m6,-0.28710938
m5->m6,0.18261719
a6.h0->m6,-0.051757812
a6.h2->m6,0.08300781
a6.h4->m6,0.060058594
a6.h5->m6,-0.068359375
a6.h6->m6,0.037109375
a6.h7->m6,0.047607422
a6.h16->m6,-0.04711914
a6.h21->m6,0.048095703
a6.h24->m6,0.032714844
a6.h25->m6,-0.034179688
m5->a7.h2<q>,-0.057617188
m5->a7.h3<q>,0.041503906
m5->a7.h15<q>,-0.04321289
m5->a7.h24<q>,0.030883789
m5->a7.h26<q>,-0.04711914
a6.h5->a7.h2<q>,0.033203125
m6->a7.h26<q>,-0.034423828
m0->m7,0.067871094
a2.h17->m7,0.033935547
a2.h24->m7,0.034179688
a2.h25->m7,-0.03515625
m3->m7,-0.03540039
a4.h4->m7,0.033691406
a4.h24->m7,-0.048339844
a4.h27->m7,0.040527344
m4->m7,0.061767578
a5.h13->m7,0.034179688
a5.h14->m7,-0.04345703
a5.h17->m7,0.03540039
a5.h19->m7,-0.041503906
a5.h29->m7,0.041259766
a5.h31->m7,0.041503906
m5->m7,-0.11425781
a6.h2->m7,-0.038330078
a6.h4->m7,0.035888672
a6.h5->m7,-0.06933594
a6.h6->m7,0.061279297
a6.h26->m7,0.042236328
a6.h30->m7,-0.040527344
a6.h31->m7,0.03466797
m6->m7,0.17578125
a7.h7->m7,-0.044677734
a7.h8->m7,0.09326172
a7.h11->m7,-0.06738281
a7.h21->m7,-0.049316406
a7.h23->m7,0.03930664
a7.h26->m7,-0.032226562
m6->a8.h30<q>,0.045654297
m7->a8.h20<q>,-0.033203125
input->m8,-0.04248047
m0->m8,0.053222656
m2->m8,0.10498047
a3.h28->m8,-0.041015625
m3->m8,-0.042236328
a4.h4->m8,0.04248047
a4.h5->m8,-0.051513672
a4.h12->m8,0.0390625
a4.h18->m8,0.038085938
a4.h24->m8,0.03149414
a5.h13->m8,-0.03540039
a5.h14->m8,0.0390625
a5.h15->m8,0.040283203
a5.h16->m8,0.044677734
a5.h17->m8,0.032714844
a5.h19->m8,-0.053710938
a5.h31->m8,0.053466797
m5->m8,-0.12890625
a6.h0->m8,0.057861328
a6.h24->m8,0.034423828
a6.h25->m8,0.03112793
m6->m8,-0.07128906
a7.h1->m8,-0.030761719
a7.h4->m8,-0.048339844
a7.h7->m8,-0.05883789
a7.h11->m8,0.03930664
m7->m8,0.034423828
a8.h0->m8,0.040527344
a8.h8->m8,-0.050048828
a8.h10->m8,-0.032714844
a8.h22->m8,0.06542969
a8.h23->m8,-0.04663086
a8.h26->m8,-0.049804688
a8.h28->m8,0.07080078
a8.h29->m8,-0.14160156
a8.h30->m8,0.032470703
m6->a9.h13<q>,0.044433594
m8->a9.h8<q>,0.030517578
m8->a9.h13<q>,-0.036865234
input->m9,0.033203125
m1->m9,0.083984375
m2->m9,-0.1640625
a3.h2->m9,0.061035156
m3->m9,-0.18847656
a4.h4->m9,0.045654297
a4.h5->m9,0.032226562
a4.h7->m9,-0.038330078
a4.h12->m9,-0.032226562
a4.h13->m9,-0.033447266
a4.h25->m9,0.03540039
m5->m9,0.21875
a6.h2->m9,0.043701172
a6.h3->m9,0.03173828
a6.h4->m9,-0.063964844
a6.h21->m9,0.0546875
a6.h22->m9,-0.03466797
a6.h23->m9,-0.03173828
a6.h24->m9,0.037841797
m6->m9,-0.17285156
a7.h4->m9,0.06640625
a7.h17->m9,-0.034423828
m7->m9,0.20507812
m8->m9,-0.056640625
a9.h1->m9,0.055908203
a9.h6->m9,-0.047607422
a9.h9->m9,-0.032958984
a9.h12->m9,0.072265625
a9.h13->m9,-0.11767578
input->m10,-0.03564453
m0->m10,-0.059570312
m2->m10,-0.1796875
a3.h17->m10,0.030883789
a3.h21->m10,0.03112793
a3.h23->m10,-0.045654297
a3.h28->m10,0.030761719
a4.h13->m10,0.046142578
a4.h25->m10,-0.038330078
a4.h31->m10,0.031982422
m4->m10,-0.12207031
a5.h3->m10,-0.046142578
a5.h29->m10,-0.038085938
a5.h31->m10,-0.041992188
a6.h5->m10,0.052490234
a6.h6->m10,-0.047851562
a6.h24->m10,0.041503906
m6->m10,0.09423828
a7.h17->m10,0.044433594
m7->m10,0.15527344
a8.h2->m10,-0.030273438
a8.h8->m10,0.03466797
a8.h9->m10,-0.07861328
m8->m10,0.17382812
a9.h0->m10,0.03149414
a9.h6->m10,-0.03881836
a9.h13->m10,0.06640625
a9.h23->m10,-0.034423828
m9->m10,-0.10888672
a10.h3->m10,0.040283203
a10.h4->m10,-0.05493164
m9->a11.h1<q>,-0.03149414
m10->a11.h21<q>,-0.033691406
m0->m11,0.06640625
m1->m11,-0.033691406
a2.h12->m11,0.040283203
m2->m11,0.047607422
a3.h19->m11,0.030883789
m3->m11,0.091796875
a4.h7->m11,0.034423828
a4.h31->m11,-0.032714844
m4->m11,-0.14355469
a5.h3->m11,0.030639648
m5->m11,-0.05493164
a6.h13->m11,0.09765625
a6.h22->m11,0.044433594
a6.h23->m11,-0.033935547
m6->m11,-0.111328125
a7.h23->m11,0.03149414
a7.h24->m11,0.041503906
a7.h26->m11,-0.033935547
m7->m11,0.17285156
a8.h5->m11,-0.034423828
a8.h10->m11,-0.049804688
a8.h12->m11,-0.040527344
a8.h13->m11,0.038330078
a8.h15->m11,0.04345703
a8.h22->m11,0.06542969
a8.h23->m11,-0.051757812
a8.h29->m11,-0.033203125
m8->m11,-0.34570312
a9.h6->m11,0.08300781
a9.h20->m11,-0.061035156
a9.h22->m11,0.059326172
m9->m11,-0.1875
m10->m11,0.13769531
a11.h21->m11,0.03491211
m1->a12.h9<q>,0.03930664
m5->a12.h9<q>,-0.034423828
m8->a12.h9<q>,0.051513672
m9->a12.h9<q>,0.11328125
m10->a12.h5<q>,-0.032958984
m10->a12.h9<q>,0.044921875
m10->a12.h27<q>,0.031982422
m11->a12.h9<q>,0.06298828
m0->m12,-0.09375
a2.h12->m12,-0.030273438
a3.h23->m12,0.03112793
m3->m12,0.083984375
a4.h2->m12,0.03491211
a4.h25->m12,0.036621094
a4.h31->m12,-0.05029297
m4->m12,-0.048339844
a5.h13->m12,-0.03491211
m5->m12,0.122558594
a6.h0->m12,-0.039794922
a6.h5->m12,0.036865234
m6->m12,-0.21972656
a7.h15->m12,0.03125
m7->m12,0.03857422
a8.h14->m12,-0.037109375
a8.h22->m12,-0.03930664
a8.h28->m12,-0.034179688
a8.h29->m12,0.053222656
m8->m12,0.076660156
a9.h12->m12,0.032226562
