edge,score
input->m0,-0.5234375
a0.h0->m0,0.1484375
a0.h6->m0,0.06982422
m0->m1,-0.3359375
a1.h2->m1,0.17871094
a1.h4->m1,0.08544922
a1.h10->m1,0.17773438
a1.h11->m1,0.064941406
m0->m2,-0.08496094
a1.h10->m2,-0.076171875
a1.h11->m2,-0.080078125
m1->m2,0.29296875
m0->m3,0.22851562
m1->m3,0.09375
m2->m3,-0.61328125
a3.h7->m3,0.06640625
m2->a4.h5<q>,0.087402344
m0->m4,-0.15332031
a1.h11->m4,-0.064941406
m1->m4,0.078125
a2.h11->m4,-0.0625
m2->m4,0.58203125
a3.h2->m4,-0.07910156
a3.h10->m4,-0.095703125
m3->m4,-0.24902344
a4.h0->m4,-0.078125
a4.h3->m4,0.21582031
a4.h4->m4,-0.067871094
a4.h11->m4,-0.071777344
m0->a5.h0<q>,-0.07128906
m0->a5.h13<q>,-0.15917969
m2->a5.h13<q>,-0.2109375
m3->a5.h13<q>,-0.12597656
m4->a5.h5<q>,0.063964844
m4->a5.h13<q>,-0.24609375
m0->m5,0.27929688
a2.h0->m5,0.08642578
m2->m5,0.39453125
a3.h7->m5,-0.083984375
m4->m5,0.4453125
a5.h12->m5,0.0625
m0->m6,-0.390625
a1.h10->m6,-0.08105469
m1->m6,0.3125
m2->m6,0.2890625
a3.h2->m6,0.07421875
a3.h7->m6,-0.109375
a3.h8->m6,0.123535156
m3->m6,0.23339844
a4.h3->m6,0.09326172
m4->m6,0.56640625
a5.h9->m6,0.13476562
a5.h10->m6,-0.06640625
a5.h13->m6,-0.08544922
m5->m6,-0.85546875
a6.h3->m6,0.17089844
a6.h8->m6,0.31054688
a6.h13->m6,-0.1328125
m3->a7.h0<q>,-0.072265625
m6->a7.h1<q>,-0.07373047
m6->a7.h6<q>,-0.064941406
m6->a7.h7<q>,0.07421875
m6->a7.h11<q>,-0.075683594
m0->m7,-0.1796875
a1.h5->m7,-0.07080078
m1->m7,-0.45703125
m2->m7,-0.122558594
a3.h3->m7,0.075683594
m3->m7,0.29101562
a4.h1->m7,-0.06542969
a5.h8->m7,-0.068359375
a5.h9->m7,-0.08300781
m5->m7,0.67578125
a6.h3->m7,-0.2578125
a6.h4->m7,0.08642578
a6.h8->m7,-0.19140625
a6.h10->m7,0.067871094
a6.h13->m7,0.14453125
m6->m7,0.8046875
a7.h5->m7,-0.09326172
a7.h10->m7,0.11328125
a7.h13->m7,0.071777344
m7->a8.h7<q>,0.072265625
m0->m8,0.1875
a1.h5->m8,0.07421875
m1->m8,0.079589844
m2->m8,-0.6171875
a3.h2->m8,-0.095214844
a3.h3->m8,-0.07763672
a3.h7->m8,-0.07763672
a3.h9->m8,0.06591797
m3->m8,0.078125
m4->m8,-0.75
a5.h7->m8,0.13378906
a5.h12->m8,-0.07128906
a5.h13->m8,0.09375
m5->m8,-0.3203125
a6.h3->m8,0.08203125
a6.h8->m8,0.14355469
m6->m8,-0.5546875
a7.h0->m8,0.080078125
a7.h5->m8,0.0625
a7.h6->m8,-0.08203125
a7.h10->m8,-0.078125
a7.h13->m8,0.103515625
m7->m8,0.19335938
a8.h0->m8,0.095703125
a8.h2->m8,0.07470703
a8.h3->m8,0.076171875
a8.h4->m8,0.25390625
a8.h5->m8,0.09326172
a8.h6->m8,-0.25976562
m6->a9.h4<q>,-0.06738281
m0->m9,0.103027344
m1->m9,0.10644531
m2->m9,-0.064941406
a3.h10->m9,-0.09814453
m3->m9,0.12597656
a4.h3->m9,-0.09082031
m4->m9,0.11816406
a5.h5->m9,0.079589844
a5.h7->m9,-0.12988281
a5.h12->m9,0.063964844
m5->m9,0.40234375
a6.h4->m9,-0.106933594
a6.h10->m9,-0.08886719
m6->m9,-0.15039062
a7.h5->m9,-0.095214844
a7.h11->m9,0.09667969
a7.h12->m9,-0.119140625
m7->m9,0.2734375
a8.h0->m9,-0.1640625
a8.h4->m9,-0.21582031
a8.h7->m9,0.13085938
a8.h10->m9,0.1328125
m8->m9,-0.109375
a9.h0->m9,-0.06542969
a9.h2->m9,-0.111328125
a9.h12->m9,0.08251953
m0->m10,-0.32226562
a1.h10->m10,-0.0625
m1->m10,-0.103027344
a2.h0->m10,-0.063964844
m2->m10,0.43554688
a3.h2->m10,-0.10888672
a3.h3->m10,0.06982422
a3.h8->m10,-0.07324219
a3.h10->m10,-0.06542969
m4->m10,0.32226562
a5.h7->m10,-0.06982422
a5.h9->m10,0.16015625
m5->m10,-0.18164062
a6.h3->m10,-0.10546875
a6.h8->m10,-0.11230469
a6.h12->m10,-0.071777344
a7.h0->m10,-0.079589844
a7.h6->m10,0.06640625
a7.h11->m10,0.13769531
a8.h0->m10,-0.07421875
a8.h2->m10,-0.099609375
a8.h3->m10,-0.075683594
a8.h4->m10,-0.122558594
a8.h6->m10,0.14746094
a8.h9->m10,-0.09667969
a8.h10->m10,-0.12890625
m8->m10,0.53125
a9.h4->m10,-0.1328125
m9->m10,-0.15332031
a10.h0->m10,0.11816406
a10.h4->m10,0.119140625
a10.h5->m10,-0.0703125
a10.h7->m10,-0.13769531
m9->a11.h6<q>,-0.063964844
m0->m11,0.3671875
m1->m11,0.10498047
m3->m11,-0.111816406
a4.h1->m11,-0.06542969
m4->m11,-0.14648438
a5.h9->m11,-0.099609375
a5.h13->m11,0.122558594
a6.h13->m11,0.091308594
m7->m11,-0.09082031
a8.h0->m11,-0.071777344
a8.h2->m11,0.07421875
a8.h6->m11,-0.22167969
a8.h9->m11,0.07861328
m8->m11,-0.10449219
a9.h4->m11,0.19628906
a9.h5->m11,0.07519531
m9->m11,-0.21582031
a10.h0->m11,-0.19628906
a10.h5->m11,-0.096191406
a10.h6->m11,-0.07080078
a10.h8->m11,0.100097656
m10->m11,0.1484375
a11.h4->m11,-0.109375
m7->a12.h1<q>,-0.06298828
input->m12,-0.096191406
m0->m12,-0.3515625
m1->m12,-0.1953125
m2->m12,0.12109375
a3.h2->m12,0.12109375
m3->m12,0.2265625
m4->m12,0.30078125
m5->m12,-0.083984375
a6.h1->m12,-0.080566406
a6.h3->m12,-0.08203125
a6.h13->m12,-0.12792969
m6->m12,-0.49414062
a7.h0->m12,0.075683594
a7.h11->m12,-0.095214844
a7.h13->m12,0.06542969
m7->m12,-0.33984375
a8.h0->m12,0.07373047
m8->m12,0.25976562
m9->m12,0.265625
a10.h7->m12,-0.13867188
a10.h8->m12,0.07763672
a10.h13->m12,0.10546875
m10->m12,-0.06298828
a11.h1->m12,0.072265625
a11.h4->m12,0.068847656
m11->m12,0.38671875
a12.h0->m12,-0.17773438
a12.h4->m12,0.08105469
a12.h6->m12,0.13378906
m5->a13.h9<q>,-0.11328125
m8->a13.h9<q>,-0.06640625
m11->a13.h9<q>,-0.064453125
m12->a13.h4<q>,0.06982422
m12->a13.h9<q>,-0.10644531
m0->m13,-0.12890625
m1->m13,-0.16015625
m3->m13,-0.13085938
a4.h3->m13,0.068359375
m5->m13,-0.3671875
a6.h3->m13,0.095214844
a6.h13->m13,0.078125
a7.h6->m13,0.14648438
a7.h10->m13,-0.08691406
a7.h11->m13,0.13476562
a7.h13->m13,-0.110839844
m7->m13,0.24023438
a8.h0->m13,0.064941406
a8.h7->m13,-0.11621094
a9.h5->m13,-0.072265625
m9->m13,-0.23632812
a10.h0->m13,0.110839844
a10.h7->m13,0.17773438
a10.h8->m13,-0.07373047
m10->m13,-0.15332031
a11.h1->m13,0.06933594
a11.h4->m13,0.078125
a11.h5->m13,-0.06542969
a12.h0->m13,0.064941406
a12.h5->m13,0.08886719
m12->m13,0.3203125
a13.h3->m13,-0.17578125
a13.h5->m13,-0.06640625
a13.h6->m13,0.118652344
m12->a14.h7<q>,0.07861328
m2->m14,-0.33203125
m3->m14,0.16601562
m4->m14,0.06640625
m5->m14,0.21972656
a7.h11->m14,-0.06542969
m7->m14,-0.12988281
m8->m14,-0.16015625
a9.h4->m14,-0.064941406
m9->m14,-0.118652344
m11->m14,0.26171875
a12.h0->m14,0.20410156
m12->m14,0.15039062
a13.h3->m14,0.115234375
m13->m14,-0.3203125
a14.h1->m14,0.15234375
a14.h4->m14,-0.087890625
m1->m15,0.09326172
m3->m15,-0.079589844
a4.h3->m15,-0.07519531
m4->m15,-0.15429688
m5->m15,0.10449219
m6->m15,-0.16210938
m7->m15,-0.10546875
a8.h10->m15,0.080078125
a10.h0->m15,0.08544922
m10->m15,0.106933594
a12.h0->m15,0.07763672
a12.h6->m15,-0.111816406
m12->m15,-0.17480469
m14->m15,0.08691406
m0->m16,0.1796875
m2->m16,-0.14746094
m7->m16,-0.08642578
a8.h6->m16,0.118652344
a8.h10->m16,0.10546875
m10->m16,-0.12060547
a12.h0->m16,0.08203125
m12->m16,-0.087402344
m13->m16,-0.359375
m14->m16,-0.6484375
m15->m16,-0.22460938
a16.h7->m16,0.109375
a16.h11->m16,0.2421875
m4->m17,0.10888672
m6->m17,-0.27148438
m7->m17,0.14941406
m9->m17,0.076660156
a12.h0->m17,-0.07373047
m12->m17,-0.18847656
m13->m17,0.19628906
m16->m17,0.33007812
m6->m18,-0.076660156
m9->m18,0.0703125
m10->m18,-0.28710938
m11->m18,0.18847656
m12->m18,0.10107422
m14->m18,-0.16992188
m15->m18,0.49023438
m17->m18,-0.12597656
m17->a19.h13<q>,0.06640625
m18->a19.h13<q>,0.06640625
m4->m19,-0.076171875
m10->m19,-0.0703125
m14->m19,0.38085938
m15->m19,-0.27929688
m16->m19,-0.09082031
a17.h5->m19,-0.07910156
m17->m19,-0.14746094
m18->m19,0.20214844
a19.h13->m19,-0.06298828
m2->m20,0.068847656
m5->m20,-0.072753906
m6->m20,-0.06640625
m7->m20,0.10644531
m9->m20,-0.10107422
m10->m20,0.118652344
m11->m20,-0.107910156
a17.h5->m20,0.08105469
m19->m20,0.18652344
m16->a21.h7<q>,-0.07080078
m0->m21,-0.09326172
m13->m21,-0.063964844
m15->m21,-0.08105469
m16->m21,-0.11816406
m19->m21,-0.07080078
m4->m22,0.071777344
m13->m22,-0.092285156
m14->m22,0.096191406
m15->m22,0.15039062
a16.h11->m22,-0.06738281
m16->m22,0.14355469
m17->m22,-0.11425781
m18->m22,-0.07080078
m20->m22,0.19238281
a22.h9->m22,-0.079589844
m7->m23,0.17285156
a12.h4->m23,0.07861328
m14->m23,-0.12695312
m15->m23,-0.11425781
m16->m23,-0.10888672
a17.h5->m23,-0.064941406
m18->m23,-0.24511719
m19->m23,0.18359375
a20.h0->m23,0.07470703
m20->m23,0.23632812
m21->m23,-0.095703125
a22.h9->m23,-0.16113281
m22->m23,0.8984375
a23.h0->m23,-0.27929688
input->logits,0.10058594
m1->logits,-0.07128906
m4->logits,-0.06982422
m6->logits,0.064941406
m7->logits,-0.2890625
m11->logits,-0.12451172
m12->logits,-0.07470703
m13->logits,0.091308594
m14->logits,-0.1640625
m15->logits,-0.26171875
a16.h7->logits,-0.07373047
a16.h10->logits,-0.07128906
a16.h11->logits,0.14355469
a16.h13->logits,-0.076660156
m16->logits,-0.3203125
m17->logits,0.13476562
m18->logits,0.09375
a19.h8->logits,0.10644531
a19.h13->logits,-0.080566406
m19->logits,-0.15820312
a20.h0->logits,0.06298828
a20.h3->logits,0.109375
m20->logits,-0.68359375
a21.h7->logits,-0.10546875
a21.h12->logits,0.06542969
m21->logits,-0.15820312
a22.h9->logits,0.09423828
m22->logits,-0.25585938
a23.h0->logits,0.25976562
a23.h6->logits,0.079589844
m23->logits,0.94921875
