edge,score
input->a0.h0<v>,0.0016174316
input->a0.h1<v>,-0.001335144
input->a0.h2<v>,-0.0017166138
input->a0.h3<k>,-0.0025024414
input->a0.h3<v>,-0.0030059814
input->a0.h4<k>,0.0027313232
input->a0.h4<v>,0.0051879883
input->a0.h5<k>,-0.0021362305
input->a0.h5<v>,-0.0016860962
input->a0.h6<k>,0.0013504028
input->a0.h6<v>,0.027832031
input->a0.h7<k>,-0.0014877319
input->a0.h7<v>,-0.0043029785
input->a0.h8<v>,-0.032226562
input->a0.h10<v>,-0.008422852
input->a0.h11<v>,-0.010986328
input->m0,-0.5234375
a0.h1->m0,0.0030059814
a0.h2->m0,-0.0024871826
a0.h4->m0,0.0013275146
a0.h7->m0,-0.0024261475
a0.h8->m0,0.002380371
a0.h9->m0,0.0014724731
a0.h10->m0,-0.0025177002
a0.h11->m0,0.0043945312
input->a1.h2<v>,-0.0018920898
input->a1.h9<v>,0.0015258789
input->a1.h10<v>,0.006134033
m0->a1.h2<v>,0.0032196045
m0->a1.h3<v>,-0.0025177002
m0->a1.h4<v>,0.002029419
m0->a1.h5<v>,0.0030517578
m0->a1.h6<v>,-0.0012969971
m0->a1.h8<k>,0.004272461
m0->a1.h8<v>,0.003768921
m0->a1.h9<k>,0.005584717
m0->a1.h9<v>,0.013366699
m0->a1.h10<v>,-0.0036010742
m0->a1.h11<v>,0.004760742
input->m1,0.057617188
a0.h1->m1,0.0020141602
a0.h5->m1,0.0016098022
a0.h10->m1,0.0020141602
a0.h11->m1,0.004486084
m0->m1,0.036621094
a1.h1->m1,-0.0022735596
a1.h2->m1,0.0030517578
a1.h3->m1,-0.0017318726
a1.h4->m1,-0.004119873
a1.h8->m1,-0.0012588501
a1.h9->m1,0.002380371
a1.h10->m1,0.0024871826
a1.h11->m1,-0.002029419
m0->a2.h5<v>,-0.0016784668
m0->a2.h6<v>,0.005584717
m0->a2.h7<v>,0.024169922
m0->a2.h9<v>,0.0015716553
m0->a2.h11<v>,-0.0024719238
m1->a2.h7<v>,-0.0014038086
input->m2,0.007019043
m0->m2,0.03540039
a1.h10->m2,0.002746582
m1->m2,0.031982422
m0->a3.h0<v>,-0.0032958984
m0->a3.h4<v>,0.0025634766
m0->a3.h5<v>,0.0018844604
m0->a3.h11<v>,0.0016784668
m2->a3.h11<k>,0.0014877319
input->m3,0.0021362305
m0->m3,-0.009460449
m1->m3,0.010375977
m2->m3,-0.021240234
m0->a4.h0<k>,0.0012969971
m0->a4.h2<v>,0.006164551
m0->a4.h3<k>,0.0031280518
m0->a4.h4<v>,0.0029296875
m0->a4.h5<k>,-0.002380371
m0->a4.h5<v>,0.002105713
m0->a4.h6<k>,-0.002319336
m0->a4.h6<v>,0.0045776367
m0->a4.h8<v>,0.009277344
m0->a4.h9<k>,-0.0022888184
m0->a4.h9<v>,0.0031280518
m0->a4.h10<v>,-0.0045776367
m2->a4.h3<k>,-0.0014190674
m2->a4.h5<k>,0.0013504028
m2->a4.h6<v>,0.0032653809
m2->a4.h7<v>,-0.0012893677
m2->a4.h8<v>,-0.0018920898
m2->a4.h9<k>,0.0024871826
input->m4,-0.0025939941
m0->m4,-0.037109375
m1->m4,0.012512207
m2->m4,0.0037231445
m3->m4,-0.0032653809
m0->a5.h0<v>,-0.008544922
m0->a5.h1<v>,-0.0027770996
m0->a5.h2<k>,0.0016021729
m0->a5.h2<v>,-0.0014343262
m0->a5.h3<k>,0.0048217773
m0->a5.h4<q>,0.0018539429
m0->a5.h4<k>,-0.0095825195
m0->a5.h4<v>,0.00491333
m0->a5.h5<v>,0.0026245117
m0->a5.h7<k>,0.0023345947
m0->a5.h7<v>,-0.0027923584
m0->a5.h8<k>,-0.0015716553
m0->a5.h8<v>,0.0037078857
m0->a5.h9<v>,0.016967773
m0->a5.h10<k>,0.0030517578
m0->a5.h11<v>,-0.010375977
m2->a5.h0<v>,-0.002456665
m2->a5.h1<v>,-0.001739502
m2->a5.h3<v>,-0.0016021729
m2->a5.h4<v>,0.002670288
m2->a5.h7<v>,-0.0015106201
m2->a5.h8<v>,0.0015640259
m2->a5.h9<v>,0.003753662
m2->a5.h10<v>,-0.001876831
input->m5,-0.0068359375
m0->m5,-0.015563965
m1->m5,0.022338867
m2->m5,-0.014038086
m3->m5,-0.0043640137
m4->m5,0.0028839111
m0->a6.h0<q>,-0.0018157959
m0->a6.h0<k>,-0.0033569336
m0->a6.h0<v>,0.0012664795
m0->a6.h1<q>,0.0027160645
m0->a6.h1<k>,0.006439209
m0->a6.h2<v>,0.011474609
m0->a6.h3<v>,0.0048217773
m0->a6.h4<k>,0.0014266968
m0->a6.h4<v>,0.0115356445
m0->a6.h5<q>,-0.0027008057
m0->a6.h5<k>,-0.0036010742
m0->a6.h6<k>,-0.0016708374
m0->a6.h6<v>,-0.01574707
m0->a6.h7<q>,-0.0020446777
m0->a6.h7<k>,0.0015411377
m0->a6.h7<v>,0.0065612793
m0->a6.h8<k>,-0.008422852
m0->a6.h8<v>,0.0032958984
m0->a6.h9<k>,0.0020751953
m0->a6.h9<v>,-0.010314941
m0->a6.h10<v>,0.0016784668
m0->a6.h11<q>,0.004058838
m0->a6.h11<k>,0.0043640137
m0->a6.h11<v>,-0.0023498535
m2->a6.h0<v>,0.0018005371
m2->a6.h2<v>,0.0029449463
m2->a6.h3<v>,0.0018615723
m2->a6.h4<v>,0.002456665
m2->a6.h5<v>,0.002166748
m2->a6.h6<v>,-0.0035095215
m2->a6.h7<q>,-0.0012664795
m2->a6.h8<k>,-0.0026550293
m2->a6.h9<v>,-0.003540039
input->m6,-0.003479004
m0->m6,0.015258789
m2->m6,-0.01977539
m4->m6,0.012573242
m5->m6,0.010253906
m0->a7.h1<k>,0.0012588501
m0->a7.h1<v>,0.0039978027
m0->a7.h2<k>,0.0017700195
m0->a7.h2<v>,-0.007659912
m0->a7.h3<q>,-0.0037078857
m0->a7.h3<k>,-0.0027160645
m0->a7.h3<v>,0.004852295
m0->a7.h4<k>,0.0029754639
m0->a7.h5<v>,0.0014572144
m0->a7.h6<v>,0.025512695
m0->a7.h7<v>,-0.0058288574
m0->a7.h8<v>,0.0014953613
m0->a7.h10<k>,0.0012512207
m0->a7.h10<v>,0.005554199
m0->a7.h11<v>,-0.013977051
m1->a7.h6<v>,-0.0014190674
m2->a7.h2<v>,-0.0022888184
m2->a7.h3<v>,0.003112793
m2->a7.h6<v>,0.008361816
m2->a7.h7<v>,-0.0019454956
m2->a7.h10<v>,0.0012664795
m2->a7.h11<v>,-0.0033569336
input->m7,-0.0025634766
m0->m7,-0.016601562
m1->m7,0.018798828
m2->m7,0.022949219
m3->m7,-0.0064697266
m4->m7,-0.01928711
m5->m7,-0.015319824
m6->m7,0.0072631836
input->a8.h1<k>,0.0013198853
m0->a8.h0<k>,0.0018920898
m0->a8.h0<v>,-0.0014190674
m0->a8.h1<k>,0.0026550293
m0->a8.h1<v>,-0.0027770996
m0->a8.h2<v>,0.0016098022
m0->a8.h3<v>,-0.0032806396
m0->a8.h4<v>,-0.0015335083
m0->a8.h5<q>,-0.0045166016
m0->a8.h5<k>,-0.003967285
m0->a8.h5<v>,0.0030059814
m0->a8.h8<v>,0.0030670166
m0->a8.h9<v>,0.0079956055
m0->a8.h10<k>,-0.0014648438
m0->a8.h10<v>,-0.0014724731
m0->a8.h11<k>,0.0028839111
m0->a8.h11<v>,0.0019683838
m2->a8.h0<v>,-0.0034179688
m2->a8.h1<v>,-0.0019683838
m2->a8.h5<q>,-0.0019302368
m2->a8.h5<k>,0.0013198853
m2->a8.h5<v>,0.0024261475
m2->a8.h7<v>,-0.0019454956
m2->a8.h9<v>,0.0032196045
m0->m8,-0.071777344
m1->m8,0.030517578
m2->m8,0.016235352
m3->m8,-0.004180908
m4->m8,-0.0023956299
m5->m8,0.014465332
m6->m8,0.008605957
m7->m8,0.0018920898
input->a9.h11<k>,0.0012588501
m0->a9.h1<v>,0.0016174316
m0->a9.h2<k>,0.001663208
m0->a9.h2<v>,0.0023956299
m0->a9.h3<q>,0.010620117
m0->a9.h3<k>,0.0026397705
m0->a9.h3<v>,-0.001876831
m0->a9.h4<k>,-0.0012969971
m0->a9.h4<v>,-0.004333496
m0->a9.h5<v>,0.001876831
m0->a9.h6<k>,0.0065307617
m0->a9.h6<v>,0.0045776367
m0->a9.h7<k>,-0.0013961792
m0->a9.h7<v>,0.0054626465
m0->a9.h8<v>,-0.0032806396
m0->a9.h9<k>,0.0022735596
m0->a9.h9<v>,0.0019454956
m0->a9.h10<q>,0.0019989014
m0->a9.h11<k>,0.0045776367
m1->a9.h3<q>,0.0019683838
m2->a9.h1<v>,0.0015258789
m2->a9.h3<q>,0.0026550293
m2->a9.h3<v>,-0.0019073486
m2->a9.h7<v>,0.0025024414
m2->a9.h11<v>,-0.0027313232
input->m9,0.001373291
m0->m9,-0.036132812
m1->m9,0.004211426
m2->m9,0.011108398
m3->m9,-0.001953125
m4->m9,-0.001914978
m5->m9,-0.0075683594
m7->m9,0.0025177002
input->a10.h8<k>,0.0018463135
input->a10.h10<k>,-0.0019073486
a0.h11->a10.h5<k>,0.0023498535
m0->a10.h0<k>,0.005279541
m0->a10.h0<v>,0.0029296875
m0->a10.h1<k>,0.002532959
m0->a10.h1<v>,0.0034179688
m0->a10.h2<k>,0.004425049
m0->a10.h2<v>,0.0023040771
m0->a10.h3<v>,0.0019683838
m0->a10.h4<k>,0.0028686523
m0->a10.h4<v>,0.003112793
m0->a10.h5<q>,-0.0058898926
m0->a10.h5<k>,0.0013122559
m0->a10.h5<v>,0.002090454
m0->a10.h6<k>,0.0030822754
m0->a10.h6<v>,0.0022277832
m0->a10.h7<k>,0.0018005371
m0->a10.h8<k>,-0.006011963
m0->a10.h8<v>,-0.0072631836
m0->a10.h9<q>,0.0017089844
m0->a10.h9<k>,0.0017089844
m0->a10.h10<k>,0.0027770996
a1.h9->a10.h5<k>,0.0013656616
m1->a10.h5<q>,-0.0022125244
m1->a10.h10<k>,-0.0012969971
m2->a10.h5<q>,-0.0022277832
m2->a10.h5<k>,0.012512207
m2->a10.h5<v>,0.006286621
m2->a10.h9<v>,0.0021514893
m4->a10.h5<k>,0.0016784668
input->m10,0.009521484
m0->m10,-0.16894531
m1->m10,-0.024414062
m2->m10,-0.013366699
m3->m10,0.013671875
m4->m10,0.020141602
m5->m10,-0.007385254
m6->m10,-0.004760742
m7->m10,-0.008239746
a8.h7->m10,-0.0014877319
m8->m10,-0.0036773682
a9.h3->m10,-0.002670288
a9.h10->m10,-0.0017776489
m9->m10,-0.001876831
a10.h9->m10,-0.0016403198
input->a11.h4<k>,0.0026397705
input->a11.h10<k>,-0.0014266968
input->a11.h11<k>,-0.0014343262
m0->a11.h1<k>,0.0012817383
m0->a11.h2<q>,0.002243042
m0->a11.h2<k>,0.0039978027
m0->a11.h2<v>,0.005065918
m0->a11.h3<v>,0.0015258789
m0->a11.h4<k>,-0.011169434
m0->a11.h4<v>,-0.014404297
m0->a11.h5<v>,-0.0021820068
m0->a11.h6<v>,-0.0018005371
m0->a11.h7<k>,0.0023040771
m0->a11.h7<v>,0.0033721924
m0->a11.h8<v>,-0.0054626465
m0->a11.h9<k>,0.0012969971
m0->a11.h9<v>,0.0020751953
m0->a11.h11<q>,0.0015640259
m0->a11.h11<k>,0.005340576
m0->a11.h11<v>,0.0072631836
m1->a11.h4<v>,0.0018920898
m1->a11.h8<k>,0.0016784668
m2->a11.h4<q>,0.0015640259
m2->a11.h4<v>,-0.002243042
m2->a11.h8<k>,-0.0025024414
m2->a11.h8<v>,0.0013198853
m2->a11.h11<k>,0.0017318726
m2->a11.h11<v>,-0.0028533936
m10->a11.h4<k>,-0.002670288
m10->a11.h11<v>,0.0020141602
input->m11,0.005584717
m0->m11,-0.13964844
m1->m11,0.012207031
m2->m11,-0.0016860962
m4->m11,-0.03881836
a5.h4->m11,-0.0024719238
m5->m11,-0.063964844
a6.h0->m11,-0.002243042
a6.h8->m11,-0.0028076172
a6.h11->m11,0.0013656616
m6->m11,-0.030761719
a7.h0->m11,-0.0027770996
a7.h4->m11,-0.0036468506
m7->m11,-0.034179688
a8.h4->m11,-0.0012512207
a8.h5->m11,-0.0038909912
a8.h7->m11,-0.0030059814
m8->m11,0.0099487305
a9.h3->m11,-0.004425049
a9.h10->m11,-0.006134033
m9->m11,0.03881836
a10.h5->m11,-0.009887695
a10.h9->m11,-0.007873535
a10.h10->m11,0.0022583008
m10->m11,0.096191406
input->logits,0.022460938
a0.h5->logits,-0.0015335083
a0.h7->logits,0.0012817383
m0->logits,-0.27734375
m1->logits,0.002746582
m2->logits,0.12597656
m3->logits,0.010131836
a4.h0->logits,0.0016784668
m4->logits,0.038330078
a5.h3->logits,-0.002319336
a5.h4->logits,0.0065612793
a5.h6->logits,-0.0015716553
m5->logits,0.080078125
a6.h0->logits,0.002380371
a6.h1->logits,0.0017547607
a6.h5->logits,-0.0016098022
a6.h7->logits,-0.0038452148
a6.h8->logits,0.0012664795
a6.h11->logits,0.005279541
m6->logits,0.05102539
a7.h0->logits,0.006225586
a7.h3->logits,-0.003829956
a7.h4->logits,0.005126953
m7->logits,0.020996094
a8.h5->logits,-0.0032196045
a8.h7->logits,0.00491333
m8->logits,-0.006866455
a9.h3->logits,0.020141602
a9.h10->logits,0.008972168
a9.h11->logits,-0.0015563965
m9->logits,-0.068359375
a10.h5->logits,-0.002105713
a10.h9->logits,0.006652832
m10->logits,-0.25976562
a11.h2->logits,0.0031433105
a11.h3->logits,0.0014266968
a11.h4->logits,-0.001739502
a11.h5->logits,-0.001335144
a11.h7->logits,0.0015945435
a11.h8->logits,-0.0021209717
a11.h11->logits,0.0015258789
m11->logits,-0.13085938
