edge,score
input->a0.h0<v>,0.008078898
input->a0.h1<v>,0.007729186
input->a0.h2<v>,0.014529469
input->a0.h3<v>,0.008107413
input->a0.h5<v>,0.0128524285
input->a0.h6<v>,0.01805008
input->a0.h7<v>,-0.014726394
input->a0.h9<v>,0.04377572
input->a0.h10<v>,-0.021981979
input->a0.h11<v>,0.018710367
input->m0,-0.2989617
a0.h0->m0,0.016693782
a0.h1->m0,0.013164619
a0.h2->m0,-0.008878794
a0.h3->m0,0.010782895
a0.h4->m0,-0.006714247
a0.h5->m0,0.013946883
a0.h6->m0,0.02297607
a0.h7->m0,0.0067546847
a0.h9->m0,0.021162514
a0.h10->m0,-0.006937456
a0.h11->m0,0.014701645
a0.h11->a1.h9<v>,-0.008299541
m0->a1.h0<v>,0.03341111
m0->a1.h1<v>,0.0059922156
m0->a1.h4<v>,-0.011807275
m0->a1.h5<v>,0.012579613
m0->a1.h6<v>,-0.014151952
m0->a1.h8<v>,0.0071459394
m0->a1.h9<v>,0.032949846
m0->a1.h10<v>,-0.00784666
input->m1,-0.012387986
m0->m1,-0.10377845
a1.h2->m1,-0.007674275
a1.h7->m1,-0.008123689
a1.h10->m1,-0.013557559
m0->a2.h0<v>,-0.010609603
m0->a2.h1<v>,-0.0102163125
m0->a2.h2<v>,0.019463891
m0->a2.h3<v>,0.023648053
m0->a2.h4<v>,-0.012294438
m0->a2.h5<v>,-0.011786503
m0->a2.h9<v>,0.018373676
m0->a2.h10<v>,0.017638471
input->m2,0.0101096295
m0->m2,-0.20467192
a1.h7->m2,-0.00956086
a1.h10->m2,-0.010968533
m1->m2,-0.043157086
m0->a3.h0<v>,-0.007842585
m0->a3.h1<v>,0.008220824
m0->a3.h3<v>,0.011714971
m0->a3.h6<v>,0.014415576
m0->a3.h7<v>,0.008524755
m0->a3.h8<v>,-0.0076292763
m0->a3.h10<v>,0.016557608
m0->a3.h11<v>,0.0070683053
m0->m3,-0.07631923
m1->m3,-0.015114785
m2->m3,0.045618184
m0->a4.h1<v>,-0.007310613
m0->a4.h2<v>,-0.011099838
m0->a4.h3<v>,0.010919024
m0->a4.h4<v>,-0.009849532
m0->a4.h5<v>,0.020186914
m0->a4.h8<v>,-0.0070923315
m0->a4.h9<v>,0.005166444
m0->a4.h11<v>,0.0059875683
m2->a4.h6<v>,0.0092892535
m2->a4.h9<v>,-0.0065109646
m2->a4.h10<v>,0.010384363
a0.h9->m4,-0.005255041
m0->m4,0.03671066
a1.h7->m4,-0.006038313
m1->m4,-0.009535863
m2->m4,0.015725756
m0->a5.h0<v>,0.025300274
m0->a5.h1<v>,0.03286291
m0->a5.h3<v>,0.0069339937
m0->a5.h4<v>,0.0060435073
m0->a5.h6<v>,0.010652889
m0->a5.h7<v>,-0.009798073
m0->a5.h8<v>,-0.0067292484
m0->a5.h9<v>,0.016504142
m0->a5.h11<v>,0.01661542
m2->a5.h1<v>,-0.0080774035
m2->a5.h3<v>,-0.012241508
m2->a5.h4<v>,-0.005352463
m2->a5.h9<v>,0.013857162
a4.h6->a5.h0<v>,0.005784742
a4.h6->a5.h9<v>,-0.007168145
m4->a5.h9<v>,-0.0054444284
input->m5,-0.009979633
m0->m5,0.0938953
m2->m5,-0.024066817
m4->m5,-0.010794181
m0->a6.h2<v>,0.01097133
m0->a6.h3<v>,0.012677193
m0->a6.h4<v>,0.013547392
m0->a6.h5<k>,-0.005292208
m0->a6.h5<v>,0.0053129666
m0->a6.h6<v>,-0.016688958
m0->a6.h7<v>,0.015803237
m0->a6.h8<v>,-0.010529755
m0->a6.h10<v>,0.02491167
m0->a6.h11<v>,-0.014452804
a1.h7->a6.h10<v>,0.0061698877
m2->a6.h0<v>,-0.008608664
m2->a6.h1<v>,-0.008282963
m2->a6.h2<v>,0.014804732
m2->a6.h3<v>,0.005802052
m2->a6.h5<k>,0.0070844516
m2->a6.h5<v>,0.017402256
m2->a6.h8<v>,-0.01252171
m2->a6.h10<v>,0.014207813
m2->a6.h11<v>,0.011078351
a5.h5->a6.h2<v>,0.0053772954
a5.h9->a6.h2<v>,-0.010474732
a5.h10->a6.h2<v>,0.005260181
a5.h11->a6.h4<v>,0.0068638134
a5.h11->a6.h6<v>,-0.0061544674
m5->a6.h0<v>,0.0064752325
input->m6,-0.005304398
m0->m6,0.059820194
m1->m6,-0.0054749823
m4->m6,-0.020194586
m5->m6,-0.023675265
a6.h7->m6,-0.005609625
m0->a7.h1<v>,0.029474722
m0->a7.h2<v>,0.008733319
m0->a7.h3<v>,-0.017889868
m0->a7.h4<v>,-0.029024078
m0->a7.h5<v>,0.010680995
m0->a7.h6<v>,-0.016175542
m0->a7.h7<v>,0.028590068
m0->a7.h8<v>,0.010162954
m0->a7.h9<v>,-0.007382142
m0->a7.h10<v>,-0.006257364
m0->a7.h11<v>,-0.0085228225
m1->a7.h11<v>,-0.0067355633
m2->a7.h0<v>,-0.009839522
m2->a7.h4<v>,-0.022429261
m2->a7.h8<v>,-0.006550244
m2->a7.h11<v>,-0.01030205
a4.h6->a7.h11<v>,0.011931638
m4->a7.h11<v>,0.008660461
a5.h1->a7.h6<v>,0.0057096514
a5.h3->a7.h4<v>,-0.005460673
a5.h4->a7.h11<v>,0.00594333
a5.h9->a7.h1<v>,-0.0052909916
a5.h9->a7.h6<v>,0.009727023
a5.h9->a7.h11<v>,0.0073206746
m5->a7.h0<v>,0.005849504
m5->a7.h4<v>,0.007226996
m5->a7.h11<v>,0.008007162
a6.h3->a7.h11<v>,0.006810108
a6.h6->a7.h6<v>,0.005604379
a6.h7->a7.h6<v>,-0.005520309
a6.h10->a7.h0<v>,0.0056209206
input->m7,-0.0054428917
m0->m7,0.05824926
m2->m7,-0.04085025
m0->a8.h0<v>,0.006611348
m0->a8.h1<v>,0.026529716
m0->a8.h2<v>,-0.00961676
m0->a8.h4<v>,-0.011756933
m0->a8.h6<v>,0.013159485
m0->a8.h7<v>,0.014993974
m0->a8.h8<v>,0.009018616
m2->a8.h1<v>,-0.016131591
m2->a8.h2<v>,-0.012981858
m2->a8.h7<v>,-0.007465745
m2->a8.h10<v>,0.022580512
m4->a8.h2<v>,0.0061038667
a5.h9->a8.h9<v>,0.006613572
m5->a8.h2<v>,0.00818525
a7.h4->a8.h5<v>,-0.006324973
a7.h6->a8.h5<v>,-0.005622792
a7.h7->a8.h5<v>,0.007024008
m2->m8,-0.0232006
m0->a9.h0<v>,-0.014598204
m0->a9.h1<v>,0.017043836
m0->a9.h2<v>,0.0142223425
m0->a9.h3<v>,0.021390932
m0->a9.h4<v>,-0.024263063
m0->a9.h5<v>,0.007744006
m0->a9.h6<v>,0.022361482
m0->a9.h7<v>,-0.014314484
m0->a9.h9<v>,-0.011605514
m0->a9.h10<v>,-0.011647292
m0->a9.h11<v>,0.06151986
m2->a9.h3<k>,-0.008628025
m2->a9.h3<v>,-0.029891392
m2->a9.h4<v>,-0.0059843534
m2->a9.h5<v>,0.007219793
m2->a9.h7<v>,0.015452143
m2->a9.h11<v>,-0.016358165
a5.h9->a9.h11<v>,0.0073941746
m5->a9.h3<v>,0.0054561705
m5->a9.h11<v>,0.010180121
a6.h2->a9.h5<v>,-0.0054840785
a6.h10->a9.h3<v>,0.006362677
a7.h6->a9.h3<v>,-0.007627588
a7.h7->a9.h3<v>,0.0065161115
m0->m9,0.026371032
m2->m9,-0.019549102
a9.h11->m9,0.0067069987
m0->a10.h1<k>,0.0058696526
m0->a10.h1<v>,0.017452074
m0->a10.h2<v>,0.014828986
m0->a10.h3<v>,0.00903552
m0->a10.h4<v>,0.033858147
m0->a10.h5<v>,0.021677215
m0->a10.h6<v>,-0.007904869
m0->a10.h7<v>,-0.040047918
m0->a10.h8<v>,0.035512224
m0->a10.h9<v>,-0.018495636
m0->a10.h10<v>,-0.010366612
m0->a10.h11<v>,0.022711908
m2->a10.h2<v>,0.005524603
m2->a10.h4<v>,-0.0069428096
m2->a10.h9<k>,-0.009014644
m2->a10.h9<v>,-0.013802364
a0.h5->m10,0.0068399273
a0.h9->m10,0.0053914143
m0->m10,0.071941495
a9.h11->m10,0.0062668077
m9->m10,0.008950129
a10.h5->m10,0.007220362
a10.h8->m10,0.006083323
m0->a11.h1<v>,-0.024677707
m0->a11.h2<v>,-0.013544704
m0->a11.h3<v>,0.010382122
m0->a11.h4<k>,-0.0064164787
m0->a11.h5<v>,0.01579839
m0->a11.h6<v>,0.010784535
m0->a11.h7<v>,-0.014325416
m0->a11.h8<v>,0.008080451
m0->a11.h9<v>,0.06952188
m0->a11.h10<v>,-0.027718002
m0->a11.h11<v>,-0.038607053
m2->a11.h8<v>,-0.0060812035
a6.h10->a11.h8<v>,0.0053501865
a9.h11->a11.h8<v>,0.007666487
m10->a11.h0<v>,0.0053063505
input->m11,0.00652243
a0.h1->m11,0.010669073
a0.h2->m11,-0.0053240326
a0.h5->m11,0.017394863
a0.h6->m11,-0.011238371
a0.h8->m11,-0.02647138
a0.h9->m11,0.014102574
m0->m11,0.15786687
a1.h0->m11,0.00709955
a1.h9->m11,0.011931462
m1->m11,-0.0062907725
a2.h11->m11,-0.006539858
m2->m11,0.15084481
m3->m11,0.0056799506
m4->m11,0.02714496
a5.h1->m11,-0.009437435
a5.h3->m11,-0.007611524
a5.h8->m11,0.0058342707
m5->m11,0.020480378
a6.h2->m11,0.01803521
a6.h5->m11,0.008441667
a6.h6->m11,-0.008968832
a6.h10->m11,0.006397656
m6->m11,0.0149596725
a7.h4->m11,-0.0073288474
a7.h7->m11,0.005232254
m7->m11,-0.0064214687
a8.h3->m11,0.0061210277
