edge,score
input->a0.h3<q>,0.436
input->a0.h15<q>,-3.2
input->a0.h19<q>,0.8916
input->a0.h21<q>,0.39
input->a0.h24<q>,-0.4062
input->a0.h25<q>,1.956
input->a0.h25<k>,0.5063
m1->a2.h0<q>,0.5737
m1->a2.h0<k>,-0.8735
m1->a2.h2<q>,-0.828
m1->a2.h2<k>,3.082
m1->a2.h3<q>,0.579
m1->a2.h5<q>,0.8203
m1->a2.h5<k>,1.914
m1->a2.h8<k>,0.673
m1->a2.h11<q>,-1.084
m1->a2.h13<q>,-0.9287
m1->a2.h13<k>,2.066
m1->a2.h15<q>,3.584
m1->a2.h15<k>,0.484
m1->a2.h16<q>,1.41
m1->a2.h16<k>,-2.283
m1->a2.h17<k>,-1.995
m1->a2.h18<k>,1.093
m1->a2.h19<k>,-0.379
m1->a2.h20<q>,0.5405
m1->a2.h22<q>,2.117
m1->a2.h22<k>,-4.46
m1->a2.h23<q>,-0.728
m1->a2.h23<k>,0.455
m1->a2.h24<q>,1.234
m1->a2.h24<k>,-2.096
m1->a2.h25<q>,-1.717
m1->a2.h26<q>,-2.076
m1->a2.h27<k>,-0.4558
m1->a2.h29<k>,-1.068
m1->a2.h30<q>,-0.7866
m1->a2.h30<k>,0.9834
m1->a2.h31<q>,0.634
m1->m2,-1.758
m1->a3.h2<q>,1.254
m1->a3.h2<k>,-0.9717
m1->a3.h3<k>,0.543
m1->a3.h6<q>,0.7783
m1->a3.h6<k>,0.84
m1->a3.h8<q>,-0.5234
m1->a3.h12<q>,0.8174
m1->a3.h12<k>,-1.354
m1->a3.h13<q>,-0.3853
m1->a3.h14<q>,0.4106
m1->a3.h14<k>,0.476
m1->a3.h15<q>,1.092
m1->a3.h17<q>,-1.092
m1->a3.h19<k>,2.371
m1->a3.h20<q>,-0.999
m1->a3.h21<k>,0.459
m1->a3.h23<q>,1.521
m1->a3.h23<k>,-1.641
m1->a3.h25<q>,2.57
m1->a3.h26<k>,-3.379
m1->a3.h26<v>,0.4336
m1->a3.h27<q>,-3.527
m1->a3.h27<k>,-0.8306
m1->a3.h28<q>,0.6953
m1->a3.h28<k>,-0.4917
m1->a3.h30<q>,0.474
m1->m3,8.44
m1->a4.h0<q>,-0.6885
m1->a4.h1<q>,2.363
m1->a4.h2<q>,0.606
m1->a4.h2<k>,0.878
m1->a4.h5<q>,1.648
m1->a4.h5<k>,2.035
m1->a4.h6<q>,0.461
m1->a4.h7<q>,1.849
m1->a4.h7<k>,-1.058
m1->a4.h8<q>,0.594
m1->a4.h10<q>,-0.7104
m1->a4.h10<k>,0.4946
m1->a4.h12<q>,1.428
m1->a4.h14<q>,-0.601
m1->a4.h14<k>,0.6216
m1->a4.h17<q>,5.484
m1->a4.h18<q>,0.714
m1->a4.h18<k>,-0.5684
m1->a4.h21<q>,-6.23
m1->a4.h21<k>,-2.182
m1->a4.h22<k>,-0.606
m1->a4.h24<q>,1.226
m1->a4.h26<k>,0.719
m1->a4.h27<k>,0.6353
m1->m4,-6.793
m1->a5.h0<q>,-2.203
m1->a5.h1<q>,-0.6763
m1->a5.h1<k>,0.399
m1->a5.h3<k>,0.546
m1->a5.h4<q>,2.846
m1->a5.h8<q>,-0.807
m1->a5.h9<q>,-0.7207
m1->a5.h9<k>,0.791
m1->a5.h10<q>,4.305
m1->a5.h12<q>,2.918
m1->a5.h13<k>,-0.4
m1->a5.h14<q>,-0.6084
m1->a5.h14<k>,0.4375
m1->a5.h15<v>,0.6084
m1->a5.h16<q>,1.939
m1->a5.h16<k>,-0.4055
m1->a5.h17<q>,-3.7
m1->a5.h17<k>,3.447
m1->a5.h18<q>,0.721
m1->a5.h18<k>,-0.858
m1->a5.h19<q>,0.6025
m1->a5.h20<q>,-0.4292
m1->a5.h22<q>,0.966
m1->a5.h23<q>,0.583
m1->a5.h24<q>,0.6387
m1->a5.h28<q>,-1.764
m1->a5.h28<k>,1.077
m1->a5.h30<q>,-0.438
m1->a5.h31<q>,-1.522
m1->a5.h31<k>,0.9854
m1->m5,-3.469
m1->a6.h0<k>,0.733
m1->a6.h1<q>,-3.598
m1->a6.h5<q>,0.464
m1->a6.h5<k>,-0.4329
m1->a6.h6<q>,7.867
m1->a6.h8<q>,0.798
m1->a6.h11<k>,-0.384
m1->a6.h13<q>,-4.695
m1->a6.h13<k>,0.6406
m1->a6.h14<q>,-1.5205
m1->a6.h14<k>,-0.3948
m1->a6.h15<q>,-1.146
m1->a6.h15<k>,2.12
m1->a6.h15<v>,-0.3962
m1->a6.h18<q>,0.9976
m1->a6.h24<q>,0.524
m1->a6.h26<q>,0.3774
m1->a6.h26<k>,-0.3643
m1->a6.h27<q>,-1.291
m1->a6.h27<k>,0.907
m1->a6.h28<q>,-0.512
m1->a6.h30<k>,3.453
m1->a6.h31<q>,0.3591
m1->m6,3.127
m1->a7.h0<q>,1.783
m1->a7.h0<k>,-0.463
m1->a7.h1<q>,0.429
m1->a7.h2<q>,2.166
m1->a7.h3<q>,-0.4604
m1->a7.h5<q>,0.57
m1->a7.h5<k>,-0.987
m1->a7.h7<q>,2.227
m1->a7.h7<k>,-1.576
m1->a7.h7<v>,0.6807
m1->a7.h9<q>,1.221
m1->a7.h9<k>,0.5015
m1->a7.h13<q>,-1.614
m1->a7.h13<k>,0.718
m1->a7.h17<q>,0.664
m1->a7.h18<q>,0.3892
m1->a7.h20<q>,-0.745
m1->a7.h21<q>,-3.918
m1->a7.h21<k>,0.788
m1->a7.h25<q>,-7.207
m1->a7.h26<q>,0.7075
m1->a7.h26<k>,-0.535
m1->a7.h29<q>,0.3826
m1->a7.h29<k>,-0.44
m1->a7.h31<q>,-0.6426
m1->a7.h31<k>,1.197
m1->m7,-5.133
m1->a8.h1<k>,0.4468
m1->a8.h3<q>,-0.726
m1->a8.h3<k>,0.5205
m1->a8.h4<k>,-0.4968
m1->a8.h5<k>,1.177
m1->a8.h6<q>,-1.223
m1->a8.h7<q>,1.083
m1->a8.h8<q>,1.768
m1->a8.h8<k>,0.3696
m1->a8.h9<q>,-0.921
m1->a8.h9<k>,0.4478
m1->a8.h10<q>,-0.7466
m1->a8.h11<q>,1.989
m1->a8.h13<q>,0.4624
m1->a8.h16<q>,2.328
m1->a8.h18<q>,3.297
m1->a8.h18<k>,-2.564
m1->a8.h21<q>,0.796
m1->a8.h21<k>,-1.04
m1->a8.h22<q>,0.547
m1->a8.h22<k>,0.8604
m1->a8.h23<q>,1.205
m1->a8.h23<k>,-0.605
m1->a8.h24<q>,0.9336
m1->a8.h24<k>,1.463
m1->a8.h25<k>,-2.363
m1->a8.h26<k>,1.241
m1->a8.h27<q>,0.789
m1->a8.h28<q>,-1.268
m1->a8.h28<k>,0.461
m1->a8.h29<q>,-0.4087
m1->a8.h31<q>,-1.885
m1->a8.h31<k>,1.622
m1->m8,-2.287
m1->a9.h1<q>,-3.645
m1->a9.h1<k>,3.365
m1->a9.h3<k>,0.8604
m1->a9.h4<q>,1.836
m1->a9.h4<k>,-1.412
m1->a9.h4<v>,0.478
m1->a9.h5<q>,0.4324
m1->a9.h6<q>,-0.599
m1->a9.h11<q>,0.4028
m1->a9.h12<q>,1.468
m1->a9.h13<q>,-0.4277
m1->a9.h16<k>,0.4224
m1->a9.h17<q>,0.853
m1->a9.h19<k>,-0.3647
m1->a9.h21<q>,0.377
m1->a9.h23<k>,-0.6206
m1->a9.h27<q>,-0.4167
m1->m9,-0.876
m1->a10.h2<q>,-0.5283
m1->a10.h3<q>,-1.238
m1->a10.h5<q>,-0.68
m1->a10.h6<q>,-0.585
m1->a10.h7<q>,-0.4778
m1->a10.h8<q>,1.538
m1->a10.h9<q>,-0.6494
m1->a10.h11<q>,1.807
m1->a10.h12<q>,0.507
m1->a10.h14<q>,-0.774
m1->a10.h15<q>,1.06
m1->a10.h17<q>,1.02
m1->a10.h20<q>,-1.592
m1->a10.h23<q>,-0.7285
m1->a10.h27<q>,-0.9946
m1->a10.h31<q>,0.4895
m1->m10,-1.193
m7->m10,-0.3716
m9->m10,-0.4126
m1->a11.h1<q>,0.464
m1->a11.h6<q>,-0.5347
m1->a11.h8<q>,-0.4824
m1->a11.h9<q>,-0.6885
m1->a11.h9<k>,0.5376
m1->a11.h11<q>,-0.754
m1->a11.h12<q>,3.922
m1->a11.h17<k>,-0.9893
m1->a11.h22<k>,0.6504
m1->a11.h23<q>,1.24
m1->a11.h29<q>,-0.6616
m1->a11.h30<q>,0.6885
m1->a11.h31<q>,0.575
m1->a12.h4<k>,0.557
m1->a12.h5<q>,-0.4348
m1->a12.h6<q>,0.4116
m1->a12.h10<q>,0.519
m1->a12.h14<q>,-1.328
m1->a12.h17<q>,1.135
m1->a12.h18<q>,-1.059
m1->a12.h20<q>,2.7
m1->a12.h20<k>,-0.8477
m1->a12.h21<q>,-0.534
m1->a12.h21<k>,0.3706
m1->a12.h22<q>,0.4636
m1->a12.h24<q>,0.688
m1->a12.h25<k>,0.5977
m1->a12.h26<q>,-0.4407
m1->a12.h29<q>,-1.396
m1->a12.h31<q>,0.628
m1->m12,-0.943
m1->a13.h3<q>,0.552
m1->a13.h10<q>,1.107
m1->a13.h11<q>,-0.867
m1->a13.h11<k>,1.5625
m1->a13.h12<q>,-0.536
m1->a13.h17<q>,-1.2705
m1->a13.h22<q>,0.965
m1->a13.h29<q>,-0.727
m1->a13.h31<q>,0.5063
m1->a13.h31<k>,-0.849
m1->m13,-1.713
m1->a14.h0<q>,0.9165
m1->a14.h0<k>,-0.7437
m1->a14.h0<v>,0.5156
m1->a14.h7<q>,0.654
m1->a14.h9<q>,-0.868
m1->a14.h9<k>,0.84
m1->a14.h10<q>,-1.525
m1->a14.h16<q>,-0.3872
m1->a14.h18<k>,-0.4973
m1->a14.h20<k>,0.4387
m1->a14.h25<q>,-1.93
m1->a14.h25<k>,0.725
m1->a14.h27<q>,0.5205
m1->a14.h30<q>,-1.912
m1->m14,0.7915
m1->a15.h3<q>,0.9697
m1->a15.h3<k>,-0.616
m1->a15.h6<q>,11.766
m1->a15.h6<k>,-0.4517
m1->a15.h7<q>,2.656
m1->a15.h9<q>,-0.751
m1->a15.h11<q>,-0.8467
m1->a15.h14<q>,0.9033
m1->a15.h16<q>,-0.452
m1->a15.h17<q>,-0.6025
m1->a15.h21<q>,-0.433
m1->a15.h24<q>,-1.449
m1->a15.h26<q>,1.107
m1->a15.h26<k>,-0.879
m1->a15.h27<q>,-0.521
m1->a15.h28<q>,-1.12
m1->a15.h30<q>,-0.4175
m1->m15,-0.9634
m1->a16.h5<q>,-0.953
m1->a16.h6<q>,1.061
m1->a16.h6<k>,0.4038
m1->a16.h7<q>,3.428
m1->a16.h10<q>,1.977
m1->a16.h15<q>,-0.371
m1->a16.h21<q>,-0.4946
m1->a16.h21<k>,0.4968
m1->a16.h22<q>,0.452
m1->a16.h28<q>,-1.2295
m1->m16,-1.7295
m1->a17.h0<k>,0.4702
m1->a17.h3<q>,0.702
m1->a17.h3<k>,-0.3867
m1->a17.h6<q>,-0.5166
m1->a17.h8<q>,-0.742
m1->a17.h12<q>,1.125
m1->a17.h14<q>,1.7705
m1->a17.h14<k>,-1.257
m1->a17.h24<q>,-0.377
m1->a17.h28<q>,0.9736
m1->a17.h30<q>,-1.038
m1->a18.h2<q>,-1.961
m1->a18.h5<q>,-1.201
m1->a18.h9<q>,0.6147
m1->a18.h12<q>,0.3716
m1->a18.h13<q>,0.5693
m1->a18.h13<k>,-0.3936
m1->a18.h21<q>,-0.7573
