edge,score
input->a0.h1<q>,0.008405795
input->a0.h3<q>,-0.0023192838
input->a0.h6<q>,-0.001997421
input->a0.h16<q>,-0.0019368089
input->a0.h23<q>,0.0021480653
input->m0,-0.035707284
a0.h1->m0,-0.028254755
a0.h2->m0,0.005482432
a0.h3->m0,-0.0023207823
a0.h4->m0,0.0064095184
a0.h5->m0,-0.00683253
a0.h6->m0,0.023361634
a0.h7->m0,-0.00659564
a0.h8->m0,-0.004410322
a0.h9->m0,-0.019949017
a0.h10->m0,-0.021336388
a0.h11->m0,-0.00547884
a0.h12->m0,0.011804696
a0.h13->m0,-0.016505117
a0.h14->m0,0.0025399127
a0.h15->m0,0.0066860295
a0.h16->m0,-0.014153192
a0.h17->m0,-0.014799901
a0.h18->m0,0.005750639
a0.h19->m0,-0.0042833
a0.h20->m0,-0.005601385
a0.h21->m0,-0.0063818716
a0.h22->m0,-0.006154133
a0.h23->m0,0.005850688
a0.h24->m0,-0.0047018784
a0.h25->m0,-0.0051477957
a0.h28->m0,-0.0053391056
a0.h30->m0,-0.034067288
input->a1.h2<q>,0.0019266533
input->a1.h21<q>,-0.0022780048
input->a1.h30<q>,-0.0028094517
m0->a1.h0<q>,0.012899335
m0->a1.h1<q>,0.0071755378
m0->a1.h2<q>,0.010886125
m0->a1.h3<q>,0.0058862357
m0->a1.h5<q>,-0.008504279
m0->a1.h6<q>,0.0020885158
m0->a1.h12<q>,0.0040333043
m0->a1.h13<q>,0.0049319617
m0->a1.h14<q>,0.003899917
m0->a1.h15<q>,0.0043446356
m0->a1.h16<q>,-0.004913685
m0->a1.h19<q>,-0.0061595384
m0->a1.h20<q>,-0.008252456
m0->a1.h21<q>,-0.010240158
m0->a1.h22<q>,0.006438108
m0->a1.h23<q>,0.0036006672
m0->a1.h29<q>,0.0036910267
m0->a1.h30<q>,-0.0075444905
input->m1,0.0047312137
m0->m1,0.0030001246
a1.h4->m1,-0.0031257325
a1.h5->m1,0.0020095597
a1.h9->m1,-0.0025621676
a1.h16->m1,-0.020980453
m0->a2.h2<q>,-0.0023455892
m0->a2.h9<q>,0.002722162
m0->a2.h20<q>,0.0054660183
m0->a2.h22<q>,0.0022264407
m0->a2.h31<q>,0.0067838137
a1.h16->a2.h7<q>,0.0024908963
a1.h16->a2.h28<q>,-0.0018765669
m0->m2,0.010181812
a1.h1->m2,0.0028313792
a1.h10->m2,0.003092339
a1.h17->m2,0.0024128603
a1.h18->m2,0.002489385
a1.h24->m2,0.0024235453
a1.h25->m2,0.0018860007
a1.h30->m2,0.0034804025
m1->m2,-0.004441934
a2.h7->m2,0.0035167683
a2.h8->m2,0.003898715
a2.h12->m2,0.0022650065
a2.h21->m2,-0.004208506
a2.h25->m2,-0.0023588447
m0->a3.h24<q>,-0.0020233504
a2.h7->a3.h7<q>,0.0020332707
a2.h7->a3.h24<q>,0.0019164055
input->m3,0.0019026574
m0->m3,0.0062053744
a1.h5->m3,0.0021285743
m1->m3,-0.0030243131
a2.h0->m3,-0.0018431459
a2.h21->m3,-0.0026993246
a2.h25->m3,-0.0023706453
a2.h31->m3,0.0024154608
m2->m3,0.002477491
a3.h5->m3,-0.0023957337
a3.h9->m3,0.0026009455
a3.h17->m3,-0.005024929
a3.h19->m3,0.0019712585
a3.h29->m3,0.0020758423
a2.h7->a4.h25<q>,-0.002413666
input->m4,0.0018161972
m0->m4,0.00522179
a3.h17->m4,-0.0029141824
a3.h29->m4,0.0020826005
a4.h12->m4,-0.0022244977
a4.h26->m4,0.0025824623
a4.h27->m4,0.0024874092
a2.h7->a5.h12<q>,0.0019997472
a3.h8->a5.h12<q>,-0.0019572226
a3.h17->a5.h12<q>,-0.0029400082
a4.h24->a5.h2<q>,-0.0019722185
a4.h25->a5.h12<q>,-0.0023241607
input->m5,0.002157985
m0->m5,0.0050187176
m1->m5,-0.004434978
a4.h24->m5,-0.0036845657
a4.h26->m5,0.0023495054
a5.h12->m5,-0.0030367959
a5.h13->m5,-0.0019624864
a5.h15->m5,0.0035868483
a5.h29->m5,-0.0027219625
m0->m6,0.004188384
a5.h12->m6,-0.0020107143
a5.h13->m6,-0.0026183992
a6.h22->m6,-0.0026501336
a6.h23->m6,0.002739684
m0->m7,0.005372254
m1->m7,-0.0051147575
a4.h24->m7,-0.0018141413
a5.h12->m7,-0.0018643244
a5.h13->m7,-0.0020373713
a5.h15->m7,0.0021154638
m0->m8,0.003613232
a1.h20->m8,-0.0026066622
m1->m8,-0.005102302
a2.h31->m8,-0.0019703358
a3.h26->m8,-0.0024898236
a4.h12->m8,-0.0018794124
a5.h12->m8,-0.0020120337
a5.h13->m8,-0.00438436
a5.h15->m8,0.0018445979
a6.h23->m8,0.002141677
a8.h9->m8,0.0030648191
a8.h11->m8,0.0039637727
m0->m9,0.004240315
m1->m9,-0.003549523
a4.h24->m9,-0.001850329
a5.h13->m9,-0.002114861
a6.h23->m9,0.0023966068
a8.h11->m9,0.004027575
a9.h14->m9,0.002786697
a9.h20->m9,-0.0032607196
a9.h22->m9,0.0019306205
m0->m10,0.0021310267
m1->m10,-0.0032967662
a4.h24->m10,-0.0025090661
a5.h15->m10,0.0018680939
