edge,score
input->a0.h0<q>,0.1644538
input->a0.h3<q>,-0.22597757
input->a0.h4<q>,-0.15374109
input->a0.h5<q>,0.22355388
input->a0.h10<q>,-0.16456652
input->a0.h18<q>,0.19003232
input->a0.h22<q>,-0.12548164
input->a0.h24<q>,-0.3275151
input->a0.h26<q>,0.7830163
input->a0.h30<q>,0.5651044
input->a0.h31<q>,-0.67593884
input->m0,1.9183922
a0.h14->m0,0.16309398
a0.h19->m0,0.12864219
a0.h29->m0,-0.32369682
input->a1.h9<q>,0.16808714
input->a1.h23<q>,-0.6477679
input->a1.h29<q>,-0.16511017
input->m1,1.6305116
a0.h2->m1,0.1780352
a0.h3->m1,-0.33446953
a0.h4->m1,0.13893297
a0.h5->m1,-0.29267472
a0.h7->m1,0.21143757
a0.h9->m1,-0.18332264
a0.h12->m1,0.22565237
a0.h13->m1,-0.60610497
a0.h14->m1,0.33184567
a0.h18->m1,-0.19038813
a0.h19->m1,0.18861029
a0.h20->m1,0.3072965
a0.h22->m1,-0.12616692
a0.h23->m1,-0.20581064
a0.h26->m1,-0.12789895
a0.h28->m1,-0.44120657
a0.h29->m1,-1.1213273
a0.h30->m1,-0.1336224
a1.h0->m1,-0.19696203
a1.h1->m1,0.3507459
a1.h2->m1,-0.24959198
a1.h4->m1,0.20557249
a1.h5->m1,-0.1851646
a1.h7->m1,-0.40854788
a1.h8->m1,-1.2653701
a1.h9->m1,0.7703204
a1.h10->m1,0.9299333
a1.h11->m1,-1.2983595
a1.h13->m1,0.3974732
a1.h14->m1,0.19120954
a1.h15->m1,-0.43624428
a1.h16->m1,-0.15029256
a1.h18->m1,-0.12872306
a1.h19->m1,0.29557103
a1.h21->m1,-0.21413197
a1.h24->m1,0.16420037
a1.h25->m1,-0.32158554
a1.h26->m1,0.25758448
a1.h27->m1,0.280851
a1.h28->m1,3.5792952
a1.h29->m1,-2.6708748
a1.h30->m1,1.4750023
a1.h31->m1,-3.1706738
input->a2.h5<q>,0.14912888
input->a2.h6<q>,-0.15172477
input->a2.h27<q>,-0.17763005
input->m2,0.9964897
a0.h3->m2,-0.13861482
a1.h6->m2,0.1981894
a1.h7->m2,-0.15904768
a1.h19->m2,0.16571625
a1.h27->m2,0.16687019
a1.h29->m2,0.14042394
m1->m2,0.6968976
a2.h0->m2,0.29455104
a2.h1->m2,0.23061231
a2.h2->m2,0.29698658
a2.h5->m2,-0.13133731
a2.h8->m2,0.2583224
a2.h9->m2,0.27478468
a2.h10->m2,0.17053382
a2.h11->m2,0.22247733
a2.h12->m2,-0.22322059
a2.h14->m2,-0.2469507
a2.h15->m2,-0.18589528
a2.h16->m2,-0.23031075
a2.h17->m2,0.47994485
a2.h19->m2,-0.65101653
a2.h22->m2,-0.35291475
a2.h23->m2,0.4765865
a2.h24->m2,0.16157958
a2.h27->m2,0.16800302
input->m3,0.50556517
a1.h28->m3,-0.21516986
a1.h29->m3,0.18329498
a1.h31->m3,0.12623847
a2.h0->m3,0.19960912
a2.h8->m3,0.18656403
a2.h11->m3,0.17916799
a2.h12->m3,-0.16954738
a2.h15->m3,-0.12940775
a2.h17->m3,0.14859685
a2.h18->m3,-0.13934243
a2.h23->m3,0.4042287
a2.h27->m3,-0.175121
m2->m3,0.31277388
a3.h1->m3,0.21207647
a3.h4->m3,0.18454957
a3.h20->m3,0.17946531
a3.h21->m3,-0.24361579
a3.h22->m3,-0.15505809
a3.h23->m3,0.21597482
a3.h29->m3,0.36946383
a3.h30->m3,-0.24879879
a3.h31->m3,-0.12755974
input->m4,0.4352401
a2.h3->m4,0.18195806
a2.h22->m4,-0.16998479
m2->m4,0.18053041
a3.h4->m4,0.14117284
a4.h2->m4,-0.27302566
a4.h5->m4,0.14365463
a4.h8->m4,-0.18567127
a4.h9->m4,-0.18757671
a4.h10->m4,0.15235093
a4.h11->m4,0.26080206
a4.h16->m4,-0.2246244
a4.h19->m4,0.23069106
a4.h25->m4,-0.15836807
a4.h26->m4,0.19826987
a2.h19->m5,0.15788531
a2.h22->m5,-0.23536886
a5.h11->m5,-0.13051783
a5.h18->m5,-0.14038862
a5.h19->m5,0.24095756
a5.h26->m5,0.18383491
a2.h19->m6,0.16157241
a6.h16->m6,0.16580112
input->m7,-0.1955737
a4.h8->m7,0.13467234
a4.h9->m7,0.13556412
a6.h5->m7,-0.16039756
a7.h9->m7,0.15349661
a7.h22->a8.h20<q>,-0.13066748
input->m8,-0.36553988
a4.h8->m8,0.17244154
a7.h29->m8,-0.19340682
a8.h17->m8,-0.128822
a8.h18->m8,0.15249425
a8.h19->m8,-0.12627828
a8.h27->m8,0.13905235
a8.h28->m8,0.13838767
a8.h30->m8,-0.15558839
input->m9,-0.17042112
m5->m9,0.14511795
a6.h10->m9,0.13321842
a7.h9->m9,0.25203335
m8->m9,-0.1594065
a9.h6->m9,0.18252917
input->m10,-0.22048149
a2.h17->m10,-0.12524143
a3.h20->m10,0.13582443
a3.h28->m10,0.13477238
a6.h30->m10,-0.15297452
a7.h9->m10,0.16885218
a7.h29->m10,-0.21148147
a8.h21->m10,-0.1567151
