edge,score
input->a0.h0<q>,-0.7340734
input->a0.h1<q>,0.07240331
input->a0.h2<q>,0.66520894
input->a0.h3<q>,0.418843
input->a0.h4<q>,0.6642543
input->a0.h5<q>,1.5374913
input->a0.h6<q>,-1.6472051
input->a0.h7<q>,0.18563892
input->a0.h8<q>,0.22465892
input->a0.h9<q>,2.0319304
input->a0.h10<q>,-0.34909445
input->a0.h11<q>,0.26268244
input->a0.h12<q>,1.792733
input->a0.h13<q>,-7.585966
input->a0.h14<q>,0.5674458
input->a0.h15<q>,-1.7378278
input->a0.h16<q>,-2.8053055
input->a0.h17<q>,-1.4869131
input->a0.h18<q>,3.9980135
input->a0.h19<q>,0.31984752
input->a0.h20<q>,-2.0288467
input->a0.h21<q>,1.2934469
input->a0.h22<q>,0.048208464
input->a0.h23<q>,-0.83547676
input->a0.h24<q>,0.89175105
input->a0.h25<q>,-2.9938157
input->a0.h26<q>,-0.9080569
input->a0.h28<q>,-2.6129608
input->a0.h29<q>,-4.4402404
input->a0.h30<q>,-2.419584
input->a0.h31<q>,-2.9069104
a0.h0->m0,0.49507913
a0.h1->m0,0.28133872
a0.h2->m0,0.6225456
a0.h3->m0,0.44229072
a0.h4->m0,-0.8048048
a0.h5->m0,-0.12086203
a0.h6->m0,-0.7902565
a0.h7->m0,0.107605025
a0.h8->m0,0.12360513
a0.h9->m0,-0.15537865
a0.h10->m0,-1.4649953
a0.h11->m0,0.48422632
a0.h12->m0,-0.21812518
a0.h13->m0,-0.34498614
a0.h14->m0,0.3818039
a0.h17->m0,2.0751297
a0.h18->m0,-1.7034525
a0.h19->m0,-0.08064155
a0.h20->m0,0.13822788
a0.h21->m0,0.52885175
a0.h22->m0,1.1924635
a0.h23->m0,-1.0468482
a0.h24->m0,-0.74032956
a0.h25->m0,0.14974423
a0.h26->m0,1.2985785
a0.h27->m0,-0.8753059
a0.h28->m0,-0.08427345
a0.h29->m0,-0.50228524
a0.h30->m0,-0.5173475
a0.h31->m0,2.3290076
a0.h6->a1.h1<q>,-0.045542963
a0.h9->a1.h1<q>,-0.038442604
a0.h16->a1.h1<q>,0.044661257
a0.h17->a1.h1<q>,0.038535923
a0.h29->a1.h1<q>,-0.03482489
m0->a1.h1<q>,-0.6339013
m0->a1.h2<q>,0.07548019
m0->a1.h3<q>,0.028064968
m0->a1.h7<q>,-0.060113944
m0->a1.h9<q>,0.08226742
m0->a1.h10<q>,-0.14073673
m0->a1.h11<q>,-0.08349313
m0->a1.h13<q>,0.05164451
m0->a1.h19<q>,0.03354764
m0->a1.h21<q>,0.3205885
m0->a1.h23<q>,-0.0508014
m0->a2.h0<q>,0.055653717
m0->a2.h1<q>,-0.030690646
m0->a2.h2<q>,-0.15978979
m0->a2.h3<q>,-0.055885814
m0->a2.h5<q>,-0.05629893
m0->a2.h6<q>,0.11148793
m0->a2.h7<q>,-0.122276306
m0->a2.h12<q>,0.035169285
m0->a2.h13<q>,-0.0382664
m0->a2.h14<q>,-0.054125637
m0->a2.h16<q>,-0.03880087
m0->a2.h17<q>,0.062316343
m0->a2.h18<q>,0.10056942
m0->a2.h19<q>,-0.13324478
m0->a2.h20<q>,-0.11530444
m0->a2.h21<q>,0.1364794
m0->a2.h22<q>,0.057700843
m0->a2.h23<q>,-0.050319962
m0->a2.h26<q>,-0.029709568
m0->a2.h27<q>,-0.041788466
m0->a2.h28<q>,0.1744472
m0->a2.h29<q>,-0.49293503
m0->a2.h30<q>,0.027238054
m0->a2.h31<q>,0.08024515
m0->m2,0.2199094
m1->m2,-0.028989626
a0.h18->a3.h28<q>,-0.03127155
m0->a3.h5<q>,0.056648757
m0->a3.h7<q>,0.03218361
m0->a3.h9<q>,0.030830307
m0->a3.h10<q>,0.06500213
m0->a3.h11<q>,-0.027069205
m0->a3.h12<q>,0.039677955
m0->a3.h16<q>,-0.033357784
m0->a3.h17<q>,-0.044698775
m0->a3.h18<q>,-0.07248597
m0->a3.h20<q>,0.032236192
m0->a3.h23<q>,-0.09808043
m0->a3.h26<q>,-0.12281047
m0->a3.h28<q>,-0.10331041
m0->a3.h29<q>,-0.086606406
m0->a3.h30<q>,0.10392439
m0->a3.h31<q>,-0.039649647
m1->a3.h29<q>,0.028223637
m0->m3,-0.43321425
m2->m3,-0.028039224
a0.h15->a4.h15<q>,-0.025897112
a0.h19->a4.h12<q>,0.027616834
a0.h23->a4.h13<q>,0.034000352
m0->a4.h1<q>,-0.060847502
m0->a4.h4<q>,-0.07850618
m0->a4.h6<q>,-0.030243797
m0->a4.h7<q>,-0.054781865
m0->a4.h8<q>,-0.28573218
m0->a4.h9<q>,-0.08112137
m0->a4.h11<q>,0.2844909
m0->a4.h13<q>,-0.23134002
m0->a4.h14<q>,0.55029887
