edge,score
input->a0.h1<q>,0.006439209
input->a0.h2<q>,0.01953125
input->a0.h4<q>,0.014038086
input->a0.h5<q>,0.011230469
input->a0.h8<q>,0.008178711
input->a0.h9<q>,-0.006652832
input->a0.h10<q>,0.013305664
input->a0.h13<q>,0.011352539
input->a0.h14<q>,0.01373291
input->a0.h18<q>,0.010314941
input->a0.h22<q>,0.006866455
input->a0.h23<q>,-0.0074157715
input->a0.h25<q>,0.016357422
input->a0.h27<q>,0.038330078
input->a0.h28<q>,-0.014709473
input->a0.h29<q>,-0.14257812
input->a0.h30<q>,0.041503906
input->a0.h31<q>,0.78125
input->m0,-1.546875
a0.h2->m0,-0.0077819824
a0.h3->m0,-0.012084961
a0.h8->m0,-0.006958008
a0.h13->m0,0.021606445
a0.h14->m0,-0.01940918
a0.h24->m0,-0.00680542
a0.h28->m0,0.037109375
a0.h29->m0,-0.015014648
a0.h31->m0,-0.13476562
input->a1.h0<q>,-0.01171875
input->a1.h10<q>,0.0066833496
input->a1.h11<q>,0.011657715
input->a1.h23<q>,0.01977539
input->a1.h25<q>,0.009033203
input->a1.h28<q>,0.012817383
input->a1.h29<q>,0.053710938
input->a1.h30<q>,-0.07714844
input->a1.h31<q>,0.10107422
a0.h31->a1.h29<q>,0.0072021484
a0.h31->a1.h31<q>,0.006652832
m0->a1.h28<q>,-0.024414062
m0->a1.h30<q>,-0.022460938
m0->a1.h31<q>,0.00982666
input->m1,-3.265625
a0.h3->m1,0.0115356445
a0.h4->m1,-0.010803223
a0.h8->m1,-0.00970459
a0.h9->m1,0.055908203
a0.h10->m1,0.008117676
a0.h12->m1,0.011352539
a0.h13->m1,-0.009887695
a0.h17->m1,0.00793457
a0.h18->m1,-0.018676758
a0.h19->m1,-0.022705078
a0.h20->m1,0.007659912
a0.h21->m1,0.01171875
a0.h22->m1,-0.009765625
a0.h23->m1,-0.011169434
a0.h25->m1,0.006713867
a0.h26->m1,0.007080078
a0.h28->m1,-0.0065612793
a0.h29->m1,0.038085938
a0.h30->m1,0.038330078
a0.h31->m1,-0.2578125
m0->m1,0.5859375
a1.h1->m1,-0.025634766
a1.h4->m1,0.012573242
a1.h8->m1,-0.037597656
a1.h9->m1,0.055664062
a1.h10->m1,0.0115356445
a1.h12->m1,0.009887695
a1.h15->m1,-0.021728516
a1.h19->m1,0.010070801
a1.h20->m1,-0.010131836
a1.h21->m1,-0.027709961
a1.h23->m1,0.020751953
a1.h25->m1,-0.014038086
a1.h26->m1,0.00982666
a1.h27->m1,-0.007873535
a1.h28->m1,0.010803223
a1.h29->m1,-0.095214844
a1.h30->m1,-0.0138549805
a1.h31->m1,-0.016845703
input->m2,-0.007659912
a1.h14->m2,0.008605957
a1.h15->m2,-0.0064697266
a1.h16->m2,0.0072631836
a1.h24->m2,-0.007537842
a1.h25->m2,0.0072631836
a1.h27->m2,-0.007019043
a1.h29->m2,-0.008117676
a1.h31->m2,0.00982666
m1->m2,-0.024658203
a2.h0->m2,-0.012939453
a2.h5->m2,-0.015991211
a2.h8->m2,0.008056641
a2.h11->m2,-0.009460449
a2.h15->m2,-0.0064697266
a2.h16->m2,-0.010681152
a2.h18->m2,0.0095825195
a2.h20->m2,0.0072021484
a2.h28->m2,-0.010925293
a2.h30->m2,0.0066833496
input->m3,-0.019897461
a1.h14->m3,0.0064697266
m1->m3,0.010925293
a2.h6->m3,-0.0087890625
a2.h8->m3,-0.0065307617
a2.h10->m3,0.0073547363
a2.h11->m3,-0.009765625
a2.h22->m3,0.010498047
a2.h23->m3,-0.0067443848
m2->m3,0.007537842
a3.h0->m3,0.0067443848
a3.h1->m3,-0.009399414
a3.h2->m3,0.006652832
a3.h4->m3,-0.00982666
a3.h19->m3,-0.009521484
a3.h22->m3,0.007507324
a3.h23->m3,-0.0234375
a3.h26->m3,-0.008422852
a3.h29->m3,-0.0119018555
input->m4,-0.009216309
m1->m4,0.013916016
a3.h4->m4,-0.013916016
a3.h22->m4,-0.0099487305
a3.h23->m4,0.010314941
a4.h0->m4,0.009277344
a4.h3->m4,-0.010131836
a4.h7->m4,0.007293701
a4.h8->m4,0.0072021484
a4.h10->m4,-0.0077819824
a4.h22->m4,0.0069885254
a4.h24->m4,0.007659912
a4.h26->m4,-0.015563965
a4.h31->m4,-0.006866455
m1->m5,-0.011474609
a2.h19->m5,0.006652832
a3.h20->m5,0.010498047
a3.h29->m5,-0.0072631836
a4.h0->m5,0.0064697266
a4.h3->m5,-0.007232666
a5.h3->m5,-0.0071105957
a5.h16->m5,0.008972168
a5.h17->m5,0.013122559
a5.h19->m5,-0.026611328
a5.h25->m5,0.0071105957
m1->m6,-0.015136719
a4.h7->m6,-0.006439209
a4.h23->m6,-0.0079956055
a4.h28->m6,0.0077209473
a4.h31->m6,-0.008666992
m4->m6,0.008728027
a5.h9->m6,-0.0065612793
a5.h16->m6,-0.010620117
a5.h19->m6,0.0099487305
a6.h10->m6,0.0066833496
a6.h11->m6,-0.006958008
a6.h12->m6,-0.0064697266
a6.h13->m6,0.007446289
a6.h24->m6,-0.009033203
a4.h27->m7,-0.007232666
a5.h27->m7,-0.010009766
a6.h4->m7,0.012512207
m6->m7,0.00680542
a7.h11->m7,-0.0067443848
a7.h3->m8,0.008728027
a7.h22->m8,0.006713867
input->m9,-0.011108398
a8.h28->m9,0.008361816
m8->m9,0.006958008
a9.h22->m9,-0.0065612793
input->m10,-0.0076293945
m1->m10,0.012084961
a8.h3->m10,-0.0065612793
m9->m10,0.0068359375
input->m11,-0.0071105957
m10->m11,0.007080078
a11.h1->m11,-0.0068359375
m1->m12,-0.012451172
m11->m12,0.010925293
m1->a13.h24<q>,-0.009277344
m1->a13.h25<q>,-0.03466797
m1->a13.h26<q>,-0.01574707
m1->a13.h27<q>,0.01965332
m11->a13.h27<q>,0.006439209
input->m13,-0.06738281
a0.h31->m13,0.009399414
m0->m13,-0.096191406
a1.h8->m13,0.006958008
a1.h28->m13,0.0099487305
a1.h30->m13,0.0068359375
a1.h31->m13,-0.011962891
m1->m13,-0.15527344
a6.h10->m13,-0.006958008
a6.h16->m13,-0.0077819824
a6.h30->m13,-0.0095825195
a7.h20->m13,0.008972168
a7.h22->m13,-0.009399414
a7.h23->m13,-0.008605957
a7.h24->m13,0.0065307617
a7.h25->m13,-0.012939453
a7.h27->m13,0.0079956055
m7->m13,0.0069885254
a8.h1->m13,-0.018798828
a8.h5->m13,0.0065612793
a8.h6->m13,-0.015136719
a8.h10->m13,0.010498047
a8.h16->m13,-0.0069274902
a8.h17->m13,0.012084961
a8.h18->m13,-0.014831543
a8.h19->m13,0.008361816
a8.h22->m13,0.0072021484
a8.h29->m13,0.008972168
a9.h1->m13,0.0065307617
a9.h9->m13,-0.0154418945
a9.h11->m13,-0.007659912
a9.h17->m13,-0.007232666
a9.h18->m13,0.0119018555
a10.h0->m13,-0.006591797
a10.h5->m13,-0.012207031
a10.h6->m13,0.013305664
a10.h8->m13,0.006439209
a10.h11->m13,-0.007537842
a10.h16->m13,0.010314941
a10.h17->m13,-0.008117676
a10.h18->m13,0.006866455
a10.h19->m13,-0.01965332
a10.h22->m13,0.012207031
a10.h27->m13,0.008911133
a10.h29->m13,0.008483887
a11.h0->m13,0.01361084
a11.h12->m13,-0.006958008
a11.h13->m13,0.007507324
a11.h15->m13,-0.0067443848
a11.h16->m13,0.011413574
a11.h18->m13,0.010620117
a11.h25->m13,0.012573242
a11.h27->m13,-0.008666992
a11.h28->m13,-0.007080078
a11.h29->m13,0.020141602
a11.h31->m13,-0.018310547
m11->m13,0.007659912
a12.h5->m13,-0.020141602
a12.h8->m13,-0.032226562
a12.h9->m13,0.012512207
a12.h10->m13,-0.008728027
a12.h16->m13,-0.027832031
a12.h18->m13,0.016967773
a12.h20->m13,-0.016845703
a12.h23->m13,0.025024414
a12.h24->m13,0.018310547
a12.h28->m13,0.009460449
a12.h30->m13,-0.0072021484
a12.h31->m13,-0.010925293
a13.h0->m13,-0.007507324
a13.h1->m13,-0.041992188
a13.h2->m13,-0.0119018555
a13.h3->m13,0.008850098
a13.h4->m13,0.039794922
a13.h5->m13,-0.01965332
a13.h6->m13,-0.04272461
a13.h7->m13,0.018066406
a13.h9->m13,-0.017089844
a13.h11->m13,-0.009643555
a13.h12->m13,0.029541016
a13.h14->m13,-0.020751953
a13.h16->m13,0.015014648
a13.h17->m13,0.034423828
a13.h18->m13,0.023803711
a13.h19->m13,-0.017700195
a13.h22->m13,-0.0234375
a13.h23->m13,0.024047852
a13.h25->m13,-0.036865234
a13.h27->m13,0.0390625
a13.h28->m13,0.016479492
a13.h30->m13,-0.01361084
input->m14,0.115234375
m0->m14,-0.03466797
a1.h28->m14,0.011169434
a1.h31->m14,-0.010681152
m1->m14,0.58203125
a5.h27->m14,0.0067443848
a6.h11->m14,-0.007873535
m6->m14,0.00680542
a7.h2->m14,0.01171875
a7.h3->m14,-0.0067443848
a7.h7->m14,-0.007385254
a7.h11->m14,0.01171875
a8.h4->m14,-0.008300781
a8.h5->m14,-0.007232666
a8.h6->m14,-0.009887695
