edge,score
input->a0.h0<q>,2.265625
input->a0.h1<q>,-4.90625
input->a0.h2<q>,4.375
input->a0.h3<q>,3.15625
input->a0.h4<q>,4.1875
input->a0.h5<q>,-2.578125
input->a0.h6<q>,-1.0
input->a0.h7<q>,2.515625
input->a0.h8<q>,-1.6171875
input->a0.h9<q>,1.6171875
input->a0.h10<q>,-2.765625
input->a0.h11<q>,-0.064941406
input->a0.h12<q>,1.25
input->a0.h13<q>,-4.1875
input->a0.h14<q>,3.015625
input->a0.h15<q>,-2.640625
input->a0.h16<q>,0.095214844
input->a0.h17<q>,0.66015625
input->a0.h18<q>,6.625
input->a0.h19<q>,0.36523438
input->a0.h20<q>,-1.3828125
input->a0.h21<q>,-1.078125
input->a0.h22<q>,1.9375
input->a0.h23<q>,1.7265625
input->a0.h24<q>,2.265625
input->a0.h25<q>,-1.4296875
input->a0.h26<q>,0.98828125
input->a0.h27<q>,0.69140625
input->a0.h28<q>,1.6015625
input->a0.h29<q>,-1.640625
input->a0.h31<q>,2.046875
a0.h1->m0,-1.28125
a0.h2->m0,-0.23144531
a0.h3->m0,0.94140625
a0.h4->m0,0.87890625
a0.h5->m0,-0.74609375
a0.h6->m0,0.5625
a0.h7->m0,1.171875
a0.h8->m0,-0.75
a0.h9->m0,0.06347656
a0.h10->m0,-0.921875
a0.h11->m0,0.15429688
a0.h12->m0,0.33007812
a0.h13->m0,0.055908203
a0.h14->m0,-0.46289062
a0.h15->m0,-0.76171875
a0.h16->m0,-1.078125
a0.h17->m0,-0.38085938
a0.h18->m0,-0.58984375
a0.h19->m0,0.66015625
a0.h20->m0,-1.2421875
a0.h21->m0,0.4921875
a0.h22->m0,1.2265625
a0.h23->m0,-1.59375
a0.h24->m0,-0.75
a0.h25->m0,0.3828125
a0.h26->m0,-1.1796875
a0.h27->m0,-0.43554688
a0.h28->m0,2.0625
a0.h29->m0,1.6796875
a0.h30->m0,0.55859375
a0.h31->m0,0.76171875
a0.h5->a1.h21<q>,-0.029418945
m0->a1.h0<q>,-0.07519531
m0->a1.h1<q>,0.3359375
m0->a1.h2<q>,-0.19335938
m0->a1.h3<q>,-0.040527344
m0->a1.h9<q>,0.068847656
m0->a1.h11<q>,-0.14648438
m0->a1.h12<q>,-0.028930664
m0->a1.h16<q>,0.16210938
m0->a1.h18<q>,0.031982422
m0->a1.h19<q>,-0.03149414
m0->a1.h20<q>,-0.05444336
m0->a1.h21<q>,-0.65625
m0->a1.h23<q>,-0.17871094
m0->m1,0.73828125
a0.h0->a2.h30<q>,-0.034179688
a0.h1->a2.h30<q>,-0.035888672
a0.h3->a2.h19<q>,-0.032714844
