edge,score
input->a0.h3<q>,0.36523438
input->a0.h31<q>,-1.171875
input->m0,-0.69140625
input->m1,0.47265625
a0.h29->m1,-0.30078125
a1.h5->m1,0.35742188
a1.h24->m1,0.28320312
a1.h28->m1,-1.109375
a1.h29->m1,-0.5390625
a1.h31->m1,0.34570312
m1->m2,0.33789062
a2.h6->m2,-0.2890625
a2.h17->m2,0.4609375
a2.h18->m2,-0.4609375
a2.h19->m2,-0.62890625
a2.h24->m2,0.3359375
input->m3,-0.41210938
a2.h2->m3,-0.3515625
a2.h14->m3,0.33984375
a2.h23->m3,0.30078125
a3.h20->m3,0.296875
a3.h27->m3,-0.328125
input->m4,-0.4609375
a2.h20->m4,0.3125
a3.h0->m4,0.3359375
a3.h20->m4,0.34179688
a3.h22->m4,0.32226562
a3.h24->m4,-0.359375
a3.h26->m4,-0.33984375
a4.h26->m4,-0.27929688
input->m5,-0.46484375
a2.h20->m5,0.31445312
a2.h22->m5,-0.31054688
a2.h23->m5,-0.40820312
a3.h29->m5,-0.48242188
a3.h30->m5,0.28515625
a4.h0->m5,0.30664062
a5.h18->m5,-0.28320312
a5.h25->m5,0.3125
a3.h4->m6,-0.46289062
a3.h20->m6,0.40429688
a3.h26->m6,-0.28320312
a3.h27->m6,0.29296875
a4.h26->m6,0.33007812
a5.h12->m6,0.30859375
a5.h15->m6,-0.33203125
a6.h4->m6,0.81640625
a6.h8->m6,0.39257812
a6.h9->m6,-0.3359375
a6.h10->m6,-0.30664062
a6.h13->m6,0.4609375
a6.h15->m6,-0.31445312
a6.h16->m6,-0.56640625
a6.h17->m6,0.27734375
a6.h18->m6,0.375
a6.h19->m6,0.36523438
a6.h23->m6,-0.359375
input->m7,-0.8203125
a3.h1->m7,-0.29492188
a3.h29->m7,-0.31640625
a5.h14->m7,-0.30078125
a6.h4->m7,0.40429688
a6.h5->m7,-0.43554688
a6.h6->m7,0.31640625
a6.h22->m7,-0.38085938
a6.h26->m7,0.4140625
a7.h7->m7,0.31445312
a7.h13->m7,0.57421875
a7.h15->m7,-0.5234375
a7.h19->m7,0.33984375
a7.h26->m7,-0.41210938
input->m8,-0.6640625
a3.h3->m8,0.296875
a5.h12->m8,-0.30664062
a5.h19->m8,-0.41796875
a6.h10->m8,0.43945312
a6.h22->m8,-0.32226562
a6.h26->m8,0.33789062
a7.h2->m8,0.328125
a7.h8->m8,-0.29296875
a7.h9->m8,-0.41992188
a7.h13->m8,0.28320312
a7.h24->m8,0.46484375
a7.h27->m8,-0.3515625
a8.h2->m8,-0.36328125
a8.h17->m8,-0.4921875
a8.h18->m8,0.57421875
