edge,score
input->a0.h0<q>,-1.453125
input->a0.h1<q>,-4.5625
input->a0.h2<q>,-4.09375
input->a0.h3<q>,1.3125
input->a0.h5<q>,-8.1875
input->a0.h9<q>,2.984375
input->a0.h10<q>,-2.203125
input->a0.h11<q>,-1.40625
input->a0.h12<q>,8.6875
input->a0.h13<q>,3.5625
input->m0,70.5
a0.h2->m0,1.890625
a0.h3->m0,5.03125
a0.h4->m0,-3.9375
a0.h5->m0,-6.1875
a0.h6->m0,14.875
a0.h7->m0,-11.9375
a0.h8->m0,-13.1875
a0.h9->m0,13.9375
a0.h10->m0,11.8125
a0.h11->m0,-4.4375
a0.h12->m0,44.75
input->a1.h0<q>,-1.453125
input->a1.h3<q>,11.9375
input->a1.h4<q>,10.0
input->a1.h5<q>,-1.296875
input->a1.h7<q>,2.203125
input->a1.h8<q>,7.875
input->a1.h10<q>,2.171875
input->a1.h11<q>,-1.8828125
input->a1.h12<q>,19.375
input->a1.h13<q>,2.625
m0->a1.h0<q>,18.5
m0->a1.h1<q>,4.25
m0->a1.h2<q>,-5.96875
m0->a1.h3<q>,69.5
m0->a1.h4<q>,134.0
m0->a1.h5<q>,30.125
m0->a1.h6<q>,28.75
m0->a1.h7<q>,-11.1875
m0->a1.h8<q>,12.875
m0->a1.h9<q>,23.375
m0->a1.h10<q>,7.4375
m0->a1.h11<q>,66.5
m0->a1.h12<q>,-35.0
m0->a1.h13<q>,11.1875
input->m1,-14.8125
m0->m1,-272.0
a1.h0->m1,3.28125
a1.h1->m1,7.3125
a1.h2->m1,33.0
a1.h3->m1,7.5625
a1.h4->m1,-3.015625
a1.h5->m1,-19.75
a1.h6->m1,-31.375
a1.h7->m1,8.0
a1.h8->m1,38.75
a1.h9->m1,38.0
a1.h10->m1,-24.125
a1.h11->m1,-9.0625
a1.h12->m1,-22.75
input->a2.h1<q>,9.1875
input->a2.h2<q>,-1.65625
input->a2.h10<q>,-1.4609375
m0->a2.h1<q>,-62.5
m0->a2.h2<q>,17.25
m0->a2.h5<q>,7.375
m0->a2.h8<q>,-9.4375
m0->a2.h9<q>,3.71875
m0->a2.h10<q>,4.9375
m0->a2.h11<q>,-2.875
m0->a2.h12<q>,-1.359375
m0->a2.h13<q>,1.7265625
a1.h0->a2.h0<q>,1.34375
a1.h0->a2.h1<q>,7.1875
a1.h0->a2.h2<q>,-2.1875
a1.h0->a2.h4<q>,1.9375
a1.h0->a2.h5<q>,-2.15625
a1.h0->a2.h10<q>,1.78125
a1.h0->a2.h12<q>,1.453125
a1.h1->a2.h1<q>,-21.5
a1.h1->a2.h2<q>,1.90625
