edge,score_ft,score_pt
input->a0.h5<v>,-0.0016860962,-0.05126953
m2->logits,0.12597656,-0.026123047
a5.h3->logits,-0.002319336,-0.01965332
m7->m11,-0.034179688,-0.27539062
m0->a1.h5<v>,0.0030517578,-0.025268555
m0->logits,-0.27734375,-0.13671875
a10.h5->m11,-0.009887695,-0.048095703
m2->m6,-0.01977539,-0.029541016
a6.h7->logits,-0.0038452148,-0.05102539
a1.h9->m1,0.002380371,-0.040283203
a11.h2->logits,0.0031433105,-0.095703125
a11.h11->logits,0.0015258789,-0.15917969
a7.h4->m11,-0.0036468506,-0.075683594
m10->logits,-0.25976562,-0.37695312
a1.h4->m1,-0.004119873,-0.026977539
m5->m6,0.010253906,0.03491211
m1->m10,-0.024414062,-0.06738281
m6->logits,0.05102539,0.037597656
m1->logits,0.002746582,-0.06640625
m0->m3,-0.009460449,-0.03930664
m2->m7,0.022949219,-0.03149414
input->a0.h11<v>,-0.010986328,-0.20703125
m3->m9,-0.001953125,-0.029052734
m0->m2,0.03540039,-0.14355469
a11.h8->logits,-0.0021209717,-0.13476562
m1->m8,0.030517578,-0.03540039
input->m0,-0.5234375,0.6640625
m1->m3,0.010375977,0.07421875
m4->logits,0.038330078,0.020751953
m7->logits,0.020996094,0.12792969
m0->m9,-0.036132812,0.025024414
m2->m10,-0.013366699,-0.07910156
a0.h10->m0,-0.0025177002,0.092285156
m0->a8.h0<v>,-0.0014190674,0.022216797
input->a0.h8<v>,-0.032226562,-0.13964844
a0.h7->logits,0.0012817383,-0.027832031
m2->m8,0.016235352,0.052734375
a0.h5->m1,0.0016098022,0.08251953
a8.h5->logits,-0.0032196045,-0.041503906
m9->logits,-0.068359375,0.048095703
m0->m8,-0.071777344,-0.061035156
a0.h5->logits,-0.0015335083,-0.06591797
a11.h5->logits,-0.001335144,-0.13769531
m4->m11,-0.03881836,-0.05053711
input->a0.h6<v>,0.027832031,0.13085938
m2->m11,-0.0016860962,-0.025024414
input->logits,0.022460938,-0.025512695
a6.h0->logits,0.002380371,-0.021118164
input->m10,0.009521484,0.024169922
a8.h5->m11,-0.0038909912,-0.11767578
a1.h11->m1,-0.002029419,-0.025024414
a10.h5->logits,-0.002105713,-0.040283203
a10.h9->logits,0.006652832,-0.032714844
a7.h4->logits,0.005126953,0.028320312
a0.h9->m0,0.0014724731,0.09814453
input->a0.h3<v>,-0.0030059814,0.084472656
a0.h1->m0,0.0030059814,-0.038085938
m0->a1.h4<v>,0.002029419,0.01940918
m4->m5,0.0028839111,-0.053710938
a9.h11->logits,-0.0015563965,-0.041259766
a0.h1->m1,0.0020141602,0.107421875
m5->m11,-0.063964844,-0.057128906
m1->m5,0.022338867,0.024658203
input->a0.h4<v>,0.0051879883,-0.020263672
a11.h3->logits,0.0014266968,-0.14746094
a11.h4->logits,-0.001739502,0.2734375
m0->m5,-0.015563965,0.13964844
a11.h7->logits,0.0015945435,-0.095703125
a0.h7->m0,-0.0024261475,0.103027344
m6->m11,-0.030761719,-0.22363281
input->a0.h1<v>,-0.001335144,-0.04663086
m0->m11,-0.13964844,-0.025512695
a9.h3->m11,-0.004425049,0.032226562
m3->m5,-0.0043640137,0.025268555
m2->m5,-0.014038086,0.040527344
m0->m6,0.015258789,-0.041503906
m5->logits,0.080078125,0.041992188
m0->a11.h8<v>,-0.0054626465,0.021240234
a0.h10->m1,0.0020141602,0.025268555
input->a0.h7<v>,-0.0043029785,0.038330078
m2->a11.h8<v>,0.0013198853,0.11669922
m8->m11,0.0099487305,-0.21582031
m4->m6,0.012573242,0.064941406
m0->a9.h5<v>,0.001876831,0.025756836
m1->m2,0.031982422,-0.09667969
m3->m8,-0.004180908,0.033935547
m9->m11,0.03881836,-0.123046875
m4->m10,0.020141602,-0.05834961
m6->m7,0.0072631836,-0.040039062
m7->m9,0.0025177002,0.040039062
m8->m10,-0.0036773682,0.03564453
m0->m7,-0.016601562,-0.060058594
m0->m10,-0.16894531,0.02722168
a1.h1->m1,-0.0022735596,0.034179688
m1->m4,0.012512207,-0.07373047
input->a0.h5<k>,-0.0021362305,0.034179688
m9->m10,-0.001876831,0.12597656
m11->logits,-0.13085938,-1.9609375
m4->m7,-0.01928711,-0.04711914
m0->m1,0.036621094,0.25585938
