edge,score_ft,score_pt
input->a0.h9<v>,0.578125,-0.029541016
m2->logits,-1.5234375,-0.03466797
m0->a1.h10<v>,-0.1328125,0.063964844
a10.h10->logits,0.20019531,0.024169922
m0->a8.h10<k>,-0.072265625,0.01953125
m3->m8,-0.04711914,-0.03112793
a11.h4->m11,-0.125,0.15234375
m8->m9,0.13671875,-0.028564453
a11.h11->m11,-0.11328125,-0.057861328
a4.h4->m11,0.041992188,0.020751953
a0.h3->m0,0.75390625,-0.019042969
a10.h4->logits,0.056640625,0.056884766
m10->a11.h11<v>,-0.055664062,0.024658203
m0->a3.h7<v>,-0.043945312,0.023071289
m5->m10,0.07763672,-0.036621094
input->a0.h4<q>,0.053466797,0.040039062
m0->m2,-0.515625,0.123046875
input->a0.h10<v>,0.33007812,-0.040527344
m5->logits,-0.13476562,-0.09814453
m7->logits,0.05908203,-0.22753906
m0->a11.h8<v>,0.46289062,0.033691406
a0.h9->m11,0.061035156,-0.029663086
m0->m4,-0.40820312,0.06298828
m10->logits,0.734375,-0.48242188
m1->logits,0.068359375,-0.079589844
a0.h4->logits,0.17480469,0.026367188
m4->m6,0.17480469,0.061767578
input->m0,1.3984375,0.6640625
a0.h1->m10,0.041503906,-0.01928711
m2->m10,0.38671875,-0.018310547
a4.h4->logits,-0.09667969,-0.041259766
a8.h0->logits,-0.084472656,0.030639648
a11.h3->logits,0.10498047,0.03540039
m2->m3,0.16992188,0.11425781
m9->a11.h8<v>,0.05834961,-0.025024414
m3->logits,-0.063964844,-0.045654297
m7->m10,0.16601562,-0.049316406
a0.h5->m0,0.5234375,0.01940918
m0->m6,0.22753906,-0.07373047
a11.h0->logits,-0.18261719,0.21972656
m11->logits,2.59375,-0.88671875
m0->a1.h5<v>,0.16210938,-0.024902344
m0->m3,-0.30078125,0.111816406
a6.h10->logits,-0.05444336,0.025146484
m0->m8,0.048828125,-0.099609375
m0->logits,0.78515625,0.20703125
input->a0.h3<q>,0.08300781,0.024414062
a10.h8->m11,0.3046875,0.020996094
m0->m10,0.3359375,-0.17578125
m1->a11.h8<v>,0.06225586,0.095214844
m0->a1.h3<v>,-0.15625,0.021118164
m7->m9,0.095703125,-0.03125
a11.h8->m11,-1.1015625,-0.041015625
m0->a6.h6<v>,0.068359375,-0.018066406
a0.h7->m0,-0.32421875,-0.14453125
m9->m10,0.111328125,-0.068359375
a10.h6->logits,-0.15722656,0.021972656
m5->m9,0.051513672,-0.046142578
input->a0.h5<k>,0.052490234,0.06982422
a1.h7->m1,-0.04272461,0.017700195
m4->m7,-0.36914062,0.017700195
m0->m1,-0.57421875,0.09326172
a0.h4->m0,0.2578125,0.06982422
input->a0.h8<v>,-0.09082031,-0.19140625
a0.h1->m1,-0.044921875,0.036376953
m2->a11.h8<v>,-0.053222656,0.025634766
input->a0.h5<v>,0.5234375,0.08984375
a11.h9->logits,0.15625,0.02355957
m1->m11,0.09375,-0.056640625
a6.h6->logits,0.11669922,-0.048095703
m0->a3.h3<v>,0.06933594,-0.038330078
a10.h11->logits,0.04711914,0.021728516
m5->m8,0.047851562,-0.033691406
input->a0.h7<v>,0.063964844,-0.18652344
a11.h11->logits,-0.13476562,0.100097656
a8.h8->logits,0.107421875,0.037109375
a0.h9->logits,0.09863281,0.052490234
a0.h10->m0,0.13085938,-0.048339844
m5->m11,-0.10253906,0.018310547
m1->m7,0.05029297,0.11669922
input->a0.h0<v>,0.11621094,-0.023071289
m0->m5,-0.37304688,-0.053710938
m6->logits,0.17089844,-0.111816406
a8.h5->logits,0.13671875,0.01953125
m10->m11,0.3125,-0.21777344
input->a0.h4<v>,0.4453125,0.10546875
a8.h10->logits,-0.19042969,-0.047607422
a0.h5->logits,0.18457031,0.028808594
input->a0.h11<v>,0.06298828,-0.033447266
a1.h5->logits,-0.06933594,-0.02331543
a0.h11->m0,-0.06933594,0.03466797
input->a0.h5<q>,0.071777344,0.15722656
a10.h7->logits,-0.06298828,-0.029785156
m8->m10,0.31054688,-0.029052734
m0->a1.h8<v>,-0.04248047,-0.018554688
m4->logits,0.19335938,-0.06689453
input->logits,0.1328125,0.17089844
m0->m11,3.40625,-0.16503906
m0->m7,0.40039062,0.13964844
m10->a11.h8<v>,-0.100097656,-0.05810547
m7->m11,-0.1640625,0.041259766
a11.h4->logits,0.10888672,-0.16210938
m7->m8,0.05908203,-0.11425781
a1.h11->logits,-0.057128906,-0.033203125
a0.h9->m0,0.068359375,-0.028320312
input->a0.h1<v>,0.6796875,-0.0390625
input->a0.h6<v>,-0.15039062,0.20507812
m9->logits,0.28320312,-0.41796875
a0.h1->m0,0.12792969,-0.022827148
m2->a6.h8<v>,-0.064941406,-0.01928711
a11.h8->logits,1.4375,-0.060546875
a6.h4->logits,0.044921875,0.030029297
a0.h10->m11,0.08886719,0.044677734
m8->logits,-0.71484375,-0.2421875
a10.h5->logits,0.24023438,-0.020507812
m3->m10,0.059570312,-0.05102539
m0->a4.h11<v>,0.16015625,-0.020019531
m1->m6,-0.12011719,-0.20410156
a1.h10->m2,-0.20117188,0.03149414
a3.h4->logits,0.14355469,0.019042969
m2->m6,0.06738281,-0.022216797
m6->m10,0.123046875,-0.048828125
m4->m11,-0.10888672,-0.025268555
a1.h10->m1,-0.056884766,0.032226562
a8.h2->m11,0.09863281,0.03491211
a4.h6->logits,0.092285156,-0.018310547
m2->m8,0.19238281,0.01977539
m4->m10,0.10986328,-0.030517578
