edge,score_ft,score_pt
input->a0.h21<q>,0.036621094,0.0703125
m29->m30,-0.99609375,-1.390625
input->a0.h27<v>,-0.040283203,-0.041503906
m26->logits,-0.15234375,-0.15625
m27->m30,-0.03540039,-0.038085938
m18->a30.h31<v>,0.03930664,0.059326172
m30->a31.h11<v>,-0.13574219,-0.09375
m1->a2.h7<q>,0.03930664,0.056152344
m1->m2,-0.43554688,-0.2734375
m11->m15,0.0546875,0.04272461
m12->m31,-0.045410156,-0.045898438
m1->m31,-1.09375,-2.015625
m23->logits,-0.08984375,-0.10888672
m4->m7,-0.031982422,-0.040283203
m16->logits,-0.092285156,-0.076660156
m25->m31,-0.23046875,-0.13476562
m1->a4.h10<q>,0.04248047,-0.05102539
m16->m17,0.050048828,0.06542969
m1->a31.h24<v>,0.12792969,0.2421875
m10->m16,0.032470703,0.03515625
m1->a3.h18<q>,0.03930664,-0.034179688
m30->a31.h29<q>,0.041992188,-0.041992188
m29->a31.h11<q>,0.03173828,0.048339844
m30->a31.h28<q>,0.18359375,-0.035888672
m18->m19,0.044921875,0.041992188
m22->logits,-0.048339844,-0.061035156
m1->a5.h4<q>,0.03930664,0.056884766
m30->a31.h14<v>,-0.20117188,-0.05908203
m1->a4.h27<q>,-0.055908203,-0.07714844
a30.h11->logits,-0.029663086,-0.12109375
m30->a31.h27<k>,-0.12792969,-0.043945312
a24.h13->logits,-0.034423828,-0.10253906
input->a0.h17<q>,0.05883789,0.047851562
m30->a31.h24<q>,-0.08300781,-0.33984375
input->a0.h16<v>,-0.037109375,-0.03564453
m1->a31.h6<k>,1.4765625,1.5234375
m30->a31.h14<q>,0.40429688,0.28125
m20->logits,-0.16992188,-0.14746094
m1->a3.h27<q>,-0.10498047,0.08886719
m1->a2.h27<q>,0.16210938,0.28515625
m1->a9.h26<q>,0.07080078,0.03515625
m1->logits,0.73828125,1.1875
m1->m29,-0.08496094,-0.22363281
m1->a2.h29<q>,-0.20019531,0.07080078
m30->a31.h24<v>,3.3125,0.037109375
m30->a31.h13<k>,-0.21484375,0.08886719
m8->logits,-0.033203125,-0.037597656
m1->a2.h10<q>,-0.040039062,0.053955078
m23->m30,0.049316406,0.050048828
m30->a31.h15<q>,0.040039062,0.19726562
a0.h3->m1,-0.067871094,0.09326172
m1->a6.h13<q>,-0.060546875,-0.040283203
m30->a31.h6<v>,0.21289062,0.27929688
m22->m31,-0.05029297,-0.055664062
m21->logits,-0.16992188,-0.1796875
a5.h15->m5,0.034423828,0.055908203
m1->a9.h4<q>,-0.040527344,-0.03955078
m1->a4.h28<q>,-0.034179688,-0.032958984
m30->a31.h15<k>,-0.036132812,0.64453125
m1->a8.h0<q>,0.06347656,-0.08251953
m1->m3,0.0625,0.056640625
m1->a3.h3<q>,-0.07128906,-0.096191406
m24->m31,-0.091796875,-0.09423828
m1->a4.h31<q>,-0.12451172,-0.084472656
m1->a2.h15<q>,0.04663086,0.24511719
m30->a31.h27<q>,-0.068359375,-0.03881836
m30->a31.h11<k>,1.296875,0.17773438
m1->a3.h21<q>,-0.061523438,-0.051757812
m1->a2.h29<v>,-0.049804688,-0.032226562
m1->a7.h21<q>,-0.035888672,0.041503906
m30->a31.h5<v>,-0.036865234,-0.10205078
m1->a31.h15<v>,0.12011719,0.30273438
m1->a31.h29<k>,-0.19042969,-0.13574219
m30->a31.h22<q>,0.14453125,0.059326172
m29->a31.h6<q>,0.22753906,0.22363281
m30->logits,-1.1796875,-3.8125
m1->a3.h25<q>,0.13964844,-0.06591797
m1->a31.h6<v>,-0.640625,-0.25585938
a3.h19->m3,0.051513672,-0.037597656
m1->a31.h6<q>,-0.890625,-1.15625
m1->a2.h29<k>,0.08984375,-0.055419922
m0->a1.h8<v>,0.11230469,0.43945312
m1->a5.h9<q>,-0.05126953,-0.036132812
m16->m31,-0.06591797,-0.13085938
m8->a10.h1<v>,0.030639648,0.03540039
m19->m29,0.046875,0.05053711
m30->a31.h2<k>,0.10546875,0.046142578
m30->a31.h20<k>,-0.4609375,-0.078125
m17->m31,-0.052246094,-0.091308594
m30->a31.h18<k>,0.265625,0.29492188
m30->a31.h4<k>,-1.8984375,-0.09082031
input->a0.h25<v>,0.14550781,-0.08105469
m14->m31,-0.052734375,-0.095214844
input->a0.h21<v>,-0.16992188,0.12597656
m1->m16,-0.028930664,-0.041503906
m28->logits,-0.19921875,-0.19726562
m1->a3.h16<q>,0.03515625,0.10498047
m31->logits,3.953125,3.8125
m30->a31.h5<q>,0.06542969,-0.21289062
m19->logits,-0.12597656,-0.06933594
m29->a31.h5<q>,0.032226562,0.05053711
m1->a2.h12<q>,0.04272461,0.03515625
m0->m2,-0.06982422,-0.046142578
a31.h24->m31,-0.036376953,0.2109375
m1->m6,-0.10107422,-0.087890625
m1->a31.h12<v>,0.1875,0.28320312
m30->a31.h10<v>,-0.029418945,-0.04272461
m15->m30,0.029052734,0.05493164
m30->a31.h20<v>,-0.12011719,-0.08105469
m1->a7.h15<q>,-0.06640625,0.037109375
input->a0.h25<k>,-0.115722656,0.031982422
m0->a1.h1<q>,0.06542969,0.06542969
input->m1,-0.059570312,-0.10546875
m21->m30,0.08642578,0.07324219
m1->a2.h14<q>,-0.033691406,0.032226562
m13->m31,-0.05810547,-0.053710938
m14->logits,-0.047607422,-0.03881836
input->a0.h22<v>,0.049804688,0.111328125
m4->m5,0.061767578,0.08984375
m0->a1.h22<q>,0.072265625,0.047607422
m0->a1.h22<k>,0.091308594,-0.049804688
m1->a2.h23<q>,-0.12597656,-0.061279297
m30->a31.h18<q>,-0.1640625,-0.56640625
m30->a31.h4<v>,-0.48828125,-0.075683594
m1->a8.h4<q>,-0.072753906,0.06542969
m15->m31,-0.053710938,-0.048095703
m1->a5.h22<q>,-0.11669922,0.057128906
m18->m22,-0.034179688,-0.032226562
m29->a31.h6<k>,0.24121094,0.20898438
m24->logits,-0.15136719,-0.11425781
m1->m30,1.109375,1.453125
m30->a31.h11<q>,-0.10986328,-0.087890625
a3.h26->m3,0.041992188,-0.03955078
m1->a31.h5<q>,0.110839844,0.1796875
