edge,score
input->a0.h4<v>,0.05444336
input->a0.h5<q>,0.059570312
input->a0.h5<k>,0.038330078
input->a0.h5<v>,0.08886719
input->a0.h6<v>,0.1328125
input->a0.h7<v>,-0.047851562
input->a0.h8<v>,-0.099609375
input->a0.h10<q>,0.050048828
input->a0.h10<k>,0.047607422
input->a0.h11<v>,-0.083984375
input->m0,0.69921875
a0.h1->m0,-0.029174805
a0.h3->m0,-0.053955078
a0.h5->m0,0.028442383
a0.h6->m0,0.05883789
a0.h8->m0,0.036621094
a0.h10->m0,-0.10888672
a0.h11->m0,0.04345703
a0.h9->a1.h5<q>,-0.033203125
m0->a1.h1<v>,-0.04272461
m0->a1.h5<v>,-0.045654297
m0->a1.h7<q>,-0.032470703
m0->a1.h9<q>,0.07861328
m0->a1.h11<v>,0.035888672
a0.h1->m1,0.04272461
a0.h5->m1,0.05126953
a0.h9->m1,-0.10644531
a0.h10->m1,0.07470703
m0->m1,1.2734375
a1.h1->m1,-0.055664062
a1.h2->m1,-0.03491211
a1.h7->m1,-0.040527344
a1.h8->m1,0.045410156
a1.h10->m1,0.076171875
a1.h11->m1,0.06298828
a0.h9->a2.h1<k>,-0.031982422
a0.h9->a2.h11<q>,-0.029663086
m0->a2.h1<k>,-0.040039062
m0->a2.h1<v>,0.042236328
m0->a2.h6<v>,0.028930664
m0->a2.h7<v>,0.050048828
m0->a2.h9<q>,-0.04345703
m0->a2.h10<v>,-0.040527344
a1.h1->a2.h1<k>,-0.038330078
input->m2,-0.036621094
a0.h4->m2,-0.0390625
a0.h7->m2,-0.032226562
a0.h8->m2,0.040283203
a0.h9->m2,-0.051757812
a1.h4->m2,0.032226562
a1.h7->m2,0.038330078
a1.h9->m2,-0.03515625
m1->m2,0.14453125
a2.h0->m2,0.049072266
a2.h3->m2,0.05126953
a2.h5->m2,-0.03125
a2.h8->m2,0.036865234
a2.h10->m2,-0.044921875
m0->a3.h1<q>,-0.028564453
m0->a3.h1<k>,-0.047607422
m0->a3.h8<v>,-0.036865234
a1.h10->a3.h2<q>,-0.03112793
a1.h10->a3.h3<q>,0.03466797
a1.h10->a3.h3<k>,-0.028930664
m1->a3.h2<q>,0.03881836
m1->a3.h3<q>,-0.03491211
input->m3,0.041015625
a0.h5->m3,0.061279297
a0.h10->m3,-0.04711914
m0->m3,0.23535156
a1.h1->m3,0.052246094
a1.h7->m3,0.038330078
a1.h10->m3,-0.032958984
a1.h11->m3,-0.030029297
m1->m3,-0.04663086
a2.h4->m3,0.043945312
a2.h10->m3,-0.033691406
m2->m3,0.03881836
a3.h5->m3,0.049316406
a0.h6->a4.h6<q>,0.033691406
a0.h10->a4.h6<q>,-0.046875
m0->a4.h2<v>,0.034179688
m0->a4.h6<k>,0.03540039
m0->a4.h10<k>,-0.029663086
a1.h8->a4.h6<k>,-0.040527344
a1.h10->a4.h6<q>,-0.068847656
a1.h10->a4.h6<k>,0.037109375
m1->a4.h6<q>,0.051513672
a3.h7->a4.h7<v>,0.033691406
a0.h1->m4,0.048339844
a0.h2->m4,-0.03149414
a0.h5->m4,-0.057861328
a0.h7->m4,-0.061767578
a0.h9->m4,-0.103515625
a0.h11->m4,0.080078125
m0->m4,-0.05810547
a1.h0->m4,-0.061035156
a1.h1->m4,-0.050048828
a1.h4->m4,0.041015625
m1->m4,0.039794922
a2.h6->m4,0.033935547
m2->m4,-0.111816406
a3.h1->m4,0.03466797
a3.h4->m4,0.033447266
a3.h5->m4,-0.028930664
a3.h6->m4,-0.028808594
m3->m4,-0.06298828
a4.h7->m4,0.076171875
a4.h8->m4,-0.033447266
a4.h11->m4,-0.12011719
m0->a5.h3<v>,0.03540039
a0.h6->m5,0.028320312
a0.h7->m5,-0.03881836
a0.h8->m5,-0.03491211
a0.h10->m5,-0.030517578
m0->m5,-0.3671875
a1.h7->m5,0.029052734
m1->m5,-0.12451172
a2.h6->m5,-0.031982422
a3.h2->m5,-0.028564453
a3.h10->m5,-0.033935547
a3.h11->m5,0.042236328
a4.h6->m5,0.033203125
m4->m5,-0.07080078
a0.h2->a6.h4<q>,-0.032226562
a0.h9->a6.h4<q>,-0.095703125
a0.h9->a6.h4<k>,0.044921875
a0.h9->a6.h6<q>,-0.043945312
a0.h10->a6.h4<q>,0.03125
m0->a6.h4<q>,-0.04272461
m0->a6.h4<k>,0.05834961
m0->a6.h5<q>,-0.03564453
a1.h1->a6.h4<q>,-0.044921875
a1.h1->a6.h4<k>,0.03540039
m1->a6.h4<q>,-0.052734375
m1->a6.h6<q>,-0.03540039
m2->a6.h4<q>,0.071777344
m2->a6.h6<q>,0.039794922
a3.h4->a6.h4<q>,-0.03955078
m3->a6.h4<q>,-0.08496094
m3->a6.h6<q>,-0.0546875
m4->a6.h4<q>,-0.028930664
a5.h9->a6.h4<q>,-0.029785156
m5->a6.h4<q>,-0.06542969
m5->a6.h6<q>,-0.040039062
m5->a6.h6<k>,-0.04663086
a0.h1->m6,0.068847656
a0.h4->m6,-0.034179688
a0.h5->m6,0.030761719
a0.h7->m6,0.041503906
a0.h9->m6,0.050048828
a0.h10->m6,0.039794922
m0->m6,0.16894531
a1.h2->m6,-0.059326172
a1.h3->m6,0.031982422
a1.h9->m6,-0.03112793
m1->m6,-0.044921875
a2.h5->m6,-0.05053711
a2.h10->m6,-0.08544922
m2->m6,-0.10498047
a3.h4->m6,-0.04272461
a3.h5->m6,-0.033447266
a3.h10->m6,0.035888672
m3->m6,-0.06640625
a4.h2->m6,0.03540039
a4.h6->m6,-0.05029297
m4->m6,0.2265625
m5->m6,-0.11816406
a6.h7->m6,-0.034179688
a6.h8->m6,0.032958984
a0.h9->a7.h6<q>,-0.0390625
m0->a7.h6<k>,-0.034179688
m1->a7.h6<q>,-0.03112793
m2->a7.h6<q>,0.030883789
m3->a7.h6<q>,-0.037597656
m4->a7.h6<v>,0.037109375
m6->a7.h6<q>,-0.03149414
a0.h1->m7,0.03149414
a0.h5->m7,0.029052734
a0.h9->m7,0.080078125
m0->m7,-0.0625
a1.h1->m7,0.029418945
a1.h6->m7,0.030151367
a1.h11->m7,-0.030517578
a2.h10->m7,0.036132812
m2->m7,0.079589844
a3.h10->m7,-0.039794922
a3.h11->m7,0.044677734
a4.h4->m7,-0.030273438
a4.h6->m7,-0.032714844
a4.h7->m7,-0.043701172
a4.h8->m7,-0.028808594
a4.h11->m7,0.061035156
m4->m7,-0.18164062
m5->m7,0.14550781
a6.h6->m7,-0.038085938
m6->m7,-0.19921875
input->a8.h2<q>,-0.03125
a0.h1->a8.h2<k>,-0.037597656
a0.h2->a8.h2<q>,0.061035156
a0.h2->a8.h2<k>,-0.052734375
a0.h5->a8.h2<k>,-0.039794922
a0.h9->a8.h2<q>,0.21875
a0.h9->a8.h2<k>,-0.19726562
a0.h11->a8.h2<q>,-0.076660156
a0.h11->a8.h2<k>,0.056152344
m0->a8.h0<k>,0.032470703
m0->a8.h2<q>,-0.059570312
m0->a8.h2<k>,-0.12988281
m0->a8.h2<v>,0.048828125
a1.h1->a8.h2<q>,0.12890625
a1.h1->a8.h2<k>,-0.14257812
a1.h2->a8.h2<q>,-0.040283203
a1.h2->a8.h2<k>,0.05029297
a1.h6->a8.h2<q>,0.030029297
a1.h7->a8.h2<q>,0.04321289
a1.h10->a8.h2<q>,-0.0703125
a1.h10->a8.h2<k>,0.06689453
m1->a8.h0<q>,-0.029174805
m1->a8.h2<q>,0.076171875
m1->a8.h2<k>,0.10986328
m1->a8.h2<v>,0.046142578
a2.h1->a8.h2<q>,0.041259766
a2.h7->a8.h2<q>,-0.052490234
a2.h7->a8.h2<k>,0.03515625
a2.h10->a8.h2<q>,-0.03491211
a2.h10->a8.h2<k>,0.038330078
m2->a8.h2<q>,-0.12695312
m2->a8.h2<k>,0.111328125
a3.h1->a8.h2<q>,0.032958984
a3.h4->a8.h2<q>,0.071777344
a3.h4->a8.h2<k>,-0.041259766
m3->a8.h2<q>,0.12011719
m3->a8.h2<k>,0.067871094
a4.h2->a8.h2<k>,-0.032958984
a4.h4->a8.h2<q>,-0.036376953
a4.h4->a8.h2<k>,0.044921875
a4.h10->a8.h2<q>,0.076171875
a4.h10->a8.h2<k>,-0.047851562
m4->a8.h2<k>,0.032470703
m4->a8.h2<v>,0.100097656
a5.h9->a8.h2<q>,0.05126953
a5.h9->a8.h2<k>,-0.030883789
m5->a8.h2<q>,0.092285156
m5->a8.h2<k>,0.07519531
m5->a8.h2<v>,0.036621094
a6.h2->a8.h2<q>,0.11767578
a6.h2->a8.h2<k>,-0.071777344
a6.h3->a8.h2<k>,0.03515625
a6.h5->a8.h2<v>,0.029663086
a6.h6->a8.h2<q>,-0.055419922
a6.h6->a8.h2<k>,0.037597656
m6->a8.h2<q>,0.06640625
m6->a8.h2<k>,0.13964844
m6->a8.h2<v>,0.064453125
m7->a8.h2<q>,0.10546875
m7->a8.h2<k>,-0.15234375
m7->a8.h2<v>,-0.106933594
a0.h4->m8,0.029052734
a0.h9->m8,-0.06591797
a0.h11->m8,0.032226562
a1.h1->m8,-0.03149414
a1.h7->m8,-0.03112793
m1->m8,0.03515625
a2.h3->m8,-0.028930664
a3.h10->m8,0.028808594
m4->m8,0.06738281
m5->m8,-0.036621094
a6.h7->m8,-0.061523438
m6->m8,0.1484375
