edge,score
input->a0.h0<v>,-0.024658203
input->a0.h4<v>,-0.015625
input->a0.h5<q>,0.07128906
input->a0.h6<v>,-0.03466797
input->a0.h7<v>,0.022216797
input->a0.h8<k>,0.025756836
input->a0.h8<v>,0.026367188
input->a0.h9<v>,-0.016113281
input->a0.h11<v>,-0.036376953
input->m0,0.34765625
a0.h10->m0,0.023803711
a0.h11->m0,0.028076172
m0->a1.h1<v>,0.021972656
m0->a1.h3<v>,0.018920898
m0->a1.h7<v>,-0.056640625
m0->a1.h8<q>,0.017333984
m0->a1.h9<q>,0.026977539
a0.h1->m1,0.06225586
a0.h2->m1,0.021728516
a0.h8->m1,0.021118164
a0.h9->m1,-0.022216797
a0.h10->m1,0.03466797
a0.h11->m1,-0.017944336
m0->m1,0.3671875
a1.h7->m1,0.028808594
a0.h9->a2.h7<v>,0.01574707
a0.h10->a2.h10<v>,-0.016601562
m0->a2.h1<v>,-0.026123047
m0->a2.h6<v>,0.017700195
m0->a2.h11<k>,-0.01574707
m1->a2.h6<v>,0.017089844
m1->a2.h10<v>,-0.01965332
input->m2,-0.017089844
a0.h0->m2,0.01965332
a0.h1->m2,0.01965332
a0.h3->m2,0.022460938
a0.h5->m2,0.016723633
a0.h9->m2,0.018554688
a0.h11->m2,0.021850586
a1.h7->m2,-0.024414062
a1.h10->m2,-0.025634766
m1->m2,0.04272461
a2.h0->m2,-0.020019531
a2.h5->m2,0.026123047
a2.h10->m2,-0.033203125
m0->a3.h1<q>,0.024902344
m0->a3.h5<v>,-0.018066406
m0->a3.h9<v>,0.017944336
a1.h10->a3.h1<q>,0.017822266
m1->a3.h1<q>,-0.025634766
m1->a3.h1<k>,0.016357422
m2->a3.h2<v>,-0.016113281
m2->a3.h5<k>,0.021972656
m2->a3.h5<v>,-0.020996094
m2->a3.h6<v>,-0.050048828
input->m3,-0.016113281
a0.h5->m3,0.030029297
a0.h11->m3,0.016357422
m0->m3,0.16796875
a1.h0->m3,0.017822266
a1.h1->m3,0.030029297
a1.h7->m3,0.018798828
a1.h8->m3,-0.020996094
m1->m3,-0.026367188
a2.h8->m3,0.020996094
m2->m3,-0.037353516
a3.h0->m3,-0.016845703
a3.h9->m3,0.016113281
a3.h10->m3,-0.017333984
a0.h9->a4.h2<q>,-0.017944336
a0.h9->a4.h10<q>,-0.01574707
m0->a4.h6<q>,-0.030273438
m0->a4.h6<k>,0.021362305
m0->a4.h9<v>,-0.020996094
m1->a4.h6<q>,0.018798828
m2->a4.h10<k>,0.020019531
a3.h0->a4.h6<v>,0.020507812
a3.h10->a4.h6<v>,0.017333984
m3->a4.h2<q>,-0.01574707
m3->a4.h8<v>,-0.022216797
a0.h1->m4,0.016357422
a0.h2->m4,0.01586914
a0.h5->m4,0.016845703
a0.h9->m4,0.041503906
m0->m4,-0.106933594
a1.h7->m4,-0.022216797
a1.h8->m4,-0.034179688
a1.h10->m4,-0.023071289
m1->m4,-0.09863281
m2->m4,-0.036132812
a3.h0->m4,0.018310547
a3.h3->m4,-0.015991211
m3->m4,0.091796875
a4.h7->m4,0.029663086
a4.h9->m4,0.017456055
a4.h11->m4,-0.029418945
a0.h9->a5.h9<q>,-0.02734375
m0->a5.h8<q>,-0.017333984
m1->a5.h3<v>,0.017089844
m1->a5.h8<q>,0.01965332
m2->a5.h3<k>,0.020996094
m2->a5.h3<v>,-0.041992188
m2->a5.h9<q>,0.01953125
a3.h10->a5.h3<v>,0.017578125
m3->a5.h3<v>,0.017211914
m3->a5.h9<q>,-0.025634766
a4.h4->a5.h3<v>,0.015625
a0.h1->m5,0.019165039
a0.h4->m5,0.017456055
a0.h10->m5,0.022949219
a0.h11->m5,-0.015991211
m0->m5,0.05444336
a1.h0->m5,-0.021118164
a1.h1->m5,0.041259766
a1.h5->m5,0.01574707
a1.h7->m5,0.043945312
a1.h11->m5,-0.019165039
m1->m5,0.107910156
a2.h5->m5,0.01953125
a2.h9->m5,0.016113281
m2->m5,0.10253906
a3.h0->m5,0.024658203
a3.h5->m5,0.023925781
a3.h10->m5,-0.036865234
m3->m5,0.020019531
a4.h4->m5,-0.026367188
a4.h6->m5,-0.037353516
a4.h8->m5,0.02734375
m4->m5,0.053710938
a5.h0->m5,0.016113281
a5.h8->m5,0.050048828
a5.h10->m5,0.020019531
m0->a6.h0<v>,0.016479492
m0->a6.h2<v>,0.01574707
m0->a6.h3<v>,-0.018066406
m0->a6.h4<v>,-0.020629883
m0->a6.h5<v>,0.027709961
m0->a6.h7<v>,-0.016113281
a1.h10->a6.h0<q>,0.018432617
m1->a6.h0<q>,-0.029052734
m1->a6.h0<k>,0.020019531
m2->a6.h0<v>,-0.021850586
m2->a6.h1<v>,-0.020507812
m2->a6.h6<k>,0.019042969
