edge,score
input->a0.h1<v>,0.048095703
input->a0.h3<k>,0.13769531
input->a0.h3<v>,-0.063964844
input->a0.h8<v>,-0.047851562
input->a0.h9<q>,0.032226562
input->a0.h9<v>,-0.03857422
input->a0.h13<q>,-0.06542969
input->a0.h15<k>,-0.03540039
input->a0.h15<v>,0.11425781
input->a0.h16<v>,-0.03564453
input->a0.h17<q>,0.047851562
input->a0.h20<v>,0.06640625
input->a0.h21<q>,0.0703125
input->a0.h21<v>,0.12597656
input->a0.h22<k>,-0.12451172
input->a0.h22<v>,0.111328125
input->a0.h25<k>,0.031982422
input->a0.h25<v>,-0.08105469
input->a0.h26<v>,-0.087402344
input->a0.h27<v>,-0.041503906
input->a0.h29<v>,-0.033935547
input->m0,0.052734375
a0.h0->m0,-0.038085938
a0.h3->m0,-0.15917969
a0.h4->m0,0.08642578
a0.h5->m0,0.06640625
a0.h11->m0,0.060302734
a0.h12->m0,-0.05029297
a0.h13->m0,-0.06738281
a0.h15->m0,0.107421875
a0.h20->m0,0.045654297
a0.h21->m0,0.05883789
a0.h22->m0,0.14257812
a0.h23->m0,-0.036621094
a0.h25->m0,-0.111816406
a0.h27->m0,-0.03930664
a0.h29->m0,-0.06591797
a0.h30->m0,0.040527344
input->a1.h14<v>,0.037597656
input->a1.h20<v>,-0.043701172
a0.h0->a1.h8<v>,0.055908203
a0.h3->a1.h8<v>,0.17285156
a0.h3->a1.h11<q>,-0.041015625
a0.h3->a1.h11<v>,-0.056640625
a0.h3->a1.h14<v>,-0.051757812
a0.h3->a1.h22<k>,0.053710938
a0.h4->a1.h8<v>,-0.17773438
a0.h4->a1.h11<v>,0.063964844
a0.h7->a1.h8<v>,0.044677734
a0.h9->a1.h8<v>,-0.049316406
a0.h11->a1.h8<v>,-0.17480469
a0.h11->a1.h11<v>,0.07763672
a0.h15->a1.h1<q>,0.032226562
a0.h15->a1.h8<v>,-0.06738281
a0.h15->a1.h14<v>,0.040527344
a0.h15->a1.h22<k>,0.044921875
a0.h19->a1.h22<k>,-0.03491211
a0.h22->a1.h8<v>,-0.055664062
a0.h24->a1.h8<v>,-0.031982422
a0.h24->a1.h22<k>,-0.03540039
a0.h25->a1.h22<k>,-0.031982422
a0.h25->a1.h22<v>,0.037841797
a0.h30->a1.h8<v>,-0.037597656
m0->a1.h1<q>,0.06542969
m0->a1.h1<k>,-0.033691406
m0->a1.h4<q>,0.040283203
m0->a1.h8<k>,-0.03930664
m0->a1.h8<v>,0.43945312
m0->a1.h11<v>,-0.36914062
m0->a1.h14<v>,-0.072753906
m0->a1.h22<q>,0.047607422
m0->a1.h22<k>,-0.049804688
input->m1,-0.10546875
a0.h3->m1,0.09326172
a0.h5->m1,-0.04321289
a0.h19->m1,-0.031982422
a0.h25->m1,-0.09082031
m0->m1,-0.16992188
a1.h8->m1,0.2265625
a1.h11->m1,-0.32421875
a1.h14->m1,-0.047851562
a1.h22->m1,0.051757812
a1.h24->m1,0.037109375
a0.h15->a2.h23<q>,-0.036376953
a1.h22->a2.h30<q>,0.033203125
m1->a2.h3<k>,0.032714844
m1->a2.h5<k>,-0.046875
m1->a2.h7<q>,0.056152344
m1->a2.h10<q>,0.053955078
m1->a2.h12<q>,0.03515625
m1->a2.h14<q>,0.032226562
m1->a2.h15<q>,0.24511719
m1->a2.h15<k>,-0.053466797
m1->a2.h21<q>,-0.071777344
m1->a2.h22<q>,0.16210938
m1->a2.h23<q>,-0.061279297
m1->a2.h23<k>,-0.032470703
m1->a2.h27<q>,0.28515625
m1->a2.h29<q>,0.07080078
m1->a2.h29<k>,-0.055419922
m1->a2.h29<v>,-0.032226562
m1->a2.h30<q>,0.10888672
m1->a2.h30<k>,-0.050048828
a0.h25->m2,0.036621094
m0->m2,-0.046142578
m1->m2,-0.2734375
a2.h1->m2,0.03466797
a2.h27->m2,0.03515625
a2.h29->m2,-0.048339844
m1->a3.h3<q>,-0.096191406
m1->a3.h4<q>,-0.042236328
m1->a3.h9<q>,-0.037597656
m1->a3.h10<q>,-0.2265625
m1->a3.h10<k>,0.12207031
m1->a3.h13<q>,-0.053222656
m1->a3.h15<q>,-0.068359375
m1->a3.h16<q>,0.10498047
m1->a3.h16<k>,-0.039794922
m1->a3.h17<q>,-0.06347656
m1->a3.h18<q>,-0.034179688
m1->a3.h21<q>,-0.051757812
m1->a3.h22<q>,0.05493164
m1->a3.h22<k>,-0.033203125
m1->a3.h25<q>,-0.06591797
m1->a3.h26<q>,0.053955078
m1->a3.h27<q>,0.08886719
m1->a3.h29<q>,-0.11230469
m2->a3.h10<q>,-0.049804688
m2->a3.h26<q>,0.03564453
m2->a3.h29<q>,-0.037109375
m1->m3,0.056640625
a3.h19->m3,-0.037597656
a3.h26->m3,-0.03955078
a3.h30->m3,0.034423828
m1->a4.h3<q>,0.05029297
m1->a4.h3<k>,-0.050048828
m1->a4.h7<q>,-0.100097656
m1->a4.h7<k>,0.103027344
m1->a4.h9<k>,-0.033203125
m1->a4.h10<q>,-0.05102539
m1->a4.h14<q>,-0.037109375
m1->a4.h16<q>,0.07714844
m1->a4.h17<q>,-0.051513672
m1->a4.h18<q>,0.041015625
m1->a4.h20<k>,-0.06225586
m1->a4.h25<q>,0.035888672
m1->a4.h27<q>,-0.07714844
m1->a4.h28<q>,-0.032958984
m1->a4.h30<q>,-0.03540039
m1->a4.h31<q>,-0.084472656
m2->a4.h7<q>,-0.032714844
m1->a5.h0<q>,0.07324219
m1->a5.h4<q>,0.056884766
m1->a5.h7<q>,0.041015625
m1->a5.h8<q>,-0.053222656
m1->a5.h9<q>,-0.036132812
m1->a5.h12<q>,0.07421875
m1->a5.h22<q>,0.057128906
m4->m5,0.08984375
a5.h15->m5,0.055908203
m1->a6.h0<q>,-0.033691406
m1->a6.h6<q>,-0.091796875
m1->a6.h8<q>,-0.032226562
m1->a6.h13<q>,-0.040283203
m1->a6.h19<q>,-0.05810547
m1->a6.h25<q>,-0.034423828
m1->m6,-0.087890625
m1->a7.h15<q>,0.037109375
m1->a7.h21<q>,0.041503906
m1->a7.h24<q>,0.041259766
m2->m7,0.044433594
m4->m7,-0.040283203
m1->a8.h0<q>,-0.08251953
m1->a8.h0<k>,0.095703125
m1->a8.h4<q>,0.06542969
m1->a8.h29<q>,-0.03491211
m1->a9.h4<q>,-0.03955078
m1->a9.h16<q>,-0.044677734
m1->a9.h26<q>,0.03515625
m3->m9,-0.033447266
m7->m9,-0.05053711
m8->a10.h1<v>,0.03540039
m9->a10.h1<q>,0.03930664
m9->a10.h8<q>,0.037353516
a9.h26->m10,-0.064453125
m9->m11,-0.05053711
m1->a12.h8<q>,0.032226562
m6->m13,0.032470703
m10->m15,-0.032714844
m11->m15,0.04272461
m12->m15,0.036621094
m1->m16,-0.041503906
m10->m16,0.03515625
m14->m16,0.03930664
a13.h14->m17,0.037841797
m16->m17,0.06542969
m18->m19,0.041992188
m18->m21,0.032470703
a13.h14->m22,-0.03955078
m18->m22,-0.032226562
m18->a25.h16<v>,0.08203125
a24.h13->a25.h16<k>,-0.032714844
m1->m29,-0.22363281
m16->m29,0.07128906
m18->m29,-0.047607422
m19->m29,0.05053711
m28->m29,0.040039062
m18->a30.h31<v>,0.059326172
m1->m30,1.453125
m15->m30,0.05493164
m16->m30,0.048339844
a17.h29->m30,-0.041503906
m20->m30,0.056640625
m21->m30,0.07324219
m23->m30,0.050048828
a24.h13->m30,-0.043701172
a26.h19->m30,-0.032714844
m27->m30,-0.038085938
m28->m30,-0.055419922
m29->m30,-1.390625
a30.h11->m30,0.056640625
a30.h13->m30,-0.10205078
a30.h15->m30,0.036621094
a30.h31->m30,0.038330078
m1->a31.h5<q>,0.1796875
m1->a31.h6<q>,-1.15625
m1->a31.h6<k>,1.5234375
m1->a31.h6<v>,-0.25585938
m1->a31.h8<q>,0.031982422
m1->a31.h8<k>,0.10253906
m1->a31.h8<v>,-0.07519531
m1->a31.h10<q>,0.0546875
m1->a31.h10<k>,-0.06640625
m1->a31.h11<q>,-0.04711914
m1->a31.h11<k>,0.10498047
m1->a31.h11<v>,-0.032958984
m1->a31.h12<v>,0.28320312
m1->a31.h14<q>,-0.080078125
m1->a31.h14<k>,0.061279297
m1->a31.h15<q>,0.052246094
m1->a31.h15<k>,-0.46679688
m1->a31.h15<v>,0.30273438
m1->a31.h22<q>,-0.03540039
m1->a31.h24<q>,0.18164062
m1->a31.h24<k>,0.2734375
m1->a31.h24<v>,0.2421875
m1->a31.h29<q>,0.06542969
m1->a31.h29<k>,-0.13574219
m29->a31.h5<q>,0.05053711
m29->a31.h6<q>,0.22363281
m29->a31.h6<k>,0.20898438
m29->a31.h8<q>,0.040283203
m29->a31.h11<q>,0.048339844
m29->a31.h15<q>,-0.13867188
m29->a31.h15<k>,-0.045410156
m29->a31.h24<q>,0.10107422
a30.h11->a31.h6<k>,-0.032470703
m30->a31.h2<k>,0.046142578
m30->a31.h4<q>,0.06933594
m30->a31.h4<k>,-0.09082031
m30->a31.h4<v>,-0.075683594
m30->a31.h5<q>,-0.21289062
m30->a31.h5<k>,-0.15625
m30->a31.h5<v>,-0.10205078
m30->a31.h6<q>,1.09375
m30->a31.h6<k>,-1.7421875
m30->a31.h6<v>,0.27929688
m30->a31.h8<q>,-0.064941406
m30->a31.h8<v>,0.057861328
m30->a31.h9<q>,0.05908203
m30->a31.h10<k>,0.2578125
m30->a31.h10<v>,-0.04272461
m30->a31.h11<q>,-0.087890625
m30->a31.h11<k>,0.17773438
m30->a31.h11<v>,-0.09375
m30->a31.h12<v>,-0.24609375
m30->a31.h13<q>,-0.06298828
m30->a31.h13<k>,0.08886719
m30->a31.h14<q>,0.28125
m30->a31.h14<k>,-1.171875
m30->a31.h14<v>,-0.05908203
m30->a31.h15<q>,0.19726562
m30->a31.h15<k>,0.64453125
m30->a31.h15<v>,-0.265625
m30->a31.h18<q>,-0.56640625
m30->a31.h18<k>,0.29492188
m30->a31.h20<q>,0.059570312
m30->a31.h20<k>,-0.078125
m30->a31.h20<v>,-0.08105469
m30->a31.h22<q>,0.059326172
m30->a31.h24<q>,-0.33984375
m30->a31.h24<k>,-0.3203125
m30->a31.h24<v>,0.037109375
m30->a31.h26<k>,-0.051513672
m30->a31.h27<q>,-0.03881836
m30->a31.h27<k>,-0.043945312
m30->a31.h27<v>,0.04248047
m30->a31.h28<q>,-0.035888672
m30->a31.h29<q>,-0.041992188
m30->a31.h29<k>,0.20898438
m30->a31.h30<k>,-0.11230469
m30->a31.h31<q>,-0.057861328
m1->m31,-2.015625
m5->m31,0.04248047
a8.h21->m31,0.044677734
m12->m31,-0.045898438
m13->m31,-0.053710938
a14.h0->m31,0.056152344
m14->m31,-0.095214844
m15->m31,-0.048095703
m16->m31,-0.13085938
a17.h29->m31,0.10058594
m17->m31,-0.091308594
a18.h17->m31,-0.033691406
m18->m31,0.06542969
m19->m31,-0.07373047
a20.h9->m31,0.064941406
a21.h21->m31,0.037597656
a21.h28->m31,0.048828125
m21->m31,-0.04345703
a22.h3->m31,-0.04248047
m22->m31,-0.055664062
a23.h6->m31,0.04663086
m23->m31,-0.08935547
a24.h7->m31,0.04711914
a24.h13->m31,0.17089844
m24->m31,-0.09423828
a25.h4->m31,-0.083984375
a25.h16->m31,0.083984375
m25->m31,-0.13476562
a26.h0->m31,-0.063964844
a26.h19->m31,0.057617188
a28.h0->m31,0.049072266
a28.h13->m31,0.04345703
m28->m31,-0.08105469
a29.h2->m31,-0.08496094
a29.h17->m31,-0.043945312
a30.h11->m31,0.14160156
a30.h29->m31,-0.055664062
a30.h31->m31,-0.0625
m30->m31,6.96875
a31.h4->m31,0.08886719
a31.h5->m31,-0.05102539
a31.h8->m31,-0.05053711
a31.h10->m31,-0.14648438
a31.h11->m31,0.068847656
a31.h12->m31,-0.13476562
a31.h15->m31,-0.043945312
a31.h21->m31,0.033691406
a31.h22->m31,0.063964844
a31.h24->m31,0.2109375
a31.h27->m31,-0.04711914
a31.h29->m31,-0.07421875
m1->logits,1.1875
m8->logits,-0.037597656
m14->logits,-0.03881836
m16->logits,-0.076660156
a17.h12->logits,-0.033203125
a17.h29->logits,-0.0390625
m17->logits,-0.03491211
m18->logits,-0.3203125
m19->logits,-0.06933594
m20->logits,-0.14746094
a21.h2->logits,0.040283203
a21.h28->logits,-0.056640625
m21->logits,-0.1796875
m22->logits,-0.061035156
m23->logits,-0.10888672
a24.h7->logits,-0.14746094
a24.h13->logits,-0.10253906
a24.h14->logits,0.03881836
a24.h18->logits,-0.04272461
m24->logits,-0.11425781
a25.h4->logits,0.106933594
a25.h7->logits,0.03515625
a25.h16->logits,0.04711914
a26.h15->logits,0.033203125
a26.h18->logits,-0.052490234
a26.h19->logits,-0.045654297
a26.h23->logits,0.032226562
a26.h30->logits,-0.036865234
m26->logits,-0.15625
a27.h25->logits,0.045654297
m27->logits,-0.041503906
a28.h0->logits,0.0546875
a28.h13->logits,-0.03540039
a28.h17->logits,-0.10253906
m28->logits,-0.19726562
a29.h2->logits,0.16894531
a29.h26->logits,-0.037109375
m29->logits,-0.22167969
a30.h11->logits,-0.12109375
m30->logits,-3.8125
a31.h5->logits,0.040527344
a31.h10->logits,0.1328125
a31.h11->logits,-0.048828125
a31.h12->logits,0.043701172
a31.h24->logits,-0.21972656
a31.h27->logits,0.05493164
a31.h29->logits,0.107910156
m31->logits,3.8125
