edge,score
input->a0.h3<v>,-0.061523438
input->a0.h12<q>,0.044677734
input->a0.h16<v>,0.045898438
input->a0.h21<v>,0.056884766
input->a0.h22<q>,-0.063964844
input->a0.h22<k>,0.13378906
input->a0.h23<k>,0.051757812
input->m0,-0.12695312
a0.h15->m0,0.106933594
a0.h23->m0,-0.032226562
a0.h25->m0,-0.027954102
input->a1.h18<q>,0.029663086
a0.h15->a1.h22<k>,-0.028442383
m0->a1.h18<q>,0.030639648
m0->a1.h22<k>,0.029174805
m0->a1.h27<k>,0.032714844
input->m1,-0.09863281
a0.h1->m1,-0.041992188
a0.h15->m1,0.030029297
m0->m1,-0.23046875
a1.h8->m1,-0.032470703
a1.h22->m1,0.06542969
m1->a2.h5<v>,0.029418945
m1->a2.h6<q>,-0.03930664
m1->a2.h29<q>,-0.03540039
m1->a2.h30<q>,-0.041259766
input->m2,-0.028320312
a1.h22->m2,-0.046142578
m1->m2,-0.119140625
m1->a3.h0<q>,0.04663086
m1->a3.h0<k>,0.036132812
m1->a3.h1<q>,0.032470703
m1->a3.h21<k>,-0.038330078
m1->a3.h28<q>,0.028808594
m1->a3.h30<q>,0.05908203
input->m3,0.040527344
a1.h22->m3,0.036132812
m1->m3,-0.049316406
a2.h30->m3,0.028076172
a3.h30->m3,-0.028442383
a0.h15->a4.h20<k>,-0.030639648
m1->a4.h4<q>,0.033935547
m1->a4.h14<q>,0.031982422
m1->a4.h20<q>,0.03149414
m1->a4.h20<k>,0.052490234
m1->a4.h20<v>,0.04248047
m1->a4.h27<q>,0.027832031
m3->a4.h4<q>,0.03955078
m3->a4.h4<k>,0.027954102
m3->a4.h14<q>,0.06738281
m3->a4.h20<q>,0.12207031
m3->a4.h20<k>,0.03466797
m3->a4.h21<q>,-0.030883789
m3->a4.h27<q>,0.060546875
m2->m4,-0.061279297
a4.h14->m4,0.048339844
m4->a5.h1<q>,-0.04321289
m4->a5.h8<q>,-0.035888672
m4->a5.h13<q>,0.032958984
m4->a5.h21<q>,-0.030151367
m4->a5.h25<q>,-0.03125
m2->m5,-0.033691406
a4.h20->m5,-0.044433594
m4->m5,-0.07421875
m4->a6.h6<q>,-0.060546875
m4->a6.h22<q>,-0.03540039
m4->a6.h30<q>,0.041503906
a5.h15->m6,0.038330078
m5->a7.h3<q>,0.032714844
m1->m7,-0.042236328
m4->m7,0.09082031
a7.h3->m7,0.028442383
m4->a8.h0<q>,0.031982422
m4->a8.h4<q>,0.041992188
m4->a8.h19<q>,0.03515625
m4->a8.h20<q>,-0.033691406
m6->a8.h0<q>,0.03881836
m6->a8.h20<q>,-0.035888672
m7->a8.h0<q>,0.041259766
m7->a8.h4<q>,0.03173828
m7->a8.h20<q>,-0.043945312
m3->m8,-0.028076172
a7.h15->m8,-0.029052734
m7->m8,-0.08496094
m8->a9.h22<q>,0.03930664
m6->m9,-0.040039062
m8->m9,-0.099609375
m8->a10.h1<v>,-0.037597656
m9->a10.h1<q>,-0.033203125
m9->a10.h15<q>,-0.035888672
m9->a10.h25<q>,0.037841797
m5->m10,0.049316406
m9->m10,0.027954102
m1->a11.h10<q>,-0.029663086
m4->a11.h10<q>,-0.041015625
m6->a11.h20<q>,0.043701172
m7->a11.h10<q>,-0.028320312
m7->a11.h20<q>,0.043701172
m8->a11.h10<q>,-0.028930664
m8->a11.h13<q>,-0.049072266
m8->a11.h20<q>,0.084472656
m9->a11.h10<q>,-0.11230469
m9->a11.h18<q>,0.046142578
m9->a11.h20<q>,0.053955078
m9->a11.h21<q>,0.03564453
m10->a11.h10<q>,-0.04345703
m10->a11.h20<q>,0.03515625
m4->m11,0.030883789
m5->m11,-0.051757812
a7.h15->m11,-0.032226562
m8->m11,-0.111328125
m10->m11,0.075683594
m8->a12.h23<q>,0.03930664
m9->a12.h23<q>,0.046142578
m11->a12.h23<q>,0.03149414
m7->m12,-0.03881836
a9.h26->m12,-0.030517578
m9->m12,-0.076171875
m10->m12,0.06982422
m9->a13.h27<q>,-0.03112793
m1->m13,-0.027832031
m7->m13,0.049072266
m12->m13,0.035888672
a13.h25->m13,-0.032714844
m1->a14.h6<q>,0.03173828
m4->a14.h6<q>,0.057861328
m6->a14.h6<q>,0.041259766
m8->a14.h6<q>,0.084472656
m9->a14.h6<q>,0.123535156
m9->a14.h8<q>,0.055419922
m9->a14.h31<q>,-0.044433594
m11->a14.h6<q>,0.09082031
m12->a14.h6<q>,0.04321289
m13->a14.h6<q>,0.030029297
m13->a14.h8<q>,0.03540039
m1->m14,0.041503906
m4->m14,0.056152344
m9->m14,0.046142578
m10->m14,0.10107422
m11->m14,0.04272461
m9->m15,-0.080078125
m10->m15,0.07373047
a14.h8->m15,0.029785156
m14->m15,0.05493164
m9->a16.h26<q>,0.032714844
m12->m16,0.045654297
m13->m16,-0.052490234
a16.h21->m16,-0.036132812
m16->a17.h12<q>,0.03955078
m8->m17,-0.035888672
m11->m17,0.033447266
m14->m17,-0.030517578
m15->m17,-0.076171875
a16.h6->m17,0.029663086
m16->m17,0.07861328
m17->a18.h27<q>,-0.028076172
a15.h30->m18,-0.035888672
m15->m18,0.050048828
m18->a19.h5<q>,0.032714844
m18->a19.h16<q>,-0.040283203
m18->m19,-0.064453125
m18->a20.h7<q>,-0.046142578
m18->a20.h24<q>,-0.09326172
m7->m20,0.03149414
m15->m20,-0.055419922
m16->m20,0.079589844
m18->a21.h2<q>,0.03564453
m18->a21.h8<q>,-0.042236328
m11->m21,0.032226562
m16->m21,0.07080078
m18->m21,0.061767578
m19->m21,-0.030029297
m18->a22.h6<q>,0.028320312
m18->a22.h10<v>,0.028320312
m18->a22.h17<q>,0.045898438
m21->m22,0.03564453
m18->a23.h26<q>,0.038085938
m18->m23,0.028564453
m6->a24.h20<k>,-0.029663086
m8->a24.h20<k>,-0.045898438
m9->a24.h20<q>,0.06347656
m11->a24.h20<q>,0.030273438
a13.h25->a24.h20<q>,0.029052734
m14->a24.h20<k>,0.03564453
m15->a24.h20<q>,0.09423828
m18->a24.h7<q>,-0.04663086
m18->a24.h13<q>,-0.04248047
m18->a24.h18<q>,-0.028442383
m18->a24.h20<q>,0.22753906
m18->a24.h20<k>,-0.13769531
a19.h11->a24.h20<k>,-0.03149414
a19.h29->a24.h20<k>,-0.041259766
a20.h16->a24.h20<q>,-0.030151367
a20.h16->a24.h20<k>,-0.05810547
m20->a24.h20<q>,0.03515625
m21->a24.h20<k>,0.09423828
m21->a24.h20<v>,0.07714844
a22.h10->a24.h20<q>,0.034179688
a23.h6->a24.h20<k>,-0.08105469
a23.h14->a24.h20<k>,-0.040283203
m17->m24,-0.037109375
m18->m24,-0.044433594
m21->m24,0.043701172
m18->a25.h11<q>,0.039794922
m15->m25,0.031982422
m17->m25,0.064453125
m18->m25,0.03540039
a22.h31->m25,-0.029663086
a24.h20->m25,0.09863281
m18->a26.h10<q>,0.037841797
m18->a26.h29<q>,0.06225586
m15->m26,0.037109375
m18->m26,0.07421875
m19->m26,-0.027832031
a25.h11->m26,0.03515625
m18->a27.h7<q>,0.05126953
m21->m27,0.06738281
a23.h14->m27,0.03173828
m24->m27,0.035888672
a25.h11->m27,0.034179688
m25->m27,0.053466797
a26.h18->m27,-0.045654297
a26.h30->m27,-0.028442383
m26->m27,0.051757812
m9->m28,-0.029174805
m15->m28,-0.055664062
m16->m28,-0.061279297
m18->m28,-0.05493164
m20->m28,0.03112793
m21->m28,-0.084472656
m22->m28,0.040039062
m23->m28,-0.048095703
a24.h20->m28,0.06542969
m24->m28,-0.06982422
m25->m28,0.13964844
m26->m28,0.11425781
a27.h4->m28,0.034423828
m18->a29.h2<q>,-0.04345703
m18->a29.h2<k>,0.043945312
a25.h11->a29.h2<q>,0.03149414
m25->m29,-0.0390625
m28->m29,0.04272461
m18->a30.h27<q>,0.061035156
m18->a30.h27<k>,-0.044921875
m18->a30.h31<q>,0.03125
m18->a30.h31<v>,-0.10888672
a24.h20->a30.h27<k>,0.028442383
m28->a30.h11<v>,-0.029541016
m28->a30.h24<v>,0.030151367
m29->a30.h27<q>,0.040527344
m5->m30,-0.028076172
a8.h21->m30,-0.028564453
m9->m30,-0.037109375
m12->m30,0.03857422
a14.h0->m30,-0.03173828
a16.h21->m30,-0.057861328
a17.h29->m30,-0.0625
m17->m30,-0.053222656
m18->m30,-0.11669922
m20->m30,-0.076660156
m21->m30,-0.030883789
a22.h10->m30,0.028320312
m22->m30,-0.03955078
a23.h26->m30,0.034179688
a24.h13->m30,-0.057128906
a24.h20->m30,0.034423828
m24->m30,-0.05834961
a26.h0->m30,0.038085938
a26.h18->m30,-0.05102539
a28.h28->m30,-0.037353516
m28->m30,-0.20703125
m29->m30,-0.41210938
a30.h24->m30,0.12011719
a30.h27->m30,0.07421875
m30->a31.h4<v>,-0.072265625
m30->a31.h10<q>,0.072265625
m30->a31.h10<k>,-0.028076172
m30->a31.h10<v>,-0.03112793
m30->a31.h11<q>,-0.030029297
m30->a31.h11<k>,0.05493164
m30->a31.h11<v>,0.072265625
m30->a31.h22<q>,-0.04663086
m30->a31.h23<k>,-0.060302734
m30->a31.h24<v>,-0.07519531
m4->m31,0.05102539
m5->m31,0.043945312
a6.h0->m31,0.027832031
m7->m31,0.04248047
a8.h21->m31,0.038330078
m8->m31,0.048828125
m9->m31,0.044921875
a11.h10->m31,-0.029663086
m12->m31,-0.103027344
a14.h0->m31,0.06640625
a14.h8->m31,0.032226562
m14->m31,-0.07080078
m15->m31,-0.14453125
a16.h21->m31,0.08203125
m16->m31,-0.13085938
a17.h21->m31,-0.03491211
a17.h29->m31,0.14648438
m17->m31,-0.15039062
a18.h17->m31,-0.028320312
m18->m31,0.2890625
a19.h20->m31,0.045410156
m19->m31,-0.10058594
a20.h9->m31,0.037109375
m20->m31,-0.122558594
a21.h21->m31,0.030639648
m21->m31,-0.057128906
a22.h5->m31,-0.031982422
a22.h31->m31,0.056884766
m22->m31,-0.11767578
a23.h14->m31,-0.032226562
m24->m31,-0.063964844
a25.h11->m31,0.092285156
a25.h22->m31,0.029052734
m25->m31,0.07128906
a26.h0->m31,-0.056884766
a26.h6->m31,-0.031982422
a26.h10->m31,0.030029297
a26.h18->m31,-0.041503906
a26.h19->m31,0.09082031
m26->m31,-0.08496094
a27.h2->m31,-0.041992188
a27.h6->m31,0.029418945
a27.h7->m31,0.028320312
a27.h9->m31,-0.055908203
a27.h20->m31,0.043945312
m27->m31,-0.07519531
a28.h12->m31,-0.03125
a28.h20->m31,0.03149414
a28.h28->m31,-0.048828125
m28->m31,0.12890625
a29.h2->m31,0.10107422
m29->m31,0.15722656
a30.h11->m31,0.18261719
a30.h18->m31,0.07373047
a30.h24->m31,0.030883789
a30.h27->m31,0.041503906
a30.h29->m31,-0.029174805
a30.h31->m31,0.076171875
m30->m31,1.2265625
a31.h5->m31,-0.068847656
a31.h10->m31,-0.15332031
a31.h12->m31,-0.31640625
a31.h24->m31,-0.050048828
a31.h27->m31,-0.047607422
m1->logits,-0.056640625
m4->logits,-0.076171875
m6->logits,-0.092285156
m8->logits,-0.048095703
m9->logits,-0.140625
m10->logits,-0.055908203
m11->logits,-0.072265625
m12->logits,-0.029663086
a13.h5->logits,0.034423828
m13->logits,-0.107910156
m14->logits,-0.118652344
a15.h30->logits,0.041503906
m15->logits,-0.09765625
m16->logits,-0.08642578
a17.h29->logits,-0.072753906
m18->logits,-0.65625
a21.h25->logits,0.037109375
m21->logits,-0.08203125
a22.h31->logits,-0.12890625
m22->logits,-0.10205078
m24->logits,-0.095703125
a25.h11->logits,-0.16894531
a25.h15->logits,0.032226562
a25.h16->logits,-0.055419922
m25->logits,-0.12695312
a26.h18->logits,0.036376953
a26.h19->logits,-0.038085938
m26->logits,-0.084472656
a27.h2->logits,0.030151367
a27.h4->logits,-0.033447266
a27.h20->logits,0.04272461
m27->logits,0.16210938
a28.h0->logits,-0.027832031
a28.h17->logits,-0.034423828
a28.h28->logits,0.055419922
m28->logits,-0.23144531
a29.h2->logits,-0.22167969
m29->logits,-0.11621094
a30.h11->logits,-0.12207031
a30.h15->logits,0.046875
a30.h24->logits,-0.07421875
a30.h31->logits,0.14453125
m30->logits,-2.078125
a31.h2->logits,0.049804688
a31.h4->logits,-0.08886719
a31.h5->logits,0.034179688
a31.h8->logits,0.06640625
a31.h10->logits,0.059570312
a31.h12->logits,0.19042969
a31.h15->logits,0.03149414
a31.h24->logits,0.030029297
a31.h27->logits,0.04711914
m31->logits,3.65625
