edge,score
input->a0.h0<q>,0.068359375
input->a0.h6<q>,0.04248047
input->m0,0.29296875
a0.h3->m0,-0.032714844
a0.h7->m0,0.07519531
a0.h8->m0,-0.053710938
a0.h9->m0,0.040527344
a0.h10->m0,0.034179688
input->m1,0.07324219
m0->m1,0.046875
a1.h0->m1,0.057617188
a1.h1->m1,0.063964844
a1.h2->m1,-0.05102539
a1.h7->m1,-0.061035156
a1.h10->m1,-0.07324219
m1->a2.h12<q>,-0.034423828
m0->m2,0.096191406
a1.h5->m2,-0.033203125
m1->m2,-0.053222656
a2.h9->m2,-0.061767578
a2.h13->m2,0.032714844
m0->m3,-0.048095703
a1.h10->m3,-0.055664062
m1->m3,0.14550781
m2->m3,-0.1953125
a3.h0->m3,0.033447266
a3.h1->m3,-0.037353516
a3.h10->m3,0.084472656
m2->a4.h3<q>,0.08886719
m2->a4.h5<q>,0.044677734
a1.h5->m4,0.05053711
a1.h11->m4,-0.032226562
m1->m4,-0.20410156
m2->m4,-0.19238281
a3.h2->m4,0.03540039
a3.h5->m4,0.035888672
a3.h7->m4,0.034423828
a4.h2->m4,-0.041992188
a4.h3->m4,-0.051513672
a4.h5->m4,-0.040283203
a4.h11->m4,0.047607422
m4->a5.h1<q>,0.034423828
m0->m5,0.06542969
m1->m5,0.111816406
m2->m5,0.048095703
a3.h3->m5,-0.05493164
a3.h9->m5,-0.041259766
m3->m5,-0.18652344
a4.h0->m5,0.044677734
m4->m5,-0.28515625
a5.h0->m5,0.052246094
a5.h1->m5,-0.061767578
a5.h4->m5,0.042236328
a5.h8->m5,-0.052246094
a5.h9->m5,-0.06689453
a5.h11->m5,0.038085938
m0->m6,0.076660156
m2->m6,-0.12890625
m3->m6,-0.15136719
a4.h0->m6,-0.048339844
a4.h3->m6,0.06591797
a4.h4->m6,-0.04248047
a4.h5->m6,0.037597656
a4.h9->m6,-0.03466797
a4.h10->m6,-0.034179688
m4->m6,-0.22753906
a5.h0->m6,-0.04711914
a5.h2->m6,0.032226562
a5.h8->m6,-0.03857422
a5.h11->m6,-0.041015625
m5->m6,0.26171875
a6.h0->m6,-0.08642578
a6.h3->m6,0.034179688
a6.h4->m6,-0.052490234
a6.h8->m6,-0.036621094
m2->a7.h6<q>,0.07128906
m4->a7.h6<q>,0.036621094
m5->a7.h0<q>,0.0546875
a6.h3->a7.h0<q>,-0.049316406
m6->a7.h0<q>,0.04663086
m6->a7.h7<q>,0.043945312
m0->m7,-0.07421875
a1.h9->m7,0.03149414
m1->m7,-0.053222656
m2->m7,-0.047607422
a3.h2->m7,0.0546875
m3->m7,0.1484375
m4->m7,0.2890625
a5.h8->m7,-0.063964844
a5.h9->m7,-0.053710938
m5->m7,0.29492188
a6.h2->m7,-0.041259766
a6.h8->m7,-0.07421875
m6->m7,0.27929688
a7.h1->m7,0.038330078
a7.h6->m7,-0.12988281
a7.h11->m7,-0.061767578
a7.h13->m7,0.041015625
m2->a8.h6<q>,-0.03173828
m4->a8.h6<q>,-0.035888672
m1->m8,-0.05126953
m2->m8,0.21386719
a3.h2->m8,-0.053222656
a3.h7->m8,-0.061523438
a3.h10->m8,0.0546875
m3->m8,0.046142578
m4->m8,0.033203125
a5.h13->m8,0.09863281
m5->m8,-0.24121094
a6.h0->m8,-0.03466797
a6.h1->m8,0.041015625
a6.h2->m8,0.051513672
a6.h3->m8,-0.095703125
a6.h8->m8,0.057861328
a6.h9->m8,-0.032226562
m6->m8,-0.22265625
a7.h6->m8,0.037841797
a7.h7->m8,0.046142578
a7.h11->m8,0.038085938
m7->m8,0.19042969
a8.h0->m8,0.041015625
a8.h4->m8,0.076660156
a8.h5->m8,0.03564453
a8.h6->m8,-0.079589844
a8.h7->m8,0.047607422
a8.h8->m8,0.044921875
a8.h10->m8,-0.09423828
m0->a9.h6<q>,-0.048095703
m2->a9.h6<q>,-0.031982422
m3->a9.h4<q>,-0.07519531
m4->a9.h4<q>,0.0390625
m5->a9.h3<q>,0.041259766
m6->a9.h0<q>,-0.034179688
m6->a9.h4<q>,0.031982422
m7->a9.h4<q>,-0.036132812
m1->m9,0.068359375
m2->m9,-0.41992188
a3.h8->m9,0.034423828
a3.h10->m9,-0.050048828
m3->m9,0.087890625
a4.h0->m9,-0.036132812
a4.h3->m9,0.036865234
a4.h7->m9,-0.04321289
m4->m9,-0.25
a5.h9->m9,0.037841797
a5.h13->m9,0.033691406
m5->m9,0.13671875
a6.h2->m9,-0.03564453
a6.h3->m9,0.0546875
a6.h10->m9,-0.035888672
m6->m9,-0.12890625
a7.h1->m9,-0.03515625
a7.h3->m9,0.036132812
a7.h6->m9,0.043945312
m7->m9,0.118652344
a8.h0->m9,-0.052246094
a8.h1->m9,0.032226562
a8.h4->m9,-0.055908203
a8.h6->m9,-0.055419922
a8.h7->m9,-0.037109375
a8.h10->m9,0.080078125
a8.h12->m9,-0.05883789
m8->m9,-0.39453125
a9.h0->m9,-0.064941406
a9.h2->m9,-0.09863281
a9.h3->m9,0.033935547
a9.h5->m9,-0.06933594
a9.h12->m9,0.044921875
m5->a10.h8<q>,-0.064453125
m6->a10.h8<q>,0.07324219
m8->a10.h8<q>,0.045654297
m9->a10.h10<q>,0.051757812
a1.h5->m10,0.049316406
a1.h9->m10,-0.032470703
m2->m10,0.0625
a3.h10->m10,-0.071777344
m3->m10,0.22460938
a4.h3->m10,-0.033691406
m4->m10,-0.10058594
a5.h9->m10,0.04272461
a6.h4->m10,0.04321289
a6.h13->m10,-0.052490234
m6->m10,-0.15136719
a7.h0->m10,0.05444336
a7.h4->m10,0.03955078
a7.h6->m10,-0.03564453
a7.h10->m10,0.036132812
a7.h13->m10,0.03881836
a8.h4->m10,-0.057617188
a8.h6->m10,0.06542969
a8.h10->m10,-0.10205078
m8->m10,0.080078125
a9.h8->m10,0.042236328
m9->m10,-0.19238281
a10.h0->m10,-0.032226562
a10.h7->m10,0.08251953
a10.h10->m10,0.042236328
m4->a11.h0<q>,0.03149414
m8->a11.h0<q>,0.03149414
m0->m11,0.1640625
m1->m11,0.13769531
m2->m11,0.068359375
a3.h10->m11,0.038085938
m3->m11,-0.083984375
a4.h3->m11,0.051513672
m4->m11,-0.08935547
m5->m11,-0.08691406
