edge,score
input->m0,-0.061279297
a0.h0->m0,-0.022949219
a0.h1->m0,-0.01977539
a0.h2->m0,-0.02355957
a0.h5->m0,-0.012756348
a0.h6->m0,0.024536133
a0.h7->m0,0.03515625
a0.h8->m0,0.02722168
a0.h10->m0,-0.030151367
a0.h11->m0,-0.012329102
a0.h12->m0,0.016845703
a0.h13->m0,-0.061035156
a1.h8->m1,-0.017211914
m1->m2,0.037109375
a2.h0->m2,0.013305664
m2->a3.h8<q>,-0.024902344
m2->a3.h10<q>,0.07763672
m0->m3,-0.05883789
m1->m3,-0.029663086
m2->m3,-0.39257812
m2->a4.h3<q>,0.09863281
m2->a4.h5<q>,0.02734375
m3->a4.h3<q>,0.016723633
m0->m4,-0.040039062
a2.h10->m4,-0.012084961
m2->m4,0.028320312
a4.h3->m4,0.029663086
m2->a5.h13<q>,-0.068847656
m4->a5.h13<q>,-0.036865234
m0->m5,0.020629883
m2->m5,0.15917969
m3->m5,-0.03540039
a4.h1->m5,-0.013977051
m4->m5,0.10546875
a5.h13->m5,0.017211914
m2->a6.h3<q>,0.021972656
m4->a6.h3<q>,0.013427734
a1.h5->m6,-0.013305664
m2->m6,-0.020019531
m4->m6,-0.109375
a5.h9->m6,-0.012084961
a5.h13->m6,0.0138549805
m3->m7,0.021728516
a6.h2->m7,-0.019042969
a6.h3->m7,0.025512695
a6.h8->m7,-0.02355957
m6->m7,0.045898438
a7.h5->m7,0.017944336
a7.h6->m7,0.014770508
a7.h11->m7,0.018066406
m2->a8.h1<q>,0.014770508
m2->a8.h6<q>,0.024047852
m4->a8.h6<q>,0.020263672
m0->m8,0.013916016
m1->m8,-0.018432617
m2->m8,-0.10644531
m3->m8,-0.024658203
a5.h5->m8,0.022338867
m5->m8,-0.03881836
a6.h8->m8,0.026733398
m6->m8,-0.026977539
a7.h5->m8,-0.012512207
a7.h10->m8,0.014709473
m7->m8,-0.059326172
a8.h5->m8,0.023803711
a8.h6->m8,-0.017944336
a8.h12->m8,-0.0134887695
m0->m9,-0.041015625
m2->m9,0.10107422
m4->m9,0.10644531
a5.h13->m9,0.013183594
a6.h0->m9,0.015991211
a6.h1->m9,0.014160156
a6.h8->m9,-0.016113281
m6->m9,-0.04321289
a8.h2->m9,0.012756348
a8.h10->m9,-0.012329102
a8.h12->m9,0.013183594
m8->m9,-0.043945312
a9.h5->m9,0.029052734
m0->m10,0.053222656
m2->m10,0.080566406
m3->m10,-0.020996094
m4->m10,0.026245117
a5.h5->m10,-0.01361084
m5->m10,0.03491211
a6.h2->m10,-0.020629883
m6->m10,0.041992188
a7.h1->m10,0.015380859
a7.h10->m10,-0.017944336
a8.h2->m10,-0.014587402
m8->m10,0.08935547
a9.h4->m10,-0.016601562
