edge,score
input->m0,-0.78125
a0.h0->m0,0.2578125
a0.h1->m0,-0.059326172
a0.h2->m0,-0.09814453
a0.h3->m0,-0.28710938
a0.h4->m0,0.27734375
a0.h5->m0,0.03564453
a0.h6->m0,-0.07080078
a0.h7->m0,-0.13183594
a0.h8->m0,-0.5390625
a0.h9->m0,0.06347656
a0.h10->m0,0.15722656
a0.h11->m0,0.28515625
a0.h12->m0,-0.23730469
a0.h13->m0,0.796875
m0->m1,-0.046875
a1.h1->m1,-0.03857422
a1.h6->m1,0.033691406
a1.h9->m1,-0.027709961
a1.h10->m1,-0.02722168
a1.h11->m1,0.03955078
a1.h13->m1,0.049316406
m1->a2.h1<q>,-0.029541016
m0->m2,-0.072753906
a1.h5->m2,-0.044677734
a1.h7->m2,0.061279297
a1.h8->m2,-0.043945312
a1.h9->m2,0.032226562
a1.h10->m2,0.080078125
a1.h11->m2,0.030273438
m1->m2,-0.045410156
a2.h6->m2,0.032470703
a2.h9->m2,-0.05883789
a2.h10->m2,-0.033203125
m2->a3.h10<q>,-0.3828125
m0->m3,0.21582031
a1.h4->m3,-0.034179688
a1.h6->m3,0.028930664
a1.h10->m3,-0.048095703
a1.h11->m3,-0.030151367
m1->m3,0.1484375
a2.h9->m3,0.06298828
a2.h11->m3,-0.031982422
a2.h12->m3,-0.026977539
m2->m3,-0.25
m2->a4.h0<q>,0.034179688
m2->a4.h3<q>,-0.15332031
m2->a4.h5<q>,0.15234375
m2->a4.h10<q>,0.064941406
m2->a4.h12<q>,-0.05908203
m2->a4.h13<q>,-0.057617188
a1.h10->m4,-0.034423828
m1->m4,-0.15136719
m2->m4,0.67578125
a3.h8->m4,-0.030517578
m3->m4,0.091796875
a4.h0->m4,0.027954102
a4.h3->m4,-0.046875
a4.h5->m4,-0.028564453
m4->a5.h0<q>,0.034423828
m0->m5,-0.09667969
m2->m5,-0.32421875
m3->m5,0.045410156
m4->m5,-0.19726562
m2->a6.h13<q>,0.057617188
m4->a6.h13<q>,0.032226562
m0->m6,-0.067871094
m1->m6,0.12011719
m2->m6,1.1796875
m4->m6,0.5546875
m5->m6,0.036132812
m2->a7.h0<q>,-0.048828125
m2->a7.h3<q>,0.029052734
m2->a7.h4<q>,0.07763672
m2->a7.h6<q>,0.14648438
